XID,Reg.,State
r245425,UPRERAPRJ6126,Uttar Pradesh
r255635,UPRERAPRJ4403,Uttar Pradesh
r268613,UPRERAPRJ2110,Uttar Pradesh
r268773,UPRERAPRJ7561,Uttar Pradesh
r269167,UPRERAPRJ2126,Uttar Pradesh
r269397,UPRERAPRJ631,Uttar Pradesh
r271189,UPRERAPRJ3203,Uttar Pradesh
r1676,UPRERAPRJ6654,Uttar Pradesh
r230607,UPRERAPRJ1627,Uttar Pradesh
r1920,UPRERAPRJ7140,Uttar Pradesh
r1918,UPRERAPRJ6107,Uttar Pradesh
r3042,UPRERAPRJ7191,Uttar Pradesh
r52338,UPRERAPRJ8949,Uttar Pradesh
r217045,UPRERAPRJ809,Uttar Pradesh
r58586,UPRERAPRJ1263,Uttar Pradesh
r278611,UPRERAPRJ151,Uttar Pradesh
r278613,UPRERAPRJ6731,Uttar Pradesh
r954,UPRERAPRJ7064,Uttar Pradesh
r2234,UPRERAPRJ4207,Uttar Pradesh
r7498,UPRERAPRJ6966,Uttar Pradesh
r8806,UPRERAPRJ3425,Uttar Pradesh
r9046,UPRERAPRJ7850,Uttar Pradesh
r12104,UPRERAPRJ10243,Uttar Pradesh
r32146,UPRERAPRJ11932,Uttar Pradesh
r33336,UPRERAPRJ7094,Uttar Pradesh
r244875,UPRERAPRJ6339,Uttar Pradesh
r269571,UPRERAPRJ7939,Uttar Pradesh
r205109,UPRERAPRJ1746,Uttar Pradesh
r4006,UPRERAPRJ4850,Uttar Pradesh
r20882,UPRERAPRJ6742,Uttar Pradesh
r64448,UPRERAPRJ6801,Uttar Pradesh
r147935,UPRERAPRJ4175,Uttar Pradesh
r217985,UPRERAPRJ6682,Uttar Pradesh
r32810,UPRERAPRJ8479,Uttar Pradesh
r14486,UPRERAPRJ5895,Uttar Pradesh
r50058,UPRERAPRJ8888,Uttar Pradesh
r1345,UPRERAPRJ5720,Uttar Pradesh
r14758,UPRERAPRJ11023,Uttar Pradesh
r5996,UPRERAPRJ10246,Uttar Pradesh
r2234,UPRERAPRJ4273,Uttar Pradesh
r63501,UPRERAPRJ6678,Uttar Pradesh
r8874,UPRERAPRJ5848,Uttar Pradesh
r2274,UPRERAPRJ2369,Uttar Pradesh
r599,UPRERAPRJ3900,Uttar Pradesh
r599,UPRERAPRJ3853,Uttar Pradesh
