UPRERAPRJ4909,RAJESH PROJECTS (INDIA) PVT. LTD,Residential,RG LUXURY HOMES-4 (TOWER J K & L),Uttar Pradesh,Gautam Buddha Nagar,01-08-2017,31-12-2025,Gautam Buddha Nagar,20332,28*36’17N,77*26’59E,
UPRERAPRJ4815,RAJESH PROJECTS (INDIA) PVT. LTD,Residential,"RG LUXURY HOMES - TOWER A, F & M",Uttar Pradesh,Gautam Buddha Nagar,01-08-2017,30-09-2020,Gautam Buddha Nagar,18016,28*36’17N,77*26’59E,
UPRERAPRJ13342,RAJIV RANJAN KUMAR SINGH,Residential,HARI ENCLAVE,Uttar Pradesh,Varanasi,11-10-2017,21-02-2021,Varanasi,5321,25.248880,82.978723,G.S. SHUKLA
UPRERAPRJ4723,RAJESH PROJECTS (INDIA) PVT. LTD,Residential,"RG LUXURY HOMES - TOWER B, C, D & E",Uttar Pradesh,Gautam Buddha Nagar,01-08-2017,30-09-2020,Gautam Buddha Nagar,22830,28*36’17N,77*26’59E,
UPRERAPRJ783951/04/2024,PRASU DEVELOPERS LLP,Residential,SKA DESTINY ONE,Uttar Pradesh,Gautam Buddha Nagar,08-04-2024,20-01-2029,Gautam Buddha Nagar,23655,28.49698,77.52111,BRIJ INDIA ARCHITECTS
UPRERAPRJ10295,SAR FRIENDS BUILDER,Residential,BHADAWAR ROYAL RESIDENCY,Uttar Pradesh,Agra,15-08-2017,14-07-2021,Agra,2965,27.206633,77.998336,ANVAYA ASSOCIATES 
UPRERAPRJ358013,"OMAXE PANCHAM REALCON PVT. LTD. (FOMERLY PANCHAM REALCON PVT. LTD.)
BEAUTIFUL LANDBASE PRIVATE LIMITED
UTKRISHT REAL ESTATE & ASSOCIATES PRIVATE LIMITED",Residential,OMAXSHIVA3,Uttar Pradesh,Prayagraj,26-09-2022,30-12-2025,Karchhana,10192,25.388455,81.892688,Apurba Bohra
UPRERAPRJ173616,M/S SHALIMAR KSMB PROJECTS,Commercial,GARDEN BAY HIGH STREET,Uttar Pradesh,Lucknow,11-09-2020,31-03-2021,Lucknow,2077,26.921111,80.885278,42 MM Architecture
UPRERAPRJ919772,OMEGA DEVELOPER AND BUILDERS,Residential,WINDSOR GREENS PHASE-2,Uttar Pradesh,Lucknow,31-08-2019,30-06-2024,Lucknow,7464,26.896708,81.072256,Ar. Vishal Mittal
UPRERAPRJ831593,OMEGA DEVELOPER AND BUILDERS,Residential,WINDSOR GREENS PHASE-4,Uttar Pradesh,Lucknow,14-10-2021,31-12-2025,Lucknow,8472,26.89787,81.072638,Ar. Vishal Mittal
UPRERAPRJ17311,OMEGA DEVELOPER AND BUILDERS,Residential,WINDSOR GREENS PHASE-1,Uttar Pradesh,Lucknow,10-08-2018,09-05-2023,Lucknow,11156,26.896525,81.072743,Ar. Vishal Mittal
UPRERAPRJ4661,OMEGA DEVELOPER AND BUILDERS,Residential,OMEGA PRESIDENCY,Uttar Pradesh,Lucknow,29-07-2017,31-03-2019,Lucknow,2998,26.894825,81.071606,NAMIT AGARWAL
UPRERAPRJ10833,PERFECT PROPBUILD PVT LTD (ANTRIKSH GROUP),Residential,ANTRIKSH KANBALL 3G & FOREST(1),Uttar Pradesh,Gautam Buddha Nagar,14-08-2017,29-01-2019,Gautam Buddha Nagar,35995,28.5695,77.3888,pankaj nath andely
UPRERAPRJ692448,SIDDHARTHA DEVELOPERS,Residential,PASSION ROYAL COTTAGE,Uttar Pradesh,Kanpur Nagar,01-08-2022,24-03-2027,Kanpur,37738,26.546558,80.257677,RAJIV BAJPAI
UPRERAPRJ958972,ALPINE INFRAPROJECTS PVT LTD,Residential,AIG ROYAL ( PHASE-2),Uttar Pradesh,Gautam Buddha Nagar,03-02-2020,20-06-2023,Gautam Buddha Nagar,2850,28.55555303557593,77.44359778554609,Chander Mohan
UPRERAPRJ10309,RATAN HOUSING DEVELOPMENT LIMITED,Residential,RATAN ORBIT (PHASE-II),Uttar Pradesh,Kanpur Nagar,13-08-2017,31-12-2018,Kanpur,5117,26.511365,80.267261,RITESH R KAKKAR
UPRERAPRJ339261,"VASUDEV ELEMENTS
VIJAY ASSOCIATES WADHWA",Residential,VASUDEV ELEMENTS (PHASE-1),Uttar Pradesh,Mathura,28-09-2021,15-07-2026,Mathura,62004,27.579073,77.648813,Amit Agarwal
UPRERAPRJ463811,"PARAMPARA BUILDERS PVT LTD
KUNTI DEVI JAIN
MANISH KUMAR JAIN
NAVEEN KUMAR JAIN
PRAVEEN KUMAR JAIN",Mixed,PARAMPARA ELITE,Uttar Pradesh,Moradabad,19-09-2022,01-01-2023,Moradabad,55257,28.81608,78.70180,PARAG AGARWAL
UPRERAPRJ13828,PRATEEK REALTORS INDIA PRIVATE LIMITED,Commercial,PRATEEK GRAND CITY WALK (CARNESIA),Uttar Pradesh,Ghaziabad,27-10-2017,31-12-2020,Ghaziabad,2627,28.648039,77.403241,DEEPAK MEHTA & ASSOCIATES AND DESIGN CONCEPT BY ARCHITECT HAFEEZ CONTRACTOR
UPRERAPRJ243850,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,UCHDPL-VERIDIA-3-OAKWOOD ENCLAVE,Uttar Pradesh,Ghaziabad,15-05-2022,14-10-2025,Ghaziabad,11749,28.6603,77.4962,Niraj Kumar Nanda 
UPRERAPRJ396368,"PCS ICE PLANT PRIVATE LIMITED
KIPL CONSTRUCTIONS PRIVATE LIMITED",Residential,GLOBAL CITY,Uttar Pradesh,Budaun,21-09-2023,08-06-2026,Budaun,35962,28.079635,79.166763,PAWAN BHATT
