XID,Project Name,City,NoBroker.in Link
r50454,Rajwada Altitude,Kolkata South,https://www.nobroker.in/dipabali-co-operative-housing-society-ltd-bengal-ambuja_kolkata-prjt-63ae6b8af482b4000108a2e1
r245479,Kolte Patil I Towers Exente,Bangalore South,https://www.nobroker.in/kolte-patil-itowers-exente-electronic-city-_bangalore-prjt-8a9fb5827c7e6a2c017c921406f72698
r320625,Omaxe City,Lucknow,https://www.nobroker.in/celebrity-gardens-celebrity-gardens_lucknow-prjt-6648496d81e44b0d054ab2c5
r23018,DivyaSree 77 Degree Place,Bangalore East,https://www.nobroker.in/divyasree-77-life-kodbisanhalli_bangalore-prjt-01d7c0d8k008j1t4k3j0v671
r314683,HL City,Bahadurgarh,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-bahadurgarh-delhi/8a9fb38283b5c3660183b5e186bb0ddb/detail
r62533,Nancy Towers,Pune South,https://www.nobroker.in/flats-for-sale-near-nancy_towers_pune
r431049,Pride Avenue,Haridwar,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-s-no---127-4%2B5-haridwar-park-2-1-baner---mahalunge-rd-baner-pune-maharashtra-411045-india-pune/8a9f8b8490a2d0f60190a30e75070bba/detail
r378396,Saga Enstin Evoq,Ahmedabad West,https://www.nobroker.in/avadh-28-avadh-28_ahmedabad-prjt-665b0f547b588d7fd4ed6d2f
r50996,Goyal Green Park,Ahmedabad West,https://www.nobroker.in/indraprasth-gulmohar-nr.-itc-narmada-b-h-keshavbaug-party-plot-vastrapur-i-i-m-vastrapur-ahmedabad-gujarat-380015-india_ahmedabad-prjt-61bb12bd097ab30001193a42
r438200,Ganga Valley,Gurgaon,https://www.nobroker.in/residential-land-plots-for-sale-in-gurgaon-gurgaon
r416658,Prarthana Uma Exotica,Ranchi,Not Found
r369264,Saanvi Nirman Spectra,Ahmedabad West,https://www.nobroker.in/aadi-siddhi--south-bopal_ahmedabad-prjt-62d3926bba53590001f92c6e
r111465,Supercity,Ahmedabad West,https://www.nobroker.in/suramya-seven-suramya-seven_ahmedabad-prjt-67723156eaa92169b1ff1d5a
r27760,Armstrongs Hex Blox,Navi Mumbai,https://www.nobroker.in/flats-for-rent-near-armstrongs_hex_blox_mumbai
