XID,Reg.,State
r339561,PRM/KA/RERA/1251/309/PR/190427/002539,Karnataka
r340175,PRM/KA/RERA/1251/309/PR/190913/002885,Karnataka
r161261,PRM/KA/RERA/1251/446/PR/190913/002845,Karnataka
r278361,PRM/KA/RERA/1251/446/PR/190330/002517,Karnataka
r24034,PRM/KA/RERA/1251/309/PR/191015/002923,Karnataka
r36096,PRM/KA/RERA/1251/308/PR/191025/002972,Karnataka
r299863,PRM/KA/RERA/1251/310/PR/180905/001997,Karnataka
r12358,PRM/KA/RERA/1251/446/PR/191130/003052,Karnataka
r345643,PRM/KA/RERA/1251/472/PR/191206/003055,Karnataka
r345643,PRM/KA/RERA/1251/472/PR/191206/003056,Karnataka
r265531,PRM/KA/RERA/1251/310/PR/171102/002197 ,Karnataka
r348883,PRM/KA/RERA/1251/446/PR/200109/003144,Karnataka
r349637,PRM/KA/RERA/1251/446/PR/200121/003217,Karnataka
r46638,PRM/KA/RERA/1257/334/PR/180905/001999,Karnataka
r306221,PRM/KA/RERA/1251/308/PR/200211/003281,Karnataka
r354666,PRM/KA/RERA/1250/303/PR/200323/003384,Karnataka
r354672,PRM/KA/RERA/1251/446/PR/200323/003368,Karnataka
r367455,PRM/KA/RERA/1251/310/PR/200618/003455  ,Karnataka
r368250,PRM/KA/RERA/1254/465/PR/200811/003509,Karnataka
r368750,PRM/KA/RERA/1251/308/PR/200811/003537,Karnataka
r367669,P51800026450,Karnataka
r369943,PRM/KA/RERA/1251/446/PR/201001/003629,Karnataka
r370526,PRM/KA/RERA/1250/303/PR/201001/003613,Karnataka
r370528,PRM/KA/RERA/1251/309/PR/201001/003607,Karnataka
r372347,PRM/KA/RERA/1251/308/PR/201201/003733,Karnataka
r372372,PRM/KA/RERA/1250/304/PR/201201/003726,Karnataka
r319371, PRM/KA/RERA/1251/446/PR/190823/002825,Karnataka
r319371, PRM/KA/RERA/1251/446/PR/200123/003231,Karnataka
r373595,PRM/KA/RERA/1251/446/PR/210219/003939,Karnataka
r25246,PRM/KA/RERA/1251/446/PR/200121/003206,Karnataka
r161261,PRM/KA/RERA/1251/446/PR/200121/003218,Karnataka
r372372,PRM/KA/RERA/1250/304/PR/201215/003748,Karnataka
