reg,State
PRM/KA/RERA/1251/310/PR/160224/006627,Karnataka
PRM/KA/RERA/1251/309/PR/171014/000527 ,Karnataka
PRM/KA/RERA/1251/309/PR/030424/006771,Karnataka
PRM/KA/RERA/1251/309/PR/171014/000197,Karnataka
PRM/KA/RERA/1251/446/PR/060324/006671,Karnataka
PRM/KA/RERA/1265/347/PR/160224/006628,Karnataka
PRM/KA/RERA/1254/465/PR/200224/006648,Karnataka
PRM/KA/RERA/1250/303/PR/220124/006562,Karnataka
PRM/KA/RERA/1250/307/PR/040524/006863,Karnataka
PRM/KA/RERA/1251/309/PR/200524/006911,Karnataka
PRM/KA/RERA/1251/446/PR/040524/006861,Karnataka
PRM/KA/RERA/1251/446/PR/150724/006941 ,Karnataka
PRM/KA/RERA/1251/310/PR/060824/006962,Karnataka
PRM/KA/RERA/1251/308/PR/260924/007083,Karnataka
PRM/KA/RERA/1265/347/PR/030924/006985,Karnataka
PRM/KA/RERA/1250/307/PR/271023/006363,Karnataka
PRM/KA/RERA/1250/303/PR/211024/007160,Karnataka
PRM/KA/RERA/1251/446/PR/130225/007501,Karnataka
PRM/KA/RERA/1251/309/PR/051024/007131,Karnataka
PRM/KA/RERA/1251/310/PR/241224/007314,Karnataka
PRM/KA/RERA/1265/347/PR/270125/007439,Karnataka
PRM/KA/RERA/1251/308/PR/230125/007420,Karnataka
PRM/KA/RERA/1251/308/PR/230125/007421,Karnataka
PRM/KA/RERA/1251/310/PR/100125/007376,Karnataka
PRM/KA/RERA/1251/309/PR/270125/007436,Karnataka
PRM/KA/RERA/1251/446/PR/301224/007327,Karnataka
PRM/KA/RERA/1251/446/PR/060225/007485,Karnataka
PRM/KA/RERA/1250/301/PR/220125/007411,Karnataka
PRM/KA/RERA/1251/308/PR/170225/007512,Karnataka
PRM/KA/RERA/1251/472/PR/180225/007515,Karnataka
PRM/KA/RERA/1251/446/PR/301024/007191,Karnataka
PRM/KA/RERA/1251/309/PR/070325/007559,Karnataka
PRM/KA/RERA/1251/472/PR/210325/007605,Karnataka
PRM/KA/RERA/1251/308/PR/230125/007431,Karnataka
PRM/KA/RERA/1251/446/PR/050225/007481,Karnataka
