state,matched_registration_number
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13424/300424/300926
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA14416/181124/011229
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/GIFT Urban Development Authority/RN209AA10109/011022
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA07381/250820
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA09919/190322
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA10077/220422
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA10271/060622
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA10283/080622
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA10843/211022
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11100/301222
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11224/280223
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11284/020323
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11459/150323
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11559/060423
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11611/180423
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11999/220623
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA12134/100723
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA12149/170823
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA12238/010923
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA12303/210923
Gujarat,PR/GJ/GANDHINAGAR/KALOL/AUDA/MAA00023/EX1/100119
Gujarat,PR/GJ/RAJKOT/RAJKOT/Others/RAA12607/081123
Gujarat,PR/GJ/RAJKOT/RAJKOT/Rajkot Municipal Corporation/MAA14049/280824/311227
Gujarat,PR/GJ/SURAT/CHORASI/SUDA/RAA06320/A1R/241121
Gujarat,PR/GJ/SURAT/CHORASI/SUDA/RAA06320/A2R/060523
Gujarat,PR/GJ/SURAT/CHORYASI/Surat Urban Development Authority/MAA14223/051024/311028
