state,unmatched_registration_number
West Bengal,HIRA/P/SOU/2018/000023
West Bengal,HIRA/P/SOU/2018/000028
West Bengal,HIRA/P/SOU/2018/000031
West Bengal,HIRA/P/SOU/2018/000041
West Bengal,HIRA/P/SOU/2018/000042
West Bengal,HIRA/P/SOU/2018/000043
West Bengal,HIRA/P/SOU/2018/000068
West Bengal,HIRA/P/SOU/2018/000119
West Bengal,HIRA/P/SOU/2018/000129
West Bengal,HIRA/P/SOU/2018/000131
West Bengal,HIRA/P/SOU/2018/000134
West Bengal,HIRA/P/SOU/2018/000137
West Bengal,HIRA/P/SOU/2018/000141
West Bengal,HIRA/P/SOU/2018/000159
West Bengal,HIRA/P/SOU/2018/000160
West Bengal,HIRA/P/SOU/2018/000163
West Bengal,HIRA/P/SOU/2018/000167
West Bengal,HIRA/P/SOU/2018/000168
West Bengal,HIRA/P/SOU/2018/000169
West Bengal,HIRA/P/SOU/2018/000217
West Bengal,HIRA/P/SOU/2018/000219
West Bengal,HIRA/P/SOU/2018/000245
West Bengal,HIRA/P/SOU/2018/000275
West Bengal,HIRA/P/SOU/2018/000305
West Bengal,HIRA/P/SOU/2018/000309
West Bengal,HIRA/P/SOU/2019/000318
West Bengal,HIRA/P/SOU/2019/000338
West Bengal,HIRA/P/SOU/2019/000351
West Bengal,HIRA/P/SOU/2019/000352
West Bengal,HIRA/P/SOU/2019/000357
West Bengal,HIRA/P/SOU/2019/000423
West Bengal,HIRA/P/SOU/2019/000432
West Bengal,HIRA/P/SOU/2019/000440
West Bengal,HIRA/P/SOU/2019/000451
West Bengal,HIRA/P/SOU/2019/000451
West Bengal,HIRA/P/SOU/2019/000453
West Bengal,HIRA/P/SOU/2019/000455
West Bengal,HIRA/P/SOU/2019/000456
West Bengal,HIRA/P/SOU/2019/000521
West Bengal,HIRA/P/SOU/2019/000524
West Bengal,HIRA/P/SOU/2019/000588
West Bengal,HIRA/P/SOU/2019/000609
West Bengal,HIRA/P/SOU/2020/000767
West Bengal,HIRA/P/SOU/2020/000814
West Bengal,HIRA/P/SOU/2020/000840
West Bengal,HIRA/P/SOU/2020/000845
West Bengal,HIRA/P/SOU/2020/000984
West Bengal,HIRA/P/SOU/2020/000992
West Bengal,HIRA/P/SOU/2020/001079
Haryana,HRERA No.197/207/2017
Haryana,HRERA-01 of 2017
Haryana,HRERA-04OF2017
Haryana,HRERA-10OF2017
Haryana,HRERA-136 of 2017
Haryana,HRERA-13OF2017
Haryana,HRERA-150 of 2017
Haryana,HRERA-180 of 2017
Haryana,HRERA-2018/1394/265
Haryana,HRERA-202 of 2017
Haryana,HRERA-208 of 2017
Haryana,HRERA-22OF2017
Haryana,HRERA-25OF2017
Haryana,HRERA-318of2017
Haryana,HRERA-31OF2017
Haryana,HRERA-328of2017
Haryana,HRERA-345of2017
Haryana,HRERA-385 of 2017
Haryana,HRERA-386 of 2017
Haryana,HRERA-41OF2017
Haryana,HRERA-43 of 2017
Haryana,HRERA-95-2017
Haryana,HRERA-PKL-FBD-19-2018DATED:02-06-2018
Haryana,HRERA-PKL-JJR-267-2021
Haryana,HRERA-PKL-JJR-327-2022
Haryana,HRERA-PKL-JJR-615-2024
Haryana,HRERA-PKL-JJR-616-2024
Haryana,HRERA-PKL-JJR-620-2024
Haryana,HRERA-PKL-PWL-568-2024
Haryana,HRERA-PKL-RWR-206-2020
Haryana,HRERA-PKL-SNP-172-2019
Haryana,HRERA-PKL-SNP-212-2020
Haryana,HRERA-PKL-SNP-348-2022
Haryana,HRERA-PKL-SNP-496-2023
Haryana,HRERA-PKL-SNP-588-2024
Kerala,K‐RERA/PRJ/ERN/109/2022
Kerala,K‐RERA/PRJ/KKD/242/2024
Kerala,K‐RERA/PRJ/TVM/121/2022
Kerala,K‐RERA/PRJ/TVM/133/2022
West Bengal,P01800005523
Goa,P52900017742
Punjab,PBRERA-SAS79-PC0267
Chandigarh,PBRERA-SAS80- PC0062
