state,unmatched_registration_number,closest_template_match
Haryana,GGM/824/556/2024/51,HRERA-PKL-FBD-76-2018
Haryana,GGM/826/558/2024/53,HRERA-PKL-FBD-76-2018
Haryana,GGM/828/560/2024/55,HRERA-PKL-FBD-76-2018
Haryana,GGM/829/561/2024/56,HRERA-PKL-FBD-76-2018
Haryana,GGM/834/566/2024/61DATED12.08.2024,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/842/574/2024/69,HRERA-PKL-FBD-76-2018
Haryana,GGM/845/577/2024/72DATED01.07.2024,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/846/578/2024/73,HRERA-PKL-FBD-76-2018
Haryana,GGM/849/581/2024/76,HRERA-PKL-FBD-76-2018
Haryana,GGM/858/590/2024/85DATED12.08.2024,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/860/592/2024/87,HRERA-PKL-FBD-76-2018
Haryana,GGM/861/593/2024/88DATED16.08.2024,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/862/594/2024/89,HRERA-PKL-FBD-76-2018
Haryana,GGM/863/595/2024/90,HRERA-PKL-FBD-76-2018
Haryana,GGM/865/597/2024/92,HRERA-PKL-FBD-76-2018
Haryana,GGM/866/598/2024/93,HRERA-PKL-FBD-76-2018
Haryana,GGM/870/602/2024/97,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/879/611/2024/106,HRERA-PKL-FBD-76-2018
Haryana,GGM/880/612/2024/107,HRERA-PKL-FBD-76-2018
Haryana,GGM/881/613/2024/108,HRERA-PKL-FBD-76-2018
Haryana,GGM/883/615/2024/110,HRERA-PKL-FBD-76-2018
Haryana,GGM/895/627/2024/122DATED16.12.2024,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/896/628/2024/123,HRERA-PKL-FBD-76-2018
West Bengal,HIRA/P/DAR/2020/000795,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/HOO/2018/000005,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/HOO/2018/000046,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/HOO/2019/000353,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/HOO/2019/000635,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/HOO/2019/000654,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/HOO/2020/000906,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/HOW/2018/000164,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/HOW/2018/000165,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/HOW/2018/000281,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/HOW/2020/000868,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/HOW/2021/001190,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/HOW/2021/001190,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2018/000033,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2018/000035,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2018/000036,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2018/000050,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2018/000075,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2018/000096,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2018/000118,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2018/000177,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2018/000182,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2018/000257,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2018/000274,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2019/000325,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2019/000326,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2019/000330,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2019/000341,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2019/000366,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2019/000383,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2019/000384,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2019/000414,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2019/000415,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2019/000567,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2019/000600,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/KOL/2020/000778,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000009,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000015,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000023,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000028,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000031,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000041,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000042,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000043,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000068,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000119,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000129,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000131,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000134,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000137,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000141,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000159,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000160,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000163,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000167,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000168,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000169,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000217,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000219,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000245,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000275,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000305,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2018/000309,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000318,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000338,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000351,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000352,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000357,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000423,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000432,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000440,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000451,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000451,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000453,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000455,HIRA/P/NOR/2020/000940
West Bengal,HIRA/P/SOU/2019/000456,HIRA/P/NOR/2020/000940
