XID,region,proj_name,magicbricks.com link,housing.com link,squareyards.com link
413980,Bangalore,Sri Balaji Serene,https://www.magicbricks.com/sri-balaji-serene-yelahanka-bangalore-pdpid-4d4235343136373135,https://housing.com/in/buy/projects/page/304874-sri-balaji-serene-by-sri-balaji-structures-in-yelahanka,https://www.squareyards.com/bangalore-residential-property/sri-balaji-serene/235371/project
424417,Bangalore,Vajram Newtown 2,https://www.magicbricks.com/vajram-newtown-ii-thanisandra-main-road-bangalore-pdpid-4d4235343230363735,https://housing.com/in/buy/projects/page/317590-vajram-newtown-ii-by-vajram-group-in-chokkanahalli,https://www.squareyards.com/bangalore-residential-property/vajram-newtown/13636/project
411449,Bangalore,ATCO La Vivant,https://www.magicbricks.com/atco-la-vivant-sarjapur-bangalore-pdpid-4d4235343136363939,https://housing.com/in/buy/projects/page/300927-la-vivant-by-atco-projects-in-sarjapur,https://www.squareyards.com/bangalore-residential-property/atco-lavivant/231662/project
430213,Bangalore,Sattva Springs,https://www.magicbricks.com/sattva-springs-kanakapura-road-bangalore-pdpid-4d4235343232353235,https://housing.com/in/buy/projects/page/327552-sattva-springs-by-sattva-group-in-badamanavarathekaval,https://www.squareyards.com/bangalore-residential-property/sattva-springs/306851/project
389421,Mumbai,Pride Panorama,https://www.magicbricks.com/landcare-pride-panorama-andheri-east-mumbai-pdpid-4d4235343031383933,https://housing.com/in/buy/projects/page/288285-landcare-panorama-by-landcare-realty-llp-in-saki-naka,https://www.squareyards.com/mumbai-residential-property/pride-panorama-mumbai/189130/project
375497,Bangalore,Concorde Abode 99,https://www.magicbricks.com/project-concorde-abode-99-for-sale-in-bangalore-pppfs,https://housing.com/in/buy/projects/page/255826-concorde-abode-99-by-concorde-housing-corporation-pvt-ltd-in-bommasandra,https://www.squareyards.com/bangalore-residential-property/concorde-abode-99/103438/project
427979,Bangalore,Concorde Mayfair,https://www.magicbricks.com/concorde-mayfair-yelahanka-bangalore-pdpid-4d4235333339333533,https://housing.com/in/buy/projects/page/321067-concorde-mayfair-by-concorde-housing-corporation-pvt-ltd-in-nehru-nagar?gad_source=1&gclid=Cj0KCQjwna6_BhCbARIsALId2Z2TlsqowhScB-McQSDp7swB9_0ptYE6hbKYpnjXvk9HyI_lrucTi_UaAkiWEALw_wcB,https://www.squareyards.com/bangalore-residential-property/concorde-mayfair/91391/project
375852,Bangalore,DS Max Sky Shubham,https://www.magicbricks.com/ds-max-skyshubham-kithiganur-bangalore-pdpid-4d4235333139393039,https://housing.com/in/buy/projects/page/256093-ds-max-sky-shubham-by-dsmax-properties-private-limited-in-k-r-puram,https://www.squareyards.com/bangalore-residential-property/ds-max-sky-shubham/111119/project
427272,Bangalore,Sanjeevini Aarna,https://www.magicbricks.com/sanjeevini-aarna-hoskote-bangalore-pdpid-4d4235343232333637,https://housing.com/in/buy/projects/page/322054-sanjeevini-aarna-by-sanjeevini-group-in-hoskote,https://www.squareyards.com/bangalore-residential-property/sanjeevini-aarna/148428/project
423416,Bangalore,Sree Urban Orchids Phase 2,https://www.magicbricks.com/sree-urban-orchids-phase-ii-panathur-bangalore-pdpid-4d4235343136333239,https://housing.com/in/buy/projects/page/299465-sree-urban-orchids-phase-ii-by-sree-builders-developers-in-panathur,https://www.squareyards.com/bangalore-residential-property/sree-urban-orchids/188845/project
418615,Mumbai,Edmont Aurelia,https://www.magicbricks.com/ashwin-sheth-edmont-aurelia-kandivali-west-mumbai-pdpid-4d4235343137373835,https://housing.com/in/buy/projects/page/310525-edmont-aurelia-by-ashwin-sheth-group-in-kandivali-west,https://www.squareyards.com/mumbai-residential-property/sheth-edmont-aurelia/234701/project
402881,Bangalore,SNR Safa,https://www.magicbricks.com/snr-safa-sarjapur-road-bangalore-pdpid-4d4235313239343431,https://housing.com/in/buy/projects/page/290359-snr-safa-by-snr-square-in-chikkadunnasandra,https://www.squareyards.com/bangalore-residential-property/snr-safa/212076/project
306221,Bangalore,JRC Palladio,https://www.magicbricks.com/jrc-palladio-sarjapur-road-bangalore-pdpid-4d4235313231353735,https://housing.com/in/buy/projects/page/144730-jrc-palladio-by-jrc-projects-pvt-ltd-in-sarjapur,https://www.squareyards.com/bangalore-residential-property/jrc-palladio/101295/project
282227,Mumbai,25 South,https://www.magicbricks.com/hubtown-25-south-prabhadevi-mumbai-pdpid-4d4235313538353937,https://housing.com/in/buy/projects/page/266449-hubtown-twenty-five-south-north-tower-by-hubtown-in-prabhadevi,https://www.squareyards.com/mumbai-residential-property/hubtown-25-south/11052/project
396698,Bangalore,Mars Planet,https://www.magicbricks.com/mars-the-planet-banashankari-stage-3-bangalore-pdpid-4d4235343233343337,https://housing.com/in/buy/projects/page/283051-mars-planet-by-mars-builders-in-hosakerehalli,https://www.squareyards.com/bangalore-residential-property/mars-the-planet/188072/project
407935,Bangalore,Sowparnika Life On The Green,https://www.magicbricks.com/sowparnika-life-on-the-green-attibele-bangalore-pdpid-4d4235343130373433,https://housing.com/in/buy/projects/page/299141-sowparnika-life-on-the-green-by-sowparnika-projects-infrastructure-private-limited-in-bidaraguppe,https://www.squareyards.com/bangalore-residential-property/sowparnika-life-on-the-green/223278/project
377796,Bangalore,Adarsh Park Heights,https://www.magicbricks.com/adarsh-park-heights-phase-1-varthur-bangalore-pdpid-4d4235333330363335,https://housing.com/in/buy/projects/page/307233-adarsh-park-heights-by-akarsha-realty-private-limited-in-gunjur-village,https://www.squareyards.com/bangalore-residential-property/adarsh-park-heights/113038/project
432547,Bangalore,DSR The Address,https://www.magicbricks.com/dsr-the-address-sarjapur-road-bangalore-pdpid-4d4235343233333939,https://housing.com/in/buy/projects/page/331176-dsr-the-address-by-dsr-infrastructure-pvt-ltd-in-sarjapur,https://www.squareyards.com/bangalore-residential-property/dsr-the-address/308455/project
