XID,Project Name,City,Housing.com Link
R419253,Aashray Eminent,Vadodara,https://housing.com/buy-aashray-eminent-by-shiv-realcon-in-bhayli-vadodara-pid-310502
R419326,Mighty Hills,Rajahmundry,Not Found
R419462,Laxmi Fresh Living,Bhubaneswar,https://housing.com/buy-laxmi-fresh-living-by-laxmi-infra-venture-pvt-ltd-in-phulnakhara-bhubaneswar-pid-311361
R419479,Kanaklaxmi Leela Janak Apartment,Nashik,https://housing.com/buy-kanaklaxmi-leela-janak-apartment-by-kanaklaxmi-developers-in-amrutdham-nashik-pid-306576
R419486,Eeshanya Aadhya,Coimbatore,https://housing.com/buy-eeshanya-aadhya-by-eeshanya-constructions-in-saravanampatty-coimbatore-pid-305308
R419491,SG European Village and Resorts,Nainital,Not Found
R419714,Skandha Upresidence,Thiruvallur,https://housing.com/in/buy/projects/page/311519-sai-skandha-up-residence-by-sai-skandha-guru-promoters-llp-in-periyakuppam
R419735,Florenza By Devashri,North Goa,https://housing.com/in/buy/projects/page/312142-devashri-florenza-by-devashri-real-estate-developers-in-arpora
R419768,Shantam Nest,Vadodara,https://housing.com/buy-vaibhav-shantam-nest-by-vaibhav-infra-in-tarsali-vadodara-pid-318312/brochure
R419772,Veera Eminence,North Goa,https://housing.com/in/buy/projects/page/331605-veera-eminence-by-veera-developers-in-candolim
R419816,Rajshree Regalia,Ahmedabad North,https://housing.com/buy-rajshree-regalia-by-rajshree-group-in-gota-ahmedabad-pid-309846
R419968,Gurukrupa Alaknanda,Western Mumbai,https://housing.com/in/buy/projects/page/311455-gurukrupa-alaknanda-by-gurukrupa-realcon-builders-and-developers-in-juhu
R420000,Ashiana Nitara,Jaipur,https://www.ashianahousing.com/premium-homes/jaipur/nitara-premium-home-jaipur
R420047,Devaloke Sonarcity,Kolkata South,https://housing.com/buy-devaloke-sonarcity-phase-ii-by-devaloke-builders-in-narendrapur-kolkata-pid-225959
R420085,Inclts Orchhid,Guwahati,Not Found
R420162,Aastha The Watermark,Jamshedpur,Not Found
R420231,Pearl The Central Park,Ranchi,https://housing.com/in/buy/projects/page/223053-horizon-pearl-by-horizon-promoters-in-mulund-west
R420288,Suvik Aspire,Nasik,https://housing.com/buy-suvik-aspire-by-suvik-buildcon-in-indira-nagar-nashik-pid-310955
R420320,VR Vivanta,Vadodara,https://housing.com/buy-vr-vivanta-by-vr-group-in-harni-vadodara-pid-309820
R420338,Capital Royal Casa,Dehradun,https://housing.com/buy-capital-royal-casa-by-doon-buildcon-pvt-ltd-in-gms-road-dehradun-pid-327788
R420353,Shree Vishnudhara Essence,Ahmedabad West,https://housing.com/buy-shree-vishnudhara-essence-by-art-nirman-ltd-in-thaltej-ahmedabad-pid-329068
R420359,The Avenue Milestone,Nasik,https://housing.com/buy-nashik-the-avenue-milestone-by-nashik-construwell-private-limited-in-govind-nagar-nashik-pid-311286
R420375,Sri Sai Residency,Lucknow,https://housing.com/buy-1450-sqft-3-bhk-villa-in-sarojini-nagar-for-rs-4200000-rid-15420866
R420379,Golden Glory 101,Nagpur,https://housing.com/buy-golden-glory-101-by-golden-land-developers-in-panjari-farm-nagpur-maharashtra-pid-312544
R420399,Trinity Bless Residency,Beyond Mira Road,https://housing.com/in/buy/projects/page/312429-trinity-bless-residency-by-trinity-constructions-in-vasai-west
R420412,Palm Paradise,Vadodara,https://housing.com/buy-gajanand-developers-palm-paradise-by-gajanand-developers-in-harni-vadodara-pid-199794
R420447,Shalimar Altius,Mangalore,Not Found
R420495,Ayushi Shivmalti Vihar Ayushi Dhara,Jabalpur,Not Found
R420532,Parth Enclave,Jaipur,https://housing.com/buy-parth-enclave-by-prem-mohan-buildtech-in-karolan-ka-barh-jaipur-rajasthan-pid-315897
R420548,Fortune Imperia 2,Vadodara,https://housing.com/buy-fortune-imperia-2-by-fortune-group-in-bhayli-vadodara-pid-265603
R420565,Silver Park,Jabalpur,https://housing.com/buy-property-in-silver-park-colony-indore-for-sale-srpid-M8vP1gnwn0ixw6szc5ij
R420567,Kingmaker Universe,Indore,https://housing.com/buy-kingmaker-universe-by-kingmaker-infratech-private-limited-in-malharganj-indore-pid-312376
R420678,Urban Sereno,Bhubaneswar,https://housing.com/buy-urban-sereno-by-urban-developers-and-builders-in-bidyadharpur-bhubaneswar-pid-319841
R420711,Adross Radharani Housing Complex,Kolkata North,https://housing.com/buy-radha-rani-housing-complex-by-adross-pvt-ltd-in-madhyamgram-kolkata-pid-304320
R420746,Evos Alchemy,Bhubaneswar,https://housing.com/buy-evos-alchemy-by-evos-buildcon-pvt-ltd-in-raghunathpur-bhubaneswar-pid-316687
R420796,Amardeep Harmony,Vadodara,https://housing.com/buy-amar-amardeep-harmony-by-amar-group-in-chhani-vadodara-pid-317215
R420826,Iskcon Residency,Thane Outskirts,https://housing.com/in/buy/projects/page/310130-iskcon-residency-phase-1-by-iskcon-realtors-in-ambernath-east
R420947,Haware My First Home,Navi Mumbai,https://housing.com/in/buy/projects/page/311684-haware-my-first-home-shil-phata-by-haware-properties-in-shilphata
R420991,Sree City Kubera,Vijayawada,https://housing.com/in/buy/projects/page/343020-sree-city-kubera-by-srk-sreecity-in-nunna
R421185,Raghuvir Spelito,Surat,https://housing.com/buy-raghuvir-spelito-by-raghuvir-developers-in-vesu-surat-pid-316565
R421218,Bhavyaa Green Grandeur,Jaipur,https://housing.com/buy-bhavyaa-green-grandeur-by-bhavyaa-green-builders-in-jagatpura-jaipur-rajasthan-pid-316015
R421333,Sankars Akilandeswari,Chennai South,https://housing.com/in/buy/projects/page/316904-sankars-akilandeswari-by-sankar-infraprojects-pvt-ltd-in-velachery
R421347,BCM Panache,Indore,https://housing.com/buy-bicholi-bcm-panache-and-upahar-nagar-phase-2-by-bicholi-devcon-llp-in-bicholi-hapsi-indore-pid-321614
R421404,SG Vista,Ghaziabad,https://housing.com/in/buy/projects/page/311700-sg-vista-by-sg-estates-in-raj-nagar-extension
R421436,Shivay Splendora,Vadodara,https://housing.com/buy-shivay-splendora-by-shivay-realty-in-ankhol-vadodara-pid-316191
R421461,Vanshdeep Vision 204,Jaipur,https://housing.com/buy-vanshdeep-vision-204-by-vanshdeep-builders-in-pratap-nagar-jaipur-rajasthan-pid-317081
R421468,Eldeco Trinity,Lucknow,https://housing.com/buy-eldeco-trinity-by-eldeco-inception-buildtech-private-limited-in-gomti-nagar-lucknow-pid-314318
R421475,Amore Breeze Heights,Navi Mumbai,https://housing.com/in/buy/projects/page/314226-amore-breeze-heights-by-amore-builders-llp-in-nerul
R421503,Gurukrupa Sharanam,Western Mumbai,https://housing.com/in/buy/projects/page/311687-sharanam-by-gurukrupa-realcon-builders-and-developers-in-dahisar-east
R421515,SRV Amulyam,Mohali,https://housing.com/in/buy/projects/page/314265-arora-amulyam-by-arora-land-corp-in-kurali
R421539,Motwani Anantara,Bhubaneswar,https://housing.com/buy-motwani-anantara-by-motwani-constructions-pvt-ltd-in-jharapada-bhubaneswar-pid-316156
R421649,Green City Extension,Bhopal,https://housing.com/buy-green-city-extension-by-krishna-homes-builders-developers-in-bawadiya-kalan-bhopal-pid-313351
R421650,Tirupati Homes by RCL Buildcon,Bhopal,https://housing.com/buy-r-c-l-tirupati-homes-by-r-c-l-buildcon-pvt-ltd-in-maholi-bhopal-pid-313339
R421654,Buildwell Eminence,Indore,https://housing.com/buy-buildwell-eminence-by-buildwell-realty-in-rewati-indore-pid-313527
R421709,Vajra Aavaas Sahita,Hyderabad,https://housing.com/in/buy/projects/page/312576-vajra-aavaas-sahita-by-vajra-builders-and-developers-in-dundigal
R421811,Srijan Heights,Jamshedpur,https://housing.com/buy-flats-in-jamshedpur-for-sale-srpid-P24djtdlkx4amkz28
R421825,Shanoor Embassy Square,Trivandrum,Not Found
R422102,Chetanya Grandeur Heights,Bhopal,https://housing.com/buy-chetanya-grandeur-heights-by-chetanya-builders-and-colonisers-in-gulmohar-colony-bhopal-pid-314387
R422122,Shubhams Horizon Park,Kota,https://housing.com/in/buy/kota_rajasthan/udyog_nagar_kota_industrial_area
R422151,Evolvus By Majestique,Pune East,https://housing.com/in/buy/projects/page/313645-evolvus-phase-i-by-majestique-landmarks-in-kharadi
R422247,Winsome Icon,Patna,https://housing.com/buy-1616-sqft-3-bhk-apartment-in-danapur-for-rs-11312000-rid-13711227
R422307,Aakar Park,Nagpur,https://housing.com/buy-aakar-park-by-aakar-constructions-group-in-ghogali-nagpur-maharashtra-pid-312822
R422308,RR Oak Tree,Coimbatore,https://housing.com/buy-rr-oak-tree-by-rr-builders-and-developers-in-madukkarai-coimbatore-pid-315144
R422312,Madhav Oeuvre Iconic,Ahmedabad West,https://housing.com/buy-madhav-oeuvre-iconic-by-madhav-oeuvre-iconic-in-bodakdev-ahmedabad-pid-318821
R422382,Swastika Empire,Vadodara,https://housing.com/buy-swastika-empire-by-swastika-realty-in-new-alkapuri-vadodara-pid-316621
R422389,PVR Vani Vihar,Visakhapatnam,https://housing.com/buy-pvr-vani-vihar-by-pvr-infra-developers-in-madhurawada-visakhapatnam-pid-315010
R422450,Ashiana ONE44,Jaipur,https://www.ashianahousing.com/elite-homes/jaipur/elite-homes-one-44-jaipur
R422569,Jains Central Park East,Hyderabad,https://housing.com/in/buy/projects/page/314445-jains-central-park-east-by-jain-constructions-in-pocharam-secunderabad
R422585,Ujwal Royal Residency,Hubli,https://housing.com/buy-independent-house-villa-for-sale-in-manish-nagar-nagpur-without-brokerage-srpid-D2M2P5porsn1yud0cfya4
R422695,Vishwa The Butterfly,Pune North,https://housing.com/in/buy/projects/page/314367-vishwa-the-butterfly-by-vishwa-developers-moshi-in-moshi
R422772,Nabhraj Kalpataru,Aurangabad,https://housing.com/in/buy/projects/page/21814-nabhraj-construction-nabhraj-nandanvan-by-nabhraj-group-in-chilkalthana
R422787,Urban Tree Sunstone Gardens,Thiruvallur,https://housing.com/in/buy/projects/page/324758-sunstone-garden-phase-1-by-urban-tree-infrastructures-in-veppampattu
R422802,Aarna Anantam,Vadodara,https://housing.com/buy-akhand-anantam-avenue-by-akhand-reality-in-chhani-vadodara-pid-254617
R422988,VR Hillcrest,Vadodara,https://housing.com/in/buy/projects/page/300497-vr-hillcrest-by-vr-group-in-rampura
R422994,Krishna Darshan Niwas,Vadodara,https://housing.com/buy-krishna-darshan-niwas-by-krushnadarshan-in-waghodia-road-vadodara-pid-317271
R423203,SWC Skylight,Vadodara,https://housing.com/buy-dev-swc-skylight-by-dev-buildcon-in-kalali-vadodara-pid-317380
R423230,Shalimar One World Pinnacle,Lucknow,https://housing.com/buy-one-world-pinnacle-by-shalimar-corp-limited-in-gomti-nagar-lucknow-pid-314959
R423240,PRS Windy Woods,Trivandrum,Not Found
R423312,Kothari Aarambh Elite,Nashik,https://housing.com/buy-aarambh-elite-by-kothari-housing-company-in-gangapur-nashik-pid-286109
R423386,Chitrapatjanak Dadasaheb Phalke Township Phase 1A,Raigad,https://housing.com/in/buy/projects/page/318882-chitrapatjanak-dadasaheb-phalke-township-phase-1a-by-anukarati-homes-pvt-ltd-in-shelu
R423457,Shyama Icon,Vadodara,https://housing.com/buy-shyama-icon-by-shree-giriraj-developers-in-bhayli-vadodara-pid-316317
R423459,Madhuvan The Rise,Vadodara,https://housing.com/buy-madhuvan-the-rise-by-madhuvan-group-in-harni-vadodara-pid-318322
R423539,Ambuja Utalika Luxury Panchami,Kolkata South,https://housing.com/buy-ambuja-utalika-luxury-phase-5-panchami-by-ambuja-neotia-in-mukundapur-kolkata-pid-250818
R423543,Majestic Sky Bungalow,Nagpur,https://housing.com/buy-majestic-sky-bungalow-by-jinraj-real-estate-in-wardhaman-nagar-nagpur-maharashtra-pid-319989
R423561,Sigma Jade,Western Mumbai,https://housing.com/in/buy/projects/page/315421-niketan-sigma-jade-by-niketan-ventures-private-limited-in-goregaon-west
R423584,Nanis Vedant Aquamarine,Nagpur,https://housing.com/buy-nanis-vedant-aquamarine-by-nanis-buildcon-pvt-ltd-in-sonegaon-nagpur-maharashtra-pid-317029
R423634,Shruti Apartment,Ahmedabad West,https://housing.com/buy-shruti-apartment-by-bosky-sapan-group-in-memnagar-ahmedabad-pid-317404
R423636,Vandematram Sky 100,Ahmedabad West,https://housing.com/buy-vandematram-sky-100-by-vandematram-infra-in-thaltej-ahmedabad-pid-318667
R423644,The Grasslands,Gandhinagar,https://housing.com/buy-the-grasslands-by-nakshtra-group-in-kudasan-gandhinagar-gujarat-pid-316753
R423675,NM Pride,Indore,https://housing.com/buy-nm-pride-by-nm-creations-in-talawali-chanda-indore-pid-316110
R423722,Sahu City Phase 2,Lucknow,https://housing.com/buy-sahu-city-phase-2-pearl-block-resale-flats-in-sultanpur-road-lucknow-srpid-AG6sreAH0
R423799,Gada Elina,Pune East,https://housing.com/in/buy/projects/page/314254-gada-elina-by-gada-group-in-dhanori
