Updated Projectid,Registration Number,Builder Name,Project Category,Project Name,State,District,Project Registration Date,Declared Date Of Completion,Tehsil,Total area in round figure (Sq.mt.),Latitude,Longtitude,Architect Name
#N/A,UPRERAPRJ141252,GALAXY REAL ESTATE DEVELOPERS AND BUILDERS PVT.LTD,Residential,SHIVALIK AKSHAY,Uttar Pradesh,Kanpur Nagar,1/10/2020,31-12-2026,Kanpur,6140,26.543293,80.262034,Ar. Vijai Prakash Gupta
R393708,UPRERAPRJ734569,GAURSONS INDIA PRIVATE LIMITED,Residential,THE ISLANDS,Uttar Pradesh,Gautam Buddha Nagar,9/6/2022,3/4/2030,Dadri,9018,28.467302,77.510531,ATEESH AGGARWAL
R4564,UPRERAPRJ6476,TRIDENT INFRA HOMES PVT. LTD.,Residential,"TRIDENT EMBASSY PHASE-2 (TOWERS G,H, I)",Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,31-12-2018,Gautam Buddha Nagar,7848,28.57064051,77.44553848,ANDLEYS ASSOCIATES PVT LTD
#N/A,UPRERAPRJ790651/09/2024,PRATEEK REALTORS INDIA PRIVATE LIMITED,Residential,PRATEEK GRAND BEGONIA (PHASE I),Uttar Pradesh,Ghaziabad,14-09-2024,10/6/2029,Ghaziabad,22284,28.648,77.4032,Anuj Agarwal Architects
#N/A,UPRERAPRJ711641,"SHARDA GARMENTS PRIVATE LIMITED
ASHRAY INFOSOLUTIONS PRIVATE LIMITED",Residential,BROOKSIDE VALLEY,Uttar Pradesh,Ghaziabad,7/11/2023,6/8/2028,Ghaziabad,23540,28.72071,77.45327,Anuj Agarwal
R1125,UPRERAPRJ10275,CAPITAL INFRAPROJECTS PRIVATE LIMITED,Residential,THE GOLDEN PALMS (TOWER-O),Uttar Pradesh,Gautam Buddha Nagar,14-08-2017,31-12-2018,Gautam Buddha Nagar,12124,28.497688,77.408848,M/S. GYAN P MATHUR & ASSOCIATES PRIVATE LIMITED
#N/A,UPRERAPRJ11643,CBS INTERNATIONAL PROJECTS PRIVATE LIMITED,Residential,NOIDA WORLD ONE - PHASE 5,Uttar Pradesh,Gautam Buddha Nagar,15-08-2017,1/5/2022,Gautam Buddha Nagar,4000,28 30 52.81,77 24 47.11,Space Combine
#N/A,UPRERAPRJ4188,PAARTH INFRABUILD PRIVATE LIMITED,Residential,ARKA PHASE 1 (EWS/LIG),Uttar Pradesh,Lucknow,10/8/2017,20-12-2018,Lucknow,3918,81 00 52,26 48 20 ,M/s. Rudrabhishek Enterprises (P) Ltd.
R2738,UPRERAPRJ3469,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,UCHDPL-SECTOR-7-PLOTS,Uttar Pradesh,Ghaziabad,28-07-2017,31-05-2020,Ghaziabad,225488,28.63958,77.50689,NA
R325311,UPRERAPRJ308470,RISHITA DEVELOPERS PRIVATE LIMITED,Residential,RISHITA MULBERRY HEIGHTS PHASE 3,Uttar Pradesh,Lucknow,19-03-2020,31-03-2024,Sarojini Nagar,18314,26.781081,81.009128,Design Forum International
