Updated Projectid,Registration Number,Builder Name,Project Category,Project Name,State,District,Project Registration Date,Declared Date Of Completion,Tehsil,Total area in round figure (Sq.mt.),Latitude,Longtitude,Architect Name
#N/A,UPRERAPRJ738600,"OMAXE LIMITED
OMAXE LIMITED",Residential,"KRISHNA CASTLE- GH 02, PLOTTING",Uttar Pradesh,Mathura,26-03-2019,31-12-2019,Mathura,8543,27.3437,77.391,Prakash Kumar
#N/A,UPRERAPRJ6496,VIRAJ CONSTRUCTIONS PVT. LTD.,Commercial,BBD TIMES SQUARE-STUDIO APARTMENT & COMMERCIAL SPA,Uttar Pradesh,Lucknow,8/8/2017,31-03-2020,Lucknow,11250,26.87255887,81.01375987,CIVIL CONSULTANTS
R410309,UPRERAPRJ944626/09/2024,M/S SHALIMAR LAKECITY PRIVATE LIMITED (FORMERLY M/S ANS DEVELOPERS PRIVATE LIMITED),Residential,VALENCIA TOWERS- PHASE 2,Uttar Pradesh,Lucknow,28-09-2024,20-07-2029,Lucknow,19793,26.826907,81.022261,Shivam Srivastava
#N/A,UPRERAPRJ166763/08/2024,OMAXE GARV BUILTECH PRIVATE LIMITED (FOMERLY GARV BUILDTECH PRIVATE LIMITED),Residential,"OMAXE CASSIA GH II, PHASE II",Uttar Pradesh,Lucknow,5/8/2024,8/4/2029,Sarojini Nagar,9480,26.725985,80.943851,Apurba Borah
R4564,UPRERAPRJ6457,TRIDENT INFRA HOMES PVT. LTD.,Residential,"TRIDENT EMBASSY PHASE-1 (TOWERS A,B,C,D,E,F)",Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,31-03-2018,Gautam Buddha Nagar,15134,28.5711399,77.44566186,Andleys Associates Pvt.Ltd.
R300125,UPRERAPRJ575706,WONDROUS BUILDMART PRIVATE LIMITED,Residential,ELDECO LIVE BY THE GREENS PHASE -III,Uttar Pradesh,Gautam Buddha Nagar,6/12/2021,28-02-2027,Gautam Buddha Nagar,9871,28.41828002,77.48763798,Mr. Kulmeet Shangari
#N/A,UPRERAPRJ538912/07/2024,NARENDER SINGH CHADHA,Commercial,AKASH SHOPPING COMPLEX,Uttar Pradesh,Moradabad,12/7/2024,8/5/2027,Moradabad,3026,28.823347,78.681561,RAJAT ANAND
#N/A,UPRERAPRJ3055,PARK TOWN COMPLEX PRIVATE LIMITED,Commercial,PARK TOWN COMMERCIAL COMPLEX PHASE 1(BLOCK B),Uttar Pradesh,Ghaziabad,28-07-2017,18-04-2022,Ghaziabad,2095,28.6568,77.481,N + U DESIGN STUDIO
#N/A,UPRERAPRJ208112/10/2024,"PRATEEK SINGH
GULAB SINGH BELA SINGH CHARITABLE TRUST",Residential,GSG PALM VILLA,Uttar Pradesh,Prayagraj,11/10/2024,22-10-2024,Phulpur,8224,25.25222,81.56062,AL-DESIGN
R4006,UPRERAPRJ4850,RAJESH PROJECTS (INDIA) PVT. LTD,Residential,RG LUXURY HOMES (TOWER G & H),Uttar Pradesh,Gautam Buddha Nagar,1/8/2017,30-09-2020,Gautam Buddha Nagar,13554,28*36’17N,77*26’59E,
R9248,UPRERAPRJ7354,MRJV CONSTRUCTION COMPANY,Residential,PALM RESORT,Uttar Pradesh,Ghaziabad,31-07-2017,31-12-2019,Ghaziabad,28567,28 42''15.38 N,77 25' ' 29.74E,Vishal Mittal
#N/A,UPRERAPRJ14046,NINE PLANET INFRASTRUCTURE PVT LTD,Residential,CROWN9 RESIDENCY,Uttar Pradesh,Bareilly,30-10-2017,9/11/2020,Bareilly,12321,28.4282,79.4684,SUMIT AGARWAL
R301705,UPRERAPRJ15457,PINTAIL INFRACON LLP,Residential,"PINTAIL PARK CITY (PH 1 PLOTS)
(Completed)",Uttar Pradesh,Lucknow,16-03-2018,25-09-2022,Mohanlalganj,160122.17,26.7864,81.03,Pankaj Sangwan
R921,UPRERAPRJ4186,LOGIX INFRATECH PRIVATE LIMITED,Residential,"BLOSSOM GREENS (PHASE-2 TOWER- H, I &J)",Uttar Pradesh,Gautam Buddha Nagar,3/8/2017,31-08-2021,Gautam Buddha Nagar,16471,77.3273 E,28.5874 N,
R265239,UPRERAPRJ8684,PANCHSHEEL BUILDTECH PVT. LTD.,Residential,PANCHSHEEL PRIME 390 PHASE - 3 (BLOCK - 6 TO 13),Uttar Pradesh,Ghaziabad,12/8/2017,31-08-2021,Ghaziabad,4946,"28,40,38","77,29,11",Gaurav Singla
#N/A,UPRERAPRJ13342,RAJIV RANJAN KUMAR SINGH,Residential,HARI ENCLAVE,Uttar Pradesh,Varanasi,11/10/2017,21-02-2021,Varanasi,5321,25.24888,82.978723,G.S. SHUKLA
R397089,UPRERAPRJ422981,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,UCHDPL-ELIGO,Uttar Pradesh,Ghaziabad,9/8/2022,22-03-2027,Ghaziabad,17089,28.641687,77.506894,Niraj Kumar Nanda 
#N/A,UPRERAPRJ6473,HORIZON BUILDCON PRIVATE LIMITED,Residential,IRIDIA,Uttar Pradesh,Gautam Buddha Nagar,31-10-2017,31-12-2021,Gautam Buddha Nagar,63546,28 31 38 N,77 24 52 E,Genre of Design
#N/A,UPRERAPRJ7458,R. R. DWELLINGS PVT LTD,Residential,CELEBRITY GARDENS BLOCK R,Uttar Pradesh,Lucknow,31-07-2017,30-09-2018,Lucknow,3422,26.769006 N,26.770065 N,Viresh Kumar
#N/A,UPRERAPRJ692448,SIDDHARTHA DEVELOPERS,Residential,PASSION ROYAL COTTAGE,Uttar Pradesh,Kanpur Nagar,1/8/2022,24-03-2027,Kanpur,37738,26.546558,80.257677,RAJIV BAJPAI
#N/A,UPRERAPRJ839480/07/2024,GORAKHPUR DEVELOPMENT AUTHORITY,Residential,GREENWOOD RESIDENTIAL SCHEME,Uttar Pradesh,Gorakhpur,9/7/2024,19-02-2029,Gorakhpur,21057,26.735408,83.386296,BINDRESH KUMAR SAHANI
#N/A,UPRERAPRJ2853,RR BUILDERS,Residential,MIHIR HEIGHTS,Uttar Pradesh,Meerut,14-08-2017,31-10-2019,Meerut,2900,28.9702,77.64928,AMIT GUPTA
R255635,UPRERAPRJ4403,RISE PROJECTS PVT LTD,Residential,RISE ORGANIC GHAR PHASE 1,Uttar Pradesh,Ghaziabad,1/8/2017,30-06-2021,Ghaziabad,9025,28.63705572,77.47681855,
#N/A,UPRERAPRJ3410,PAARTH INFRABUILD PRIVATE LIMITED,Residential,AADYANT PHASE-3,Uttar Pradesh,Lucknow,10/8/2017,16-09-2018,Lucknow,830,26 48 25.5,81 00 39.48,M/s. Rudrabhishek Enterprises (P) Ltd.
R938,UPRERAPRJ8545,PANCHSHEEL BUILDTECH PVT. LTD.,Residential,PANCHSHEEL HYNISH PHASE -3 (TOWER - T12),Uttar Pradesh,Gautam Buddha Nagar,13-08-2017,2/7/2020,Gautam Buddha Nagar,3961,"28,34,25","77,26,35",Oasis Designs incorporated
#N/A,UPRERAPRJ5008,SKV INFOTECH PRIVATE LIMITED,Commercial,WINSTEN PARK PHASE-1,Uttar Pradesh,Gautam Buddha Nagar,2/8/2017,14-12-2020,Gautam Buddha Nagar,15000,28.553936,77.474234,Space Designers International Architects Pvt Ltd
#N/A,UPRERAPRJ10636,KINDLE DEVELOPERS PRIVATE LIMITED,Residential,LORDS,Uttar Pradesh,Gautam Buddha Nagar,15-08-2017,31-12-2020,N/A,90000,28.558347,77.394165,DEVELOPMENTS CONSULTANT
#N/A,UPRERAPRJ552003,YAMUNA EXPRESSWAY INDUSTRIAL DEVLOPMENT AUTHORITY,Residential,RPS-04/2021,Uttar Pradesh,Gautam Buddha Nagar,26-02-2021,31-05-2026,Gautam Buddha Nagar,46262,28.33166,77.578288,SHARDUL VIKRAM TIWARI
#N/A,UPRERAPRJ922836,KESHAV GREENS INDIA PRIVATE LIMITED,Mixed,KESHAV GREEN VALLEY,Uttar Pradesh,Sitapur,28-07-2021,11/1/2026,Sitapur,15044,26.80977,80.48759,Rohit Gupta
R58586,UPRERAPRJ1538,OMAXE LIMITED,Residential,"GH-3 (WATERSCAPE), PHASE - 1, AT OMAXE INTEGRATED",Uttar Pradesh,Lucknow,27-07-2017,25-09-2022,Lucknow,9627,26.81446,80.993231,PRAKASH KUMAR
R63173,UPRERAPRJ2634,SAMRIDHI REALTY HOMES PRIVATE LIMITED,Residential,"SAMRIDHI GRAND AVENUE
(Completed)",Uttar Pradesh,Gautam Buddha Nagar,28-07-2017,31-12-2019,Gautam Buddha Nagar,27989,283542.70N,772717.71E, Deepak Mehta & Associates 
R14592,UPRERAPRJ7003,PATEL ADVANCE JV,Residential,NEOTOWN PHASE-1,Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,30-06-2019,Gautam Buddha Nagar,40279,28°35'19.23''N077°26'30.56''E ,28°35'20.66''N 077°26'35.04''E,GIAN P. MATHUR & ASSOCIATES PVT. LTD.
R63501,UPRERAPRJ6678,SAYA HOMES PVT LTD,Residential,SAYA GOLD AVENUE (PHASE 2),Uttar Pradesh,Ghaziabad,1/8/2017,31-12-2019,Ghaziabad,20036,77 22 00,28 38 07,Shivendra Nath
R4006,UPRERAPRJ4723,RAJESH PROJECTS (INDIA) PVT. LTD,Residential,"RG LUXURY HOMES - TOWER B, C, D & E",Uttar Pradesh,Gautam Buddha Nagar,1/8/2017,30-09-2020,Gautam Buddha Nagar,22830,28*36’17N,77*26’59E,
R329835,UPRERAPRJ245194,SCC BUILDERS PVT. LTD.,Residential,SCC BLOSSOM (PMAY) PH-2 BLOCK C AND BLOCK D,Uttar Pradesh,Ghaziabad,16-04-2019,30-06-2024,Ghaziabad,5703,28.705489,77.436161,ANUJ AGARWAL ARCHITECTS
#N/A,UPRERAPRJ4661,OMEGA DEVELOPER AND BUILDERS,Residential,OMEGA PRESIDENCY,Uttar Pradesh,Lucknow,29-07-2017,31-03-2019,Lucknow,2998,26.894825,81.071606,NAMIT AGARWAL
R403945,UPRERAPRJ503189/03/2024,IRISH BUILDCON PRIVATE LIMITED,Residential,IRISH PLATINUM,Uttar Pradesh,Gautam Buddha Nagar,2/3/2024,31-01-2029,Dadri,18819,28.572833,77.482602,Kailash Aggarwal
R1918,UPRERAPRJ6106,MR PROVIEW REALTECH PRIVATE LIMITED,Residential,SHALIMAR CITY PHASE-1,Uttar Pradesh,Ghaziabad,31-07-2017,9/9/2018,Modinagar,4239,28  43'  7.29' N,77  44'  57' 46' E,ANUJ AGARWAL 
R293555,UPRERAPRJ550435/05/2024,OMAXE GARV BUILTECH PRIVATE LIMITED (FOMERLY GARV BUILDTECH PRIVATE LIMITED),Residential,OMAXE METRO CITY P-1 B,Uttar Pradesh,Lucknow,27-05-2024,30-09-2027,Sarojini Nagar,30480,26.717013,80.928423,Apurbha Borah
R171457,UPRERAPRJ6209,STELLAR SPRING PROJECTS PRIVATE LIMITED,Residential,STELLAR ONE PHASE 1,Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,31-03-2020,Dadri,21487,28'-34'-41.92',77'-26'-03.85',Dinesh Banyal
#N/A,UPRERAPRJ6462,R. R. CIVIL TECH PVT LTD,Residential,CELEBRITY MEADOWS BLOCK C,Uttar Pradesh,Lucknow,31-07-2017,31-03-2019,Lucknow,4410,26.769575 N,80.997835 E,Viresh Kumar
R8874,UPRERAPRJ5848,SUPERTECH TOWNSHIP PROJECT LIMITED,Residential,SUPERTECH GOLF COUNTRY (PHASE-I),Uttar Pradesh,Gautam Buddha Nagar,14-08-2017,30-06-2018,Gautam Buddha Nagar,33096,28.300814,77.543903,Space Designer International
#N/A,UPRERAPRJ12592,SUDHA LAND VENTURES & HOMES PRIVATE LIMITED,Residential,SUDHA VIHAR,Uttar Pradesh,Jhansi,31-08-2017,31-08-2018,Jhansi,56870,25'28'26.4'N,78'36'12.2'E,RUPESH SHRIVASTAVA
R64884,UPRERAPRJ279104,SKARDI REALTECH PVT LTD,Residential,SKARDI GREENS - PHASE-2,Uttar Pradesh,Ghaziabad,11/6/2019,31-03-2024,Ghaziabad,9598,2839'26.6',77° 28'21.5,KAILASH AGRAWAL
R262156,UPRERAPRJ5031,OMAXE PANCHAM REALCON PVT. LTD. (FOMERLY PANCHAM REALCON PVT. LTD.),Residential,OMAXE AANANDA (HITECH TOWNSHIP) TOWER - A,Uttar Pradesh,Prayagraj,11/8/2017,18-04-2023,Allahabad **,8856,25.389323,81.890904,PRAKASH KUMAR 
R368970,UPRERAPRJ494753,IRISH INFRASTRUCTURE PRIVATE LIMITED,Residential,IRISH PEARLS,Uttar Pradesh,Gautam Buddha Nagar,14-01-2020,3/10/2024,Gautam Buddha Nagar,10030,28'34'54.76'N,77'26'2.74'E,KAILASH CHANDER AGGARWAL
#N/A,UPRERAPRJ2662,RITA DIXIT,Commercial,JC WORLD HOSPITALITY PRIVATE LIMITED,Uttar Pradesh,Gautam Buddha Nagar,1/8/2017,31-12-2018,Gautam Buddha Nagar,8096,28.5161064,77.372979,MASS ARCHITECH
R407176,UPRERAPRJ899584,"TANDT INFRA BUILDERS PRIVATE LIMITED
KENDRIYA JAL AYOG SAHKARI AVAS SAMITI LIMITED",Residential,THE BLUE,Uttar Pradesh,Ghaziabad,2/9/2022,29-08-2027,Ghaziabad,6853,23.1446,77.40118,Dipanjan Mitra
#N/A,UPRERAPRJ12377,VIMLA DEVELOPERS,Residential,CHANDRA VIMLA VIHAR,Uttar Pradesh,Varanasi,30-08-2017,31-03-2018,Varanasi,3101,25.16'29.2'N,82.58'40'8'E,Mahendra Pratap Singh
#N/A,UPRERAPRJ4980,VIRAJ CONSTRUCTIONS PVT. LTD.,Residential,"LOTUS ENCLAVE-PHASE 1, BBD GREEN CITY",Uttar Pradesh,Lucknow,8/8/2017,31-12-2019,Lucknow,26600,26.88116352,81.05418368,DAZZLE DESIGN
R2274,UPRERAPRJ2437,IV COUNTY PVT LTD,Residential,"CLEO COUNTY ,PHASE -3,(COMPRISING TOWERS E1,E2,E3,",Uttar Pradesh,Gautam Buddha Nagar,27-07-2017,31-08-2022,Gautam Buddha Nagar,26396,28.598451,77.391327,MR VISHAL SHARMA
R293555,UPRERAPRJ5425,OMAXE GARV BUILTECH PRIVATE LIMITED (FOMERLY GARV BUILDTECH PRIVATE LIMITED),Residential,OMAXE METRO CITY (HITECH TOWNSHIP) P3,Uttar Pradesh,Lucknow,13-08-2017,31-12-2023,Lucknow,141404,26.71581,80.940036,PRAKASH KUMAR  
R2738,UPRERAPRJ3781,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,UCHDPL-SECTOR-4-WAVE FLOORS,Uttar Pradesh,Ghaziabad,28-07-2017,31-12-2018,Ghaziabad,4560,28.6561,77.49628,Niraj Kumar Nanda
R83229,UPRERAPRJ5534,VIRAJ CONSTRUCTIONS PVT. LTD.,Residential,"SUN BREEZE II (PHASE-1), BBD GREEN CITY",Uttar Pradesh,Lucknow,8/8/2017,31-03-2020,Lucknow,24175,26.87954893,81.05540048,SIKKA ASSOCIATES ARCHITECT
#N/A,UPRERAPRJ13828,PRATEEK REALTORS INDIA PRIVATE LIMITED,Commercial,PRATEEK GRAND CITY WALK (CARNESIA),Uttar Pradesh,Ghaziabad,27-10-2017,31-12-2020,Ghaziabad,2627,28.648039,77.403241,DEEPAK MEHTA & ASSOCIATES AND DESIGN CONCEPT BY ARCHITECT HAFEEZ CONTRACTOR
#N/A,UPRERAPRJ900072,PROTOSTAR INFRAESTATES PVT LTD,Residential,CELESTIA,Uttar Pradesh,Lucknow,16-09-2019,31-07-2024,Lucknow,2077,26.835191,80.926748,Ar. Chitranshu Khare - Point Architects Pvt Ltd
R922,UPRERAPRJ5017,SUPERTECH LIMITED,Residential,SUPERTECH CAPETOWN (PHASE-I),Uttar Pradesh,Gautam Buddha Nagar,10/8/2017,30-12-2019,Gautam Buddha Nagar,10266,28.573404,77.387714,VISHAL MITTAL Space Designers International
#N/A,UPRERAPRJ969270,RISHITA DEVELOPERS PRIVATE LIMITED,Residential,RISHITA SERENITY PHASE I,Uttar Pradesh,Lucknow,19-09-2022,31-12-2025,Lucknow,10641,26.7809662,81.0063959,Anil Kumar C/o Design Forum International
#N/A,UPRERAPRJ868210,"RISHITA DEVELOPERS PRIVATE LIMITED
RISHITA BHAWAN NIRMAN PRIVATE LIMITED",Residential,RISHITA MANHATTAN (PHASE-III),Uttar Pradesh,Lucknow,2/9/2022,31-12-2025,Lucknow,3101,45.063,44.37636,Nagendra Tripathi
R4006,UPRERAPRJ4815,RAJESH PROJECTS (INDIA) PVT. LTD,Residential,"RG LUXURY HOMES - TOWER A, F & M",Uttar Pradesh,Gautam Buddha Nagar,1/8/2017,30-09-2020,Gautam Buddha Nagar,18016,28*36’17N,77*26’59E,
R15378,UPRERAPRJ6766,SOLITAIRE REALINFRA PRIVATE LIMITED,Residential,SOLITAIRIAN CITY - (SOLI-)PHASE-3,Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,31-01-2024,Gautam Buddha Nagar,16352,28.358191,77.53099,vishal sharma
#N/A,UPRERAPRJ2514,VIBHOR VAIBHAV INFRAHOME PVT. LTD.,Residential,VVIP ASSET,Uttar Pradesh,Ghaziabad,31-07-2017,31-12-2018,Ghaziabad,21717,N 28' 42' 2.9094',N 28' 42.048489',Anuj Agarwal Architects Pvt. Ltd.
R24550,UPRERAPRJ8805,PANCHSHEEL BUILDTECH PVT. LTD.,Residential,PANCHSHEEL WELLINGTON (TOWER R7-R8),Uttar Pradesh,Ghaziabad,14-08-2017,31-08-2022,Ghaziabad,7648,"28,37,49","77,26,04",gaurav singla
#N/A,UPRERAPRJ12351,SNG DEVELOPERS LTD,Residential,ANANDLOK,Uttar Pradesh,Firozabad,30-10-2017,1/2/2018,Tundla **,8139,27 12,78 45,AKS Associates
#N/A,UPRERAPRJ236976,VIDHAN METRO,Residential,VIDHAN METRO PHASE-I,Uttar Pradesh,Varanasi,9/1/2021,30-03-2024,Varanasi,3636,25.3682,25.3677,AJAY SINGH
R403916,UPRERAPRJ569037,M/S SHALIMAR CORP LTD.,Residential,SHALIMAR GALLANT WEST,Uttar Pradesh,Lucknow,19-07-2022,20-10-2026,Lucknow,8162,26.884066,80.9555256,Mr. Nikhil Arora (M/s. Arcop Associates)
#N/A,UPRERAPRJ13032,SADHANA CITY HOMES PRIVATE LIMITED,Commercial,VIJAY ORC,Uttar Pradesh,Lucknow,23-09-2017,15-11-2020,Lucknow,1000,26.8514' N,81.0272' E,Repunjay Patel
R5832,UPRERAPRJ617209,NIRALA INFRATECH PRIVATE LIMITED,Residential,NIRALA ESTATE PHASE-IV,Uttar Pradesh,Gautam Buddha Nagar,1/4/2021,24-12-2026,Gautam Buddha Nagar,11240,28.5867185,77.44030083,Mr. Deepak Mehta
R262156,UPRERAPRJ5381,OMAXE PANCHAM REALCON PVT. LTD. (FOMERLY PANCHAM REALCON PVT. LTD.),Residential,OMAXE AANANDA (HITECH TOWNSHIP) TOWER - F,Uttar Pradesh,Prayagraj,29-07-2017,18-04-2023,Karchhana,7238,25.388968,81.890231,PRAKASH KUMAR
#N/A,UPRERAPRJ684151,"THE INNOVATORS DIGITAL ADS PVT. LTD
THE INNOVATORS DIGITAL ADS PVT. LTD.",Residential,SOLITAIRE ROYAL,Uttar Pradesh,Prayagraj,27-07-2022,29-07-2026,Allahabad,2250,25.40316296,81.75143227,Deepak Mehta 
R285221,UPRERAPRJ260653,M/S SHALIMAR LAKECITY PRIVATE LIMITED (FORMERLY M/S ANS DEVELOPERS PRIVATE LIMITED),Residential,BELVEDERE COURT - 3 (GH-10 & 11) INTEGRATED TOWNSHIP BAGHAMAU,Uttar Pradesh,Lucknow,28-04-2020,15-04-2025,Lucknow,25797,26.825984,81.023957,42 MM Architecture
#N/A,UPRERAPRJ516674,"AU REAL ESTATE SERVICES PRIVATE LIMITED
AGARWAL ASSOCIATES (PROMOTERS) LIMITED",Residential,"ARIHANT ENCLAVE
(Completed)",Uttar Pradesh,Ghaziabad,16-05-2023,22-03-2028,Ghaziabad,12175,28.6489012,77.4904864,ANUJ AGARWAL 
R414540,UPRERAPRJ308567,SAM INDIA ABHIMANYU HOUSING,Residential,PALM OLYMPIA PH 2,Uttar Pradesh,Gautam Buddha Nagar,22-07-2023,30-04-2028,Gautam Buddha Nagar,33050,28.3659,77.2511,Mr. Vishal Sharma
#N/A,UPRERAPRJ6392,CREST INFRACON PRIVATE LIMITED,Residential,GOLF RIDGE TOWER - BLOCK-A (TOWER- 1 & 2),Uttar Pradesh,Lucknow,31-07-2017,31-12-2021,Lucknow,8986,26.772056,81.015861,DESIGN FORUM INTERNATIONAL
#N/A,UPRERAPRJ625784,MAHALUXMI BUILDTECH LIMITED,Residential,MIGSUN ATHARVA (PMAY),Uttar Pradesh,Ghaziabad,24-10-2019,16-06-2024,Ghaziabad,9930,28'44'0.82'' N,77'26'43.58'' E,VISHAL MITTAL
#N/A,UPRERAPRJ1787,THAPAR BUILDERS PVT LTD,Residential,THE ARTHAH,Uttar Pradesh,Ghaziabad,2/8/2017,10/10/2018,Ghaziabad,4000,28º 38'32'N,77º 20'23'E,Morphogenesis
#N/A,UPRERAPRJ2227,OMAXE LIMITED,Commercial,"COMM. (KRISHNA CREST - 1), AT OMAXE ETERNITY, VRINDAVAN",Uttar Pradesh,Mathura,27-07-2017,31-05-2020,Mathura,3189,27.34'46.83'',77.39'18.19'',PRAKASH KUMAR 
#N/A,UPRERAPRJ990837/07/2024,"NIKHIL AGARWAL
TUSHAR AGRAWAL",Residential,A.V. GREEN,Uttar Pradesh,Moradabad,12/7/2024,31-03-2025,Moradabad,12577,28.894792,78.725159,Alina Asif
#N/A,UPRERAPRJ868210,"RISHITA DEVELOPERS PRIVATE LIMITED
RISHITA BHAWAN NIRMAN PRIVATE LIMITED",Residential,RISHITA MANHATTAN (PHASE-III),Uttar Pradesh,Lucknow,2/9/2022,31-12-2025,Lucknow,3101,45.063,44.37636,Nagendra Tripathi
R171063,UPRERAPRJ555231,"M/S SHALIMAR CORP LTD.
ENGILA SHERE
FARIAH SHERE
GAZELLE SHERE
IMPERIAL GREEN INFRATECH PRIVATE LIMITED
SANAM SHERE
SYED FARIDOON SHERE",Residential,SHERE`S SHALIMAR MANNAT EXTENSION-3,Uttar Pradesh,Barabanki,14-07-2022,19-10-2026,Nawabganj,11483,26.90273,81.102784,Ar. Alpana Bhargava - Ms JSR Designs Pvt. Ltd.
#N/A,UPRERAPRJ515798,"VCJ KUBER HIGHTS
ASHISH KUMAR MISHRA
MUKESH KUMAR MISHRA
SURESH KUMAR MISHRA
UMESH CHANDRA MISHRA",Residential,VCJ KUBER HEIGHTS,Uttar Pradesh,Jaunpur,10/1/2024,31-03-2026,Shahganj,2118,25.76273,82.70966, Ar. Krishan Kumar Srivastava
R402728,UPRERAPRJ274689,SUBLIME REALTECH PRIVATE LIMITED,Mixed,SPRING ELMAS,Uttar Pradesh,Gautam Buddha Nagar,17-12-2022,15-12-2029,Dadri,20000,28.561903,77.483416,VIPIN KUMAR
#N/A,UPRERAPRJ5546,VIRAJ CONSTRUCTIONS PVT. LTD.,Residential,"LOTUS ENCLAVE- PHASE 2, BBD GREEN CITY",Uttar Pradesh,Lucknow,8/8/2017,31-12-2020,Lucknow,31766,26.87985249,81.05344876,DAZZLE DESIGN
#N/A,UPRERAPRJ600636,MAHALUXMI BUILDTECH LIMITED,Residential,MIGSUN ATHARVA - MIGSUN MI GENTE - MIGSUN ESTELLA,Uttar Pradesh,Ghaziabad,5/7/2019,16-06-2024,Ghaziabad,35725,28'42'04.48'N,77'24'32.49'E,VISHAL MITTAL
R1361,UPRERAPRJ11625,SUNWORLD RESIDENCY PRIVATE LIMITED,Residential,"SUNWORLD ARISTA (PH-2 T-5,7,8,9), CLUB",Uttar Pradesh,Gautam Buddha Nagar,15-08-2017,31-12-2021,Gautam Buddha Nagar,10957,282936.63,772422.34,R.N. Gupta & Associates
R217045,UPRERAPRJ1550,OMAXE LIMITED,Residential,"GH-1 (GRAND OMAXE), PHASE - 4, AT OMAXE INTEGRATED",Uttar Pradesh,Lucknow,27-07-2017,31-07-2023,Lucknow,6932,26.811199,81.00025,PRAKASH KUMAR 
#N/A,UPRERAPRJ242773,"OXY HEIGHTZ INFRA LLP
DEEPAK GAMBHIR",Commercial,OXY HI STREET,Uttar Pradesh,Ghaziabad,9/1/2024,30-04-2028,Ghaziabad,5994,28.70989722,77.33050833,Anuj Agarwal Proprietor of Anuj Agarwal Architects
R151135,UPRERAPRJ5703,PAVITRA CONBUILD PRIVATE LIMITED,Residential,THE SAPPHIRE,Uttar Pradesh,Ghaziabad,1/8/2017,14-04-2021,Ghaziabad,7084,28.65246,77.47868,"Mr. Navdeep Sethi, "
#N/A,UPRERAPRJ4830,SUPERTECH LIMITED,Residential,SUPERTECH ECO VILLAGE-I (PHASE-II),Uttar Pradesh,Gautam Buddha Nagar,9/8/2017,30-05-2019,Gautam Buddha Nagar,69420,28.579507,77.439861,
R817,UPRERAPRJ9744,SUPERTECH LIMITED,Residential,SUPERTECH ECOCITI - PHASE-1,Uttar Pradesh,Gautam Buddha Nagar,12/8/2017,30-12-2017,Gautam Buddha Nagar,4917,28.511163,77.410926,Space Designers International
#N/A,UPRERAPRJ653132/10/2024,YAMUNA EXPRESSWAY INDUSTRIAL DEVLOPMENT AUTHORITY,Residential,RPS08/2024,Uttar Pradesh,Gautam Buddha Nagar,28-10-2024,30-06-2029,Gautam Buddha Nagar,194206,28.2713552,77.5455721,DEEPAK CHAUDHARY
#N/A,UPRERAPRJ179850,OCEAN INFRAHEIGHTS PRIVATE LIMITED,Commercial,GOLDEN I PHASE-II,Uttar Pradesh,Gautam Buddha Nagar,30-10-2021,24-12-2023,Gautam Buddha Nagar,30691,28.5936,77.4343,Sikka Associates Architects - Raman Sikka
#N/A,UPRERAPRJ3363,SVP BUILDERS INDIA LIMITED,Residential,GULMOHAR GARDEN PHASE II,Uttar Pradesh,Ghaziabad,11/8/2017,17-07-2019,Ghaziabad,38780,28.703159,77.435863,MR. ANUJ AGGARWAL
#N/A,UPRERAPRJ6934,GAURSONS HI-TECH INFRASTRUCTURE PRIVATE LIMITED,Commercial,GAUR CITY MALL,Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,31-12-2023,Dadri,24100,28.60613638,77.42949598,Ateesh Agarwal
#N/A,UPRERAPRJ10296,ORBIT INFRAPROMOTERS PVT. LTD.,Residential,APEX CITY,Uttar Pradesh,Meerut,14-08-2017,12/7/2019,Meerut,39900,28 58 25 31,77 37 53 28,Alliance Architects and Engineers
R271189,UPRERAPRJ3203,"RISHABH BUILDWELL PVT. LTD.
TANDT INFRA CREATIONS PRIVATE LIMITED",Residential,HINDON GREEN VALLEY,Uttar Pradesh,Ghaziabad,1/8/2017,30-06-2022,Ghaziabad,26626,28 38 51 N,28 38 43 N,Mr. Gyan Prakash Mathur
R64884,UPRERAPRJ4779,SKARDI REALTECH PVT LTD,Residential,SKARDI GREENS-PHASE-I,Uttar Pradesh,Ghaziabad,5/8/2017,30-09-2018,Ghaziabad,5207,28 39' 28.48 N,77 28' 19.45'E,KAILASH AGRAWAL
#N/A,UPRERAPRJ13388,SUPERIOR FABRICS PRIVATE LIMITED,Residential,MMG RESIDENCY,Uttar Pradesh,Kanpur Nagar,31-10-2017,1/10/2022,Kanpur,2423,26 28'28.13',80 21'18.90',Siddharth Singh
#N/A,UPRERAPRJ196239,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,UCHDPL-VERIDIA-6-OAKWOOD ENCLAVE,Uttar Pradesh,Ghaziabad,28-11-2023,28-12-2025,Ghaziabad,15827,28.6603,77.4962,Niraj Kumar Nanda
