XID,Phase,region,proj_name,proj_city,magicbricks.com link,housing.com link,squareyards.com link,,,,,
10412,Multi,Noida,Purvanchal Royal City,Greater Noida,https://www.magicbricks.com/purvanchal-royal-city-chi-5-greater-noida-pdpid-4d4235303238353639,https://housing.com/in/buy/projects/page/202146-purvanchal-royal-city-phase-2-by-purvanchal-projects-pvt-ltd-in-chi-v-greater-noida,https://www.squareyards.com/greater-noida-residential-property/purvanchal-royal-city/1183/project,,,,,
15378,Multi,Noida,Solitairian City,Greater Noida,https://www.magicbricks.com/solitairian-city-yamuna-expressway-greater-noida-pdpid-4d4235303732393934,https://housing.com/in/buy/projects/page/3038-solitairian-city-by-dev-sai-group-in-yeida,https://www.squareyards.com/greater-noida-residential-property/le-solitairian-city/1253/project,,,,,
18410,Multi,Gurugram,Experion The Westerlies,Gurgaon,https://www.magicbricks.com/experion-the-westerlies-sector-108-gurgaon-pdpid-4d4235323835333437,https://housing.com/in/buy/projects/page/43076-experion-the-westerlies-by-experion-developers-in-sector-108,https://www.squareyards.com/gurgaon-residential-property/experion-the-westerlies/352/project,,,,,
22052,Multi,Gurugram,Central Park Flower Valley,Gurgaon,https://www.magicbricks.com/central-park-flower-valley-sohna-sector-32-gurgaon-pdpid-4d4235313136323537,https://housing.com/in/buy/projects/page/218356-central-park-flower-valley-by-central-park-in-sector-33-sohna,https://www.squareyards.com/gurgaon-residential-property/central-park-flower-valley-aqua-front-towers/100364/project,,,,,
23690,Multi,Gurugram,DLF New Town Heights 2,Gurgaon,https://www.magicbricks.com/dlf-new-town-heights-2-sector-86-gurgaon-pdpid-4d4235303232373335,https://housing.com/in/buy/projects/page/218121-dlf-new-town-heights-2-by-dlf-in-sector-86,https://www.squareyards.com/gurgaon-residential-property/dlf-new-town-heights-ii/156/project,,,,,
43270,Multi,Noida,Skyline Speedway Avenue,Greater Noida,https://www.magicbricks.com/skyline-speedway-avenue-yamuna-expressway-greater-noida-pdpid-4d4235303239363636,https://housing.com/in/buy/projects/page/5391-skyline-speedway-avenue-by-skyline-speedway-avenue-in-yeida,https://www.squareyards.com/greater-noida-residential-property/skyline-speedway-avenue/1262/project,,,,,
62235,Multi,Gurugram,Mahindra Luminare,Gurgaon,https://www.magicbricks.com/mahindra-luminare-sector-59-gurgaon-pdpid-4d4235303732303636,https://housing.com/in/buy/projects/page/33499-mahindra-luminare-by-mahindra-lifespaces-in-sector-59,https://www.squareyards.com/gurgaon-residential-property/mahindra-luminare/987/project,,,,,
136575,Multi,Gurugram,Ashiana Anmol,Gurgaon,https://www.magicbricks.com/ashiana-anmol-sector-33-gurgaon-pdpid-4d4235323835373339,https://housing.com/in/buy/projects/page/324207-ashiana-anmol-by-ashiana-housing-ltd-in-sector-38,https://www.squareyards.com/gurgaon-residential-property/ashiana-anmol-phase-3/113087/project,,,,,
256111,Multi,Gurugram,Sobha City,Gurgaon,https://www.magicbricks.com/sobha-city-sector-108-gurgaon-pdpid-4d4235303836323234,https://housing.com/in/buy/projects/page/34385-sobha-city-by-sobha-limited-in-sector-108,https://www.squareyards.com/gurgaon-residential-property/sobha-city-gurgaon/8365/project,,,,,
265503,Multi,Gurugram,La Vida by Tata Housing,Gurgaon,https://www.magicbricks.com/tata-la-vida-sector-113-gurgaon-pdpid-4d4235303932303330,https://housing.com/in/buy/projects/page/35393-tata-la-vida-by-tata-realty-and-infrastructure-limited-in-sector-113,https://www.squareyards.com/gurgaon-residential-property/tata-la-vida/8560/project,,,,,
268773,Multi,Noida,Rise Resort Residences,Greater Noida,https://www.magicbricks.com/rise-resort-residences-noida-extension-greater-noida-pdpid-4d4235303936333831,https://housing.com/in/buy/projects/page/40225-rise-resort-residence-villa-by-rise-projects-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/rise-resort-residences/88429/project,,,,,
269397,Multi,Noida,ATS Picturesque Reprieves,Noida,https://www.magicbricks.com/ats-picturesque-reprieves-sector-152-noida-pdpid-4d4235303935323731,https://housing.com/in/buy/projects/page/45639-ats-picturesque-reprieves-phase-1-by-ats-infrastructure-limited-in-sector-152,https://www.squareyards.com/noida-residential-property/ats-picturesque-reprieves/8650/project,,,,,
270000,Multi,Noida,Eureka Park By Tata Value Homes,Noida,https://www.magicbricks.com/tata-eureka-park-sector-150-noida-pdpid-4d4235313235363339,https://housing.com/in/buy/projects/page/43578-tata-eureka-park-by-tata-realty-and-infrastructure-limited-in-sector-150,https://www.squareyards.com/noida-residential-property/tata-eureka-park/10953/project,,,,,
290685,Multi,Noida,Godrej Nest,Noida,https://www.magicbricks.com/godrej-nest-sector-150-noida-pdpid-4d4235313039383631,https://housing.com/in/buy/projects/page/52236-godrej-nest-by-godrej-properties-ltd-in-sector-150,https://www.squareyards.com/noida-residential-property/godrej-nest/9255/project,,,,,
297055,Multi,Gurugram,Godrej Nature Plus,Gurgaon,https://www.magicbricks.com/godrej-nature-plus-sohna-sector-33-gurgaon-pdpid-4d4235313132333731,https://housing.com/in/buy/projects/page/53151-godrej-nature-plus-by-godrej-properties-ltd-in-sector-33-sohna,https://www.squareyards.com/gurgaon-residential-property/godrej-nature-plus/9676/project,,,,,
300125,Multi,Noida,Eldeco Live By The Greens,Noida,https://www.magicbricks.com/eldeco-live-by-the-greens-sector-150-noida-pdpid-4d4235313139363239,https://housing.com/in/buy/projects/page/86493-eldeco-live-by-the-greens-phase-1-by-eldeco-in-sector-150,https://www.squareyards.com/noida-residential-property/eldeco-live-by-the-greens/10382/project,,,,,
