XID,URL,Name,Price
r305513,https://www.magicbricks.com/parth-bhagat-heritage-kamothe-navi-mumbai-pdpid-4d4235313236373335,Parth Bhagat Heritage,Rs 66.7 Lac - Rs 80.1 Lac
r410696,https://www.magicbricks.com/godrej-bliss-kandivali-east-mumbai-pdpid-4d4235343130333237,Godrej Bliss,Rs 96.3 Lac - Rs 2.90 Cr
r413079,https://www.magicbricks.com/gami-ved-nerul-navi-mumbai-pdpid-4d4235343136393733,Gami Ved,Rs 90.5 Lac - Rs 1.53 Cr
r318797,https://www.magicbricks.com/goodwill-unity-sanpada-navi-mumbai-pdpid-4d4235313232303635,Goodwill Unity,Rs 2.04 Cr - Rs 2.47 Cr
r1108,https://www.magicbricks.com/maitri-planet-nx-kharghar-navi-mumbai-pdpid-4d4235303331303532,Maitri Planet NX,Rs 60 Lac - Rs 1 Cr
r351005,https://www.magicbricks.com/vishwanath-sun-south-rayz-south-bopal-ahmedabad-pdpid-4d4235313835303635,Vishwanath Sun South Rayz,Rs 61.1 Lac - Rs 75.9 Lac
r104342,https://www.magicbricks.com/godrej-infinity-keshav-nagar-pune-pdpid-4d4235303735303938,Godrej Infinity,Rs 58.7 Lac - Rs 3.40 Cr
r29660,https://www.magicbricks.com/kesar-symphony-kharghar-navi-mumbai-pdpid-4d4235303239353139,Kesar Symphony,Rs 82.5 Lac - Rs 2.28 Cr
r63829,https://www.magicbricks.com/park-view-apartments-noida-sector-61-noida-pdpid-4d4235303130383536,Park View Apartments Noida,Rs 1.49 Cr - Rs 1.87 Cr
r2458,https://www.magicbricks.com/prateek-laurel-sector-120-noida-pdpid-4d4235303139353131,Prateek Laurel,Rs 95.3 Lac - Rs 2.09 Cr
r429540,https://www.magicbricks.com/good-earth-ghuma-ahmedabad-pdpid-4d4235343232343735,Good Earth,Rs 48.5 Lac - Rs 65.0 Lac
r2080,https://www.magicbricks.com/janapriya-nile-valley-miyapur-hyderabad-pdpid-4d4235303236393531,Janapriya Nile Valley,Rs 69.3 Lac - Rs 1.07 Cr
r392739,https://www.magicbricks.com/cordial-paradise-poojapura-trivandrum-pdpid-4d4235333738393039,Cordial Paradise,Rs 74.2 Lac - Rs 1.67 Cr
r396682,https://www.magicbricks.com/engrace-by-modern-spaaces-sarjapur-road-bangalore-pdpid-4d4235333333373737,Engrace by Modern Spaaces,Rs 1.19 Cr - Rs 1.76 Cr
r39714,https://www.magicbricks.com/kipl-morya-ghodbunder-road-thane-pdpid-4d4235303930383131,KIPL Morya,Rs 60 Lac - Rs 90 Lac
r88679,https://www.magicbricks.com/swiss-towns-devanahalli-bangalore-pdpid-4d4235303035383639,Swiss Towns,Rs 93.8 Lac - Rs 1.10 Cr
r405152,https://www.magicbricks.com/alliance-galaxy-airoli-navi-mumbai-pdpid-4d4235343135373131,Alliance galaxy,Call For Price
r383203,https://www.magicbricks.com/prabhat-bageshree-goregaon-east-mumbai-pdpid-4d4235333930333431,Prabhat Bageshree,Call For Price
r367435,https://www.magicbricks.com/goyal-riviera-springs-shela-ahmedabad-pdpid-4d4235313839333230,Goyal Riviera Springs,Rs 1.44 Cr - Rs 2.31 Cr
r272317,https://www.magicbricks.com/tricity-luxuria-new-panvel-navi-mumbai-pdpid-4d4235303939313137,Tricity Luxuria,Rs 65.7 Lac - Rs 1.04 Cr
r1556,https://www.magicbricks.com/pacifica-reflections-vaishnodevi-circle-ahmedabad-pdpid-4d4235303732333939,Pacifica Reflections,Rs 66.2 Lac - Rs 1.04 Cr
r29348,https://www.magicbricks.com/oberoi-springs-andheri-west-mumbai-pdpid-4d4235303230303038,Oberoi Springs,Rs 4.38 Cr - Rs 8.65 Cr
r241825,https://www.magicbricks.com/riddhi-siddhi-heights-wakad-pune-pdpid-4d4235303738343538,Riddhi Siddhi Heights,Rs 50.9 Lac - Rs 1.01 Cr
r80308,https://www.magicbricks.com/maker-tower-cuffe-parade-mumbai-pdpid-4d4235303439303031,Maker Tower,Rs 6.75 Cr - Rs 8.89 Cr
r64332,https://www.magicbricks.com/panorama-jagatpura-jaipur-pdpid-4d4235303235383633,Panorama,Rs 43.9 Lac - Rs 53.7 Lac
r26456,https://www.magicbricks.com/adani-shantigram-waterlily-sg-highway-ahmedabad-pdpid-4d4235303234313036,Adani Shantigram Waterlily,Rs 1.48 Cr - Rs 3.90 Cr
r27900,https://www.magicbricks.com/south-city-garden-new-alipore-kolkata-pdpid-4d4235303137393131,South City Garden,Rs 70.5 Lac - Rs 1.30 Cr
r29816,https://www.magicbricks.com/exotica-east-square-indirapuram-ghaziabad-pdpid-4d4235303031333933,Exotica East Square,Rs 90 Lac - Rs 1.23 Cr
r12890,https://www.magicbricks.com/hiranandani-estate-paloma-hiranandani-estate-thane-pdpid-4d4235303337383036,Hiranandani Estate Paloma,Rs 1.27 Cr - Rs 1.69 Cr
r9208,https://www.magicbricks.com/sheetal-deep-complex-nalasopara-mumbai-pdpid-4d4235303237303833,Sheetal Deep Complex,Rs 32 Lac - Rs 38.3 Lac
r7810,https://www.magicbricks.com/tarc-maceo-sector-91-gurgaon-pdpid-4d4235303031383539,TARC Maceo,Rs 1.18 Cr - Rs 3.20 Cr
r431008,https://www.magicbricks.com/aramus-ulwe-navi-mumbai-pdpid-4d4235303138323331,Aramus,Rs 73.8 Lac - Rs 94.3 Lac
r435494,https://www.magicbricks.com/ranka-ankura-thanisandra-main-road-bangalore-pdpid-4d4235343235303731,Ranka Ankura,Rs 1.10 Cr - Rs 1.90 Cr
r12894,https://www.magicbricks.com/ng-suncity-phase-3-kandivali-east-mumbai-pdpid-4d4235303138393334,NG Suncity Phase 3,Rs 1.85 Cr - Rs 2.35 Cr
r250,https://www.magicbricks.com/tulip-orange-sector-70-gurgaon-pdpid-4d4235303137313631,Tulip Orange,Rs 91 Lac - Rs 1.84 Cr
r40568,https://www.magicbricks.com/mahavir-jyoti-kharghar-navi-mumbai-pdpid-4d4235303331303139,Mahavir Jyoti,Rs 1.04 Cr - Rs 1.50 Cr
r396601,https://www.magicbricks.com/raheja-solaris-ii-juinagar-navi-mumbai-pdpid-4d4235333337353839,Raheja Solaris II,Rs 1.80 Cr - Rs 3.98 Cr
r42156,https://www.magicbricks.com/mont-vert-seville-wakad-pune-pdpid-4d4235303033323339,Mont Vert Seville,Rs 73.4 Lac - Rs 1.35 Cr
r23624,https://www.magicbricks.com/sai-upvan-society-noida-extension-greater-noida-pdpid-4d4235323436333139,Sai Upvan Society,Rs 99.2 Lac - Rs 1.39 Cr
r144077,https://www.magicbricks.com/bajaj-shubhada-vile-parle-east-mumbai-pdpid-4d4235323235333431,Bajaj Shubhada,Rs 2.93 Cr - Rs 4.47 Cr
r26828,https://www.magicbricks.com/group-silverglades-the-melia-sohna-sector-35-gurgaon-pdpid-4d4235303432313935,Group Silverglades The Melia,Rs 85.0 Lac - Rs 2.27 Cr
r401827,https://www.magicbricks.com/shanu-pratham-heights-science-city-ahmedabad-pdpid-4d4235333838343339,Shanu Pratham Heights,Call For Price
r271049,https://www.magicbricks.com/siddha-seabrook-kandivali-west-mumbai-pdpid-4d4235303939323635,Siddha Seabrook,Rs 1.49 Cr - Rs 3.90 Cr
r11268,https://www.magicbricks.com/bengal-abasan-urban-sabujayan-mukundapur-kolkata-pdpid-4d4235303232343334,Bengal Abasan Urban Sabujayan,Rs 56.5 Lac - Rs 73.3 Lac
r371291,https://www.magicbricks.com/rahul-aston-hinjewadi-phase-1-pune-pdpid-4d4235323138333733,Rahul Aston,Rs 90.7 Lac - Rs 1.40 Cr
r417286,https://www.magicbricks.com/team4-arka-manikonda-hyderabad-pdpid-4d4235343138393531,Team4 Arka,Rs 1.99 Cr - Rs 4.32 Cr
r64604,https://www.magicbricks.com/pacific-golf-estate-sahastradhara-road-dehradun-pdpid-4d4235303639393032,Pacific Golf Estate,Rs 36.5 Lac - Rs 2.51 Cr
r58112,https://www.magicbricks.com/sree-daksha-vhridhaa-vadavalli-coimbatore-pdpid-4d4235303833313831,Sree Daksha Vhridhaa,Rs 54.8 Lac - Rs 62.2 Lac
r398552,https://www.magicbricks.com/vardhman-empire-estate-ajmer-road-jaipur-pdpid-4d4235333934333837,Vardhman Empire Estate,Rs 17.0 Lac - Rs 44.0 Lac
r420000,https://www.magicbricks.com/ashiana-nitara-bhankrota-jaipur-pdpid-4d4235343138393331,Ashiana Nitara,Call For Price
r197309,https://www.magicbricks.com/bhagirathi-estate-kalyan-west-beyond-thane-pdpid-4d4235303730303037,Bhagirathi Estate,Rs 59.4 Lac - Rs 70 Lac
r400444,https://www.magicbricks.com/ashar-pulse-majiwada-thane-pdpid-4d4235333537373331,Ashar Pulse,Rs 69.0 Lac - Rs 2.72 Cr
r3568,https://www.magicbricks.com/ansal-api-esencia-sector-67-gurgaon-pdpid-4d4235303136353038,Ansal API Esencia,Rs 3.95 Cr - Rs 4.62 Cr
r26246,https://www.magicbricks.com/mandakini-apartment-dwarka-sector-2-new-delhi-pdpid-4d4235303131303037,Mandakini Apartment,Rs 2.51 Cr - Rs 3.49 Cr
