Registration Number,Sr.No.,Apartment Type,Carpet Area,Area of exclusive veranda,Area of exclusive balcony,Area of exclusive open terrace,Share of common area,Area of external wall,Total area,Proposed number of apartments,Number of apartments Booked /Sold /Allotted
K-RERA/PRJ/TVM/096/2024,4,2BHK,93.46,0,15.34,18.76,38.48,5.95,180.56,1,0,NA
K-RERA/PRJ/TVM/096/2024,5,3BHK,100.64,0,12,0,36.99,4.36,155.67,9,2,NA
K-RERA/PRJ/TVM/096/2024,6,3BHK,104.90,0,17.72,0,40.61,3.59,170.91,1,0,NA
K-RERA/PRJ/TVM/096/2024,7,3BHK,92.63,0,9.64,0,34.01,3.53,143.12,9,3,NA
K-RERA/PRJ/TVM/096/2024,8,2BHK,75.77,0,5.74,34.90,27.51,3.21,150.61,1,0,NA
K-RERA/PRJ/TVM/096/2024,9,3BHK,100.64,0,12,143.96,36.99,4.36,299.63,1,0,NA
K-RERA/PRJ/TVM/096/2024,10,2BHK,104.46,0,15.75,6.72,41.45,3.87,180.98,1,0,NA
K-RERA/PRJ/TVM/096/2024,11,2BHK,75.77,0,5.74,0,27.51,3.21,115.71,9,0,NA
K-RERA/PRJ/TVM/096/2024,12,4BHK,115.05,0,14.12,0,42.75,6.44,179.74,1,0,NA
K-RERA/PRJ/TVM/096/2024,13,3BHK,92.63,0,9.64,82.60,34.01,3.53,225.72,1,0,NA
K-RERA/PRJ/TVM/096/2024,14,2BHK,70,0,9.06,31.49,25.93,4.25,140.69,1,0,NA
K-RERA/PRJ/TVM/086/2023,1,2BHK,59.93,0,5.04,0,19.96,8.95,93.88,9,0,0
K-RERA/PRJ/TVM/086/2023,2,2BHK,61.99,0,5.58,0,20.39,7.95,95.91,7,4,0
K-RERA/PRJ/TVM/086/2023,3,3BHK,85.79,0,7.30,18.40,27.99,10.56,131.64,1,0,0
K-RERA/PRJ/TVM/086/2023,4,3BHK,100.32,0,6.55,0,31.93,11.40,150.20,2,1,0
K-RERA/PRJ/TVM/086/2023,5,2BHK,66.15,0,6.71,10.87,22.21,9.41,104.48,1,1,0
K-RERA/PRJ/TVM/086/2023,6,3BHK,100.85,0,5.30,41.20,31.43,10.27,147.85,1,0,0
K-RERA/PRJ/TVM/086/2023,7,3BHK,94.38,0,6.57,0,29.82,9.50,140.27,8,0,0
K-RERA/PRJ/TVM/086/2023,8,2BHK,67.91,0,6.37,0,22.62,9.51,106.41,1,0,0
K-RERA/PRJ/TVM/086/2023,9,2BHK,59.93,0,5.04,4.79,19.96,8.95,93.88,1,0,0
K-RERA/PRJ/TVM/086/2023,10,3BHK,94.38,0,6.57,23.29,29.82,9.50,140.27,1,0,0
K-RERA/PRJ/TVM/086/2023,11,3BHK,107.87,0,8.54,0,34.36,10.85,161.62,1,0,0
K-RERA/PRJ/TVM/086/2023,12,2BHK,61.99,0,5.58,37.54,20.39,7.95,95.91,1,0,0
K-RERA/PRJ/TVM/086/2023,13,2BHK,66.15,0,6.71,0,22.21,9.41,104.48,8,4,0
K-RERA/PRJ/TVM/086/2023,14,3BHK,85.79,0,7.30,0,27.99,10.56,131.64,8,2,0
K-RERA/PRJ/TVM/086/2023,15,3BHK,97.62,0,9.82,0,31.73,10.06,149.23,2,0,0
K-RERA/PRJ/TVM/086/2023,16,3BHK,100.85,0,5.30,0,31.43,10.27,147.85,1,0,0
K-RERA/PRJ/TVM/086/2023,17,3BHK,107.87,0,8.54,23.96,34.36,10.85,161.62,1,0,0
K-RERA/PRJ/TVM/086/2023,18,2BHK,62.40,0,5.40,32.84,20.34,7.53,95.67,1,1,0
