XID,Housing.com Link
398803,https://housing.com/buy-symphony-by-swati-sandhya-procon-llp-in-bodakdev-ahmedabad-pid-285392
399073,https://housing.com/in/buy/projects/page/284680-sbr-minara-by-sbr-group-in-k-r-puram
399106,https://housing.com/in/buy/projects/page/292164-arihant-one-by-arihant-group-in-noida-extension
399112,https://housing.com/in/buy/projects/page/285809-radiance-majestic-by-radiance-realty-developers-india-ltd-in-valasaravakkam
399334,https://housing.com/in/buy/projects/page/287904-chheda-avighna-by-chheda-group-in-mira-road-east
399575,https://housing.com/in/buy/projects/page/286031-dgs-sheetal-mayra-by-dgs-group-in-virar-east
399608,https://housing.com/in/buy/projects/page/286710-dac-manapark-by-dac-developers-in-manapakkam
399694,https://housing.com/buy-vinayak-atlantis-by-vinayak-group-in-new-town-kolkata-pid-286885
399826,https://housing.com/buy-samanvay-the-amelias-by-samanvay-group-in-chatarpura-at-lalya-ka-bas-jaipur-rajasthan-pid-287118
399887,https://housing.com/buy-adani-ambrosia-by-adani-realty-in-shantigram-gandhinagar-gujarat-pid-289502
400347,https://housing.com/in/buy/projects/page/285388-saradeuz-olympus-the-royal-castle-by-saradeuz-infrastructures-private-limited-in-perumbakkam
400423,https://housing.com/buy-vaanya-by-ps-group-in-new-town-kolkata-pid-282904
400435,https://housing.com/in/buy/projects/page/256753-crc-joyous-by-crc-group-in-noida-extension
400436,https://housing.com/in/buy/projects/page/319660-ivory-county-gold-by-county-group-in-sector-115
400481,https://housing.com/in/buy/projects/page/292052-dac-medallion-by-dac-developers-in-medavakkam
400534,https://housing.com/in/buy/projects/page/290386-amolik-aster-woods-by-amolik-buildcon-llp-in-sector-98
400934,https://housing.com/in/buy/projects/page/287201-visions-arsha-by-vision-infra-developers-india-private-limited-in-osman-nagar
401138,https://housing.com/in/buy/projects/page/288619-roswalt-zaiden-by-roswalt-realty-in-jogeshwari-west
401530,https://housing.com/in/buy/projects/page/294446-raj-bay-vista-by-snn-properties-llp-in-bilekahalli
401542,https://housing.com/in/buy/projects/page/289521-casagrand-aria-by-casagrand-builder-private-limited-in-west-tambaram
