XID,Project Name,City,Housing.com Link
r245177,Shree Sadan 17,Ahmedabad West,https://housing.com/buy-shree-sadan-17-by-shreekunj-dhara-in-vasna-ahmedabad-pid-293994
r273851,Shantiniketan Vega,Chennai South,https://housing.com/in/buy/projects/page/52584-shantiniketan-vega-block-a-by-shantiniketan-in-kelambakkam
r396197,Auro Infinity,Vadodara,https://housing.com/buy-auro-infinity-by-shreeji-two-in-vadsar-vadodara-pid-312180
r427454,SJRS Infracity,Varanasi,https://housing.com/buy-sjrs-infracity-by-sjrs-infracity-private-limited-in-rajatalab-varanasi-uttar-pradesh-pid-316879
r274711,Renaissance Reserva,Bangalore North,https://housing.com/in/buy/projects/page/75706-renaissance-reserva-by-renaissance-holdings-in-mathikere
r400435,CRC Joyous,Greater Noida,https://housing.com/in/buy/projects/page/256753-crc-joyous-by-crc-group-in-noida-extension
r430268,Raheja Lunaris,Navi Mumbai,https://housing.com/in/buy/projects/page/326293-raheja-lunaris-1-callisto-by-raheja-universal-in-juinagar
r271059,Aastha Nest,Coimbatore,https://housing.com/buy-aastha-nest-by-abi-infrastructure-in-kovai-pudur-coimbatore-pid-277031
r354666,Nayak Golden Fields,Bangalore North,https://housing.com/in/buy/projects/page/233304-nayak-golden-fields-by-nayak-developers-in-devanahalli
r1561,G99,Gurgaon,https://housing.com/in/buy/gurgaon/plot-sector_99_gurgaon
r3330,Bellevue Vieraaa by Davda Infra,Ahmedabad South,https://housing.com/buy-davda-bellevue-vieraaa-by-davda-in-bavla-ahmedabad-pid-45774
r431257,Vamana Arvindam,Chandigarh,https://housing.com/in/buy/projects/page/327717-vamana-arvindam-by-vamana-group-in-utrathiya
r423077,Millennium Antara,Surat,https://housing.com/buy-millennium-antara-by-millennium-residency-in-vesu-surat-pid-318682
r434533,D Pal Apartments,North Goa,https://housing.com/in/buy/projects/page/328277-d-pal-apartments-studio-by-d-pal-buildcon-pvt-ltd-in-colvale
r317985,The Icon by Risland,Thane,https://housing.com/in/buy/projects/page/256006-risland-the-icon-by-risland-in-thane-west
r428623,Aarya Emperro,Vadodara,https://housing.com/buy-aarya-emperro-by-aarya-developers-in-tarsali-vadodara-pid-324120
r401156,Sanfran Sarovar Heights,Jhansi,https://housing.com/in/buy/projects/page/287851-sanfran-sarovar-heights-by-sanfran-developer-pvt-ltd-in-lahargird
r316139,Ambika La Parisian,Mohali,https://housing.com/in/buy/projects/page/128419-ambika-la-parisian-phase-1-t6-to-t9-by-ambika-realcon-in-sector-66
r412072,Oceanus White Meadows,Bangalore South,https://housing.com/in/buy/projects/page/302505-oceanus-white-meadows-by-oceanus-dwelling-pvt-ltd-in-anjanapura-township
