XID,Project Name,City,magicbricks.com link,housing.com link,squareyards.com link
427906,Sobha Altus,Gurugram,https://www.magicbricks.com/sobha-altus-sector-106-gurgaon-pdpid-4d4235343231373337,https://housing.com/in/buy/projects/page/323687-sobha-altus-by-sobha-limited-in-sector-106,https://www.squareyards.com/gurgaon-residential-property/sobha-altus/249540/project
26134,BPTP Amstoria,Gurugram,https://www.magicbricks.com/bptp-amstoria-sector-102-gurgaon-pdpid-4d4235303233313930,https://housing.com/in/buy/projects/page/43075-bptp-amstoria-country-floor-by-bptp-limited-in-sector-102,https://www.squareyards.com/gurgaon-residential-property/bptp-amstoria-country-floor/226/project
5456,Puri Emerald Bay,Gurugram,https://www.magicbricks.com/puri-emerald-bay-sector-104-gurgaon-pdpid-4d4235303139333433,https://housing.com/in/buy/projects/page/1290-puri-emerald-bay-by-puri-constructions-pvt-ltd-in-sector-104,https://www.squareyards.com/gurgaon-residential-property/puri-emerald-bay/238/project
146207,Saan Verdante,Gurugram,https://www.magicbricks.com/saan-verdante-sector-95-gurgaon-pdpid-4d4235303830323837,https://housing.com/in/buy/projects/page/17275-saan-verdante-by-saan-group-in-sector-95,https://www.squareyards.com/gurgaon-residential-property/saan-verdante/8632/project
412546,DLF Privana South,Gurugram,https://www.magicbricks.com/dlf-privana-south-sector-77-gurgaon-pdpid-4d4235343235343831,https://housing.com/in/buy/projects/page/35502-dlf-privana-by-dlf-in-sector-77,https://www.squareyards.com/gurgaon-residential-property/dlf-privana-south/238058/project
423388,Puri Diplomatic Residences,Gurugram,https://www.magicbricks.com/puri-diplomatic-residences-sector-111-gurgaon-pdpid-4d4235343139333031,https://housing.com/in/buy/projects/page/317335-puri-diplomatic-residences-by-puri-constructions-pvt-ltd-in-sector-111,https://www.squareyards.com/gurgaon-residential-property/puri-diplomatic-residences/245971/project
423473,Anant Raj The Estate Residences,Gurugram,https://www.magicbricks.com/anant-the-estate-residences-sector-63a-gurgaon-pdpid-4d4235343139343033,https://housing.com/in/buy/projects/page/319077-anant-raj-the-estate-residences-by-anant-raj-limited-in-kadarpur,https://www.squareyards.com/gurgaon-residential-property/anant-raj-the-estate-residences/244338/project
302889,HomeKraft Happy Trails,Noida,https://www.magicbricks.com/ats-homekraft-happy-trails-noida-extension-noida-pdpid-4d4235313134323231,https://housing.com/in/buy/projects/page/95604-ats-happy-trails-by-ats-homekraft-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/ats-happy-trails/10038/project
123483,ACE Divino,Noida,https://www.magicbricks.com/ace-divino-noida-extension-noida-pdpid-4d4235303835303737,https://housing.com/in/buy/projects/page/50457-ace-group-divino-by-ace-group-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/ace-divino/10048/project
12900,Fusion Homes,Noida,https://www.magicbricks.com/fusion-homes-noida-extension-noida-pdpid-4d4235303235323339,https://housing.com/in/buy/projects/page/1929-fusion-homes-by-fusion-buildtech-pvt-ltd-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/fusion-homes/939/project
422426,Godrej Zenith,Gurugram,https://www.magicbricks.com/godrej-zenith-sector-89-gurgaon-pdpid-4d4235343139383731,https://housing.com/in/buy/projects/page/318544-godrej-zenith-by-godrej-properties-ltd-in-sector-89,https://www.squareyards.com/gurgaon-residential-property/godrej-zenith/246428/project
10356,Oasis GrandStand,Noida,https://www.magicbricks.com/oasis-grandstand-yamuna-expressway-greater-noida-pdpid-4d4235303230303131,https://housing.com/in/buy/projects/page/247-oasis-grandstand-by-oasis-buildmart-india-pvt-ltd-in-yeida,https://www.squareyards.com/greater-noida-residential-property/oasis-grandstand/1236/project
298821,Kalpataru Vista,Noida,https://www.magicbricks.com/kalpataru-vista-sector-128-noida-pdpid-4d4235313135383335,https://housing.com/in/buy/projects/page/96854-kalpataru-vista-by-kalpataru-group-in-sector-128,https://www.squareyards.com/noida-residential-property/kalpataru-vista/10765/project
1223,Sikka Kaamna Greens,Noida,https://www.magicbricks.com/sikka-the-crown-of-noida-sector-143-noida-pdpid-4d4235303138303731,https://housing.com/in/buy/projects/page/690-sikka-kaamna-greens-by-sikka-group-in-sector-143,https://www.squareyards.com/noida-residential-property/sikka-kaamna-greens/664/project
332831,Prateek Canary,Noida,https://www.magicbricks.com/prateek-canary-sector-150-noida-pdpid-4d4235313236353535,https://housing.com/in/buy/projects/page/182871-prateek-canary-by-prateek-group-in-sector-150,https://www.squareyards.com/noida-residential-property/prateek-canary/10620/project
400435,CRC Joyous,Greater Noida,https://www.magicbricks.com/crc-joyous-techzone-4-greater-noida-pdpid-4d4235333631343737,https://housing.com/in/buy/projects/page/256753-crc-joyous-by-crc-group-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/crc-joyous/111068/project
303,Jaypee Greens Kalypso Court,Noida,https://www.magicbricks.com/jaypee-greens-kalypso-court-sector-128-noida-pdpid-4d4235303231353130,https://housing.com/in/buy/projects/page/33487-jaypee-the-kalypso-court-by-jaypee-greens-in-sector-128,https://www.squareyards.com/noida-residential-property/jaypee-greens-kalypso-court/108194/project
375353,SKA Orion,Noida,https://www.magicbricks.com/ska-orion-sector-143-b-noida-pdpid-4d4235323434383133,https://housing.com/in/buy/projects/page/255860-ska-orion-by-ska-group-in-sector-143,https://www.squareyards.com/noida-residential-property/ska-orion/103593/project
409753,Godrej Tropical Isle,Noida,https://www.magicbricks.com/godrej-tropical-isle-sector-146-noida-pdpid-4d4235343136323937,https://housing.com/in/buy/projects/page/303901-godrej-tropical-isle-by-godrej-properties-ltd-in-sector-146,https://www.squareyards.com/noida-residential-property/godrej-tropical-isle/227972/project
425268,Godrej Jardinia,Noida,https://www.magicbricks.com/godrej-jardinia-sector-146-noida-pdpid-4d4235343230363139,https://housing.com/in/buy/projects/page/319974-godrej-jardinia-by-godrej-properties-limited-in-sector-145,https://www.squareyards.com/noida-residential-property/godrej-jardinia/246953/project
376821,ATS Kingston Heath,Noida,https://www.magicbricks.com/ats-kingston-heath-sector-150-noida-pdpid-4d4235323532363433,https://housing.com/in/buy/projects/page/257357-ats-kingston-heath-by-ats-infrastructure-limited-in-sector-150,https://www.squareyards.com/noida-residential-property/ats-kingston-heath/103548/project
344889,Gulshan Dynasty,Noida,https://www.magicbricks.com/gulshan-dynasty-sector-144-noida-pdpid-4d4235313330393031,https://housing.com/in/buy/projects/page/228632-gulshan-dynasty-by-gulshan-homz-pvt-ltd-in-sector-144,https://www.squareyards.com/noida-residential-property/gulshan-dynasty/29919/project
378409,Ace Starlit,Noida,https://www.magicbricks.com/ace-starlit-sector-152-noida-pdpid-4d4235323930333931,https://housing.com/in/buy/projects/page/260584-star-ace-starlit-by-star-landcraft-private-limited-in-sector-152,https://www.squareyards.com/noida-residential-property/ace-starlit/105330/project
382046,ATS Homekraft Pious Orchards,Noida,https://www.magicbricks.com/ats-pious-orchards-sector-150-noida-pdpid-4d4235333235383039,https://housing.com/in/buy/projects/page/265973-ats-homekraft-pious-orchards-by-ats-infrastructure-limited-in-sector-150,https://www.squareyards.com/noida-residential-property/ats-homekraft-pious-orchards/112460/project
10130,ATS Pristine,Noida,https://www.magicbricks.com/ats-pristine-sector-150-noida-pdpid-4d4235303233353335,https://housing.com/in/buy/projects/page/2775-ats-pristine-by-ats-infrastructure-limited-in-sector-150,https://www.squareyards.com/noida-residential-property/ats-pristine/705/project
410631,M3M The Cullinan,Noida,https://www.magicbricks.com/m3m-the-cullinan-sector-94-noida-pdpid-4d4235343130373633,https://housing.com/in/buy/projects/page/300535-m3m-the-cullinan-by-m3m-india-pvt-ltd-in-sector-94,https://www.squareyards.com/noida-residential-property/m3m-the-cullinan/224290/project
