XID,Reg.,State
r415046,TN/29/Building/366/2023,Tamil Nadu
r313995,TN/29/Building/0395/2023,Tamil Nadu
r415456,TN/01/Building/0386/2023,Tamil Nadu
r415490,TN/29/Building/0379/2023,Tamil Nadu
r416386,TN/29/Building/389/2023,Tamil Nadu
r414350,TN/02/Layout/3127/2023,Tamil Nadu
r416680,TN/35/Layout/03555/2023,Tamil Nadu
r300015,TN/29/Layout/3528/2023,Tamil Nadu
r416692,TN/29/Building/467/2023,Tamil Nadu
r416957,TN/11/Layout/3616/2023,Tamil Nadu
r417033,TN/35/Layout/3871/2023,Tamil Nadu
r418684,TN/29/Layout/4130/2023,Tamil Nadu
r4384,TN/11/Building/0276/2021,Tamil Nadu
r419140,TN/29/Building/0458/2023,Tamil Nadu
r406547,TN/29/Layout/4269/2023,Tamil Nadu
r406866,TN/29/Building/471/2023,Tamil Nadu
r420088,TN/35/Building/0481/2023,Tamil Nadu
r338449,TN/01/Layout/2693/2023,Tamil Nadu
r421876,TN/01/Layout/0188/2024 dated 12/01/2024,Tamil Nadu
r421876,TN/01/Layout/0188/2024,Tamil Nadu
r419421,TN/35/Layout/0306/2024,Tamil Nadu
r422559,TN/35/Regularisation-Layout/0223/2024 dated 19.03.2024,Tamil Nadu
r422787,TN/02/Layout/0405/2024,Tamil Nadu
r422792,TN/11/Layout/0314/2024,Tamil Nadu
r423305,TN/29/Building/0050/2024,Tamil Nadu
r423306,TN/29/Building/0060/2024,Tamil Nadu
r423472,TN/02/Layout/0547/2024,Tamil Nadu
r423585,TN/35/Building/0053/2024 dated 13/02/2024,Tamil Nadu
r423724,TN/35/Layout/1005/2024,Tamil Nadu
r271787,TN/02/Building/0016/2017,Tamil Nadu
r267801,TN/29/Building/0007/2017,Tamil Nadu
r268153,TN/01/Building/0028/2017,Tamil Nadu
r23622,TN/01/Building/0178/2017,Tamil Nadu
r258491,TN/11/Building/0081/2019,Tamil Nadu
r267043,TN/01/Layout/0001/2017,Tamil Nadu
r268829,TN/02/Building/0168/2017,Tamil Nadu
r424349,TN/11/Building/079/2024,Tamil Nadu
r416680,TN/35/Building/081/2024,Tamil Nadu
r423376,TN/29/Building/0069/2024,Tamil Nadu
r398175,TN/16/Building/0324/2024,Tamil Nadu
r426779,TN/02/Layout/3308/2023 dated 02/09/2023,Tamil Nadu
r427043,TN/35/Building/0337/2024,Tamil Nadu
r427112,TN/35/Building/0345/2024,Tamil Nadu
r422559,TN/35/Regularisation-Layout/0226/2024 dated 19.03.2024,Tamil Nadu
r422559,TN/35/Regularisation-Layout/0228/2024 dated 19.03.2024,Tamil Nadu
r422559,TN/35/Regularisation-Layout/0230/2024 dated 19.03.2024,Tamil Nadu
r428601,TN/29/BUILDING/0045/2024,Tamil Nadu
r428685,TN/1/Building/0397/2024,Tamil Nadu
r428716, TN/29/Building/0459/2023,Tamil Nadu
r428724,TN/11/Building/0382/2024,Tamil Nadu
r429330,TN/2/Layout/2459/2024,Tamil Nadu
r429359,TN/29/Building/0399/2024,Tamil Nadu
r429390,TN/35/Layout/2338/2024,Tamil Nadu
r429449,TN/35/Layout/2549/2024,Tamil Nadu
r429473,TN/2/Building/0084/2025,Tamil Nadu
r429636,TN/35/Layout/2645/2024,Tamil Nadu
r429637,TN/35/Building/0444/2024,Tamil Nadu
r429651,TN/29/Building/0415/2024,Tamil Nadu
r429830,TN/35/Building/0333/2024,Tamil Nadu
r430121,TN/1/Layout/2637/2024,Tamil Nadu
r430125,TN/11/Layout/2641/2024,Tamil Nadu
r430209,TN/35/BUILDING/027/2024,Tamil Nadu
r430983,TN/35/Layout/1957/2024,Tamil Nadu
r427423,TN/1/Layout/2915/2024 ,Tamil Nadu
r428295,TN/35/Layout/3211/2024,Tamil Nadu
r432044,TN/29/Layout/3204/2024,Tamil Nadu
r401790,TN/35/Building/0413/2024,Tamil Nadu
r433575,TN/35/Layout/3513/2024,Tamil Nadu
r433866,TN/11/Building/0478/2024,Tamil Nadu
r429474,TN/2/Layout/3702/2024,Tamil Nadu
r435444,TN/35/Layout/3384/2024,Tamil Nadu
r435496,TN/36/Layout/3669/2024,Tamil Nadu
r435911,TN/20/Layout/4757/2023,Tamil Nadu
r436915,TN/20/Layout/3171/2024,Tamil Nadu
r351351, TN/01/Building/0044/2020,Tamil Nadu
r423585,TN/35/BUILDING/0063/2025,Tamil Nadu
r54,TN/29/BUILDING/0008/2023,Tamil Nadu
r85205,TN/02/Building/037/2019,Tamil Nadu
r297163,TN/01/Building/0040/2018,Tamil Nadu
r300015,TN/02/Layout/0016/2018,Tamil Nadu
r5556,TN/02/Building/0013/2018,Tamil Nadu
r53118,TN/11/Building/0094/2018,Tamil Nadu
r1988,TN/01/Building/0097/2018,Tamil Nadu
r297163,TN/01/Building/0041/2018,Tamil Nadu
r310867,TN/01/Building/0131/2017,Tamil Nadu
r1988,TN/01/Building/0095/2018 dated 20/03/2018,Tamil Nadu
r1988,TN/01/Building/0104/2018,Tamil Nadu
r313941,TN/01/Layout/0040/2018,Tamil Nadu
r313995,TN/01/Building/0147/2018,Tamil Nadu
r316159,TN/01/Building/0310/2018,Tamil Nadu
r63151,TN/29/Building/0066/2017,Tamil Nadu
r318141,TN/02/Building/0333/2018,Tamil Nadu
r324367,TN/01/Building/014/2019,Tamil Nadu
r324563,TN/01/Building/0112/2019,Tamil Nadu
r335345,TN/01/Building/0102/2019,Tamil Nadu
r338449,TN/01/layout/0416/2021,Tamil Nadu
r341315,TN/02/Building/0150/2019,Tamil Nadu
r341875,TN/01/Layout/0156/2019,Tamil Nadu
r142535,TN/01/Building/0181/2019,Tamil Nadu
r342971,TN/01/Building/0174/2019,Tamil Nadu
r271787,TN/29/Building/0012/2020,Tamil Nadu
r367600,TN/16/Building/0104/2021 dated 05/04/2021,Tamil Nadu
r271787,TN/29/Building/0198/2020,Tamil Nadu
r324563,TN/01/Building/0279/2020,Tamil Nadu
r372188,TN/01/Layout/0236/2020,Tamil Nadu
r63151,TN/29/BUILDING/0280/2020,Tamil Nadu
r324563,TN/01/Building/0138/2018 ,Tamil Nadu
r379301,TN/16/Layout/2278/2023 dated 30/06/2023,Tamil Nadu
r379401,TN/35/Building/0049/2024 ,Tamil Nadu
r160387,TN/01/Building/0217/2021 ,Tamil Nadu
r77983,TN/02/Building/0273/2021,Tamil Nadu
r380704,TN/16/Building/292/2021,Tamil Nadu
r381250,TN/29/Building/318/2021 dated 21/09/2021,Tamil Nadu
r382447,TN/04/Layout/3180/2022,Tamil Nadu
r385441,TN/01/Layout/0010/2022,Tamil Nadu
r387927,TN/01/Building/0390/2021,Tamil Nadu
r389274,TN/01/Building/0076/2022,Tamil Nadu
r390606,TN/16/Building/0094/2022 dated 30/03/2022,Tamil Nadu
r391047,TN/29/Building/0155/2022 dated 10/05/2022,Tamil Nadu
r391879,TN/20/Layout/2972/2022 dated 29/04/2022,Tamil Nadu
r393335,TN/29/Building/0175/2022 dated 20/05/2022,Tamil Nadu
r393918,TN/01/Building/0229/2022,Tamil Nadu
r395606,TN/01/Building/0246/2022 dated 01/07/2022,Tamil Nadu
r395806,TN/29/Building/0189/2023,Tamil Nadu
r397359,TN/29/Building/306/2022,Tamil Nadu
r397857,TN/01/Building/0144/2023,Tamil Nadu
r398175,TN/16/Building/340/2022,Tamil Nadu
r398187,TN/11/Building/0071/2022,Tamil Nadu
r398444,TN/29/Building/355/2022,Tamil Nadu
r399608,TN/01/BUILDING/0217/2023,Tamil Nadu
r373872,TN/11/Layout/8135/2022,Tamil Nadu
r400014,TN/02/Building/0369/2022,Tamil Nadu
r400015,TN/02/Building/0400/2022,Tamil Nadu
r401010,TN/01/Building/0453/2022,Tamil Nadu
r401373,TN/01/Building/482/2022,Tamil Nadu
r401790,TN/01/Building/515/2022,Tamil Nadu
r402156,TN/16/Building/525/2022,Tamil Nadu
r402541,TN/01/Layout/0334/2024 dated 30/01/2024,Tamil Nadu
r402803,TN/29/Building/0008/2023 dated 04/01/2023,Tamil Nadu
r402803,"TN/29/Building/0009/2023 dated 04/01/2023	",Tamil Nadu
r402803,"TN/29/Building/0010/2023 dated 04/01/2023	",Tamil Nadu
r403088,"TN/35/Building/0397/2023	",Tamil Nadu
r403416,TN/29/Building/533/2022,Tamil Nadu
r403465,TN/02/Layout/1122/2023 dated 29/03/2023,Tamil Nadu
r403811,TN/29/Building/0057/2023,Tamil Nadu
r54,TN/29/Building/0010/2023,Tamil Nadu
r404560,TN/29/Building/00173/2023,Tamil Nadu
r404615,TN/01/Building/0070/2023,Tamil Nadu
r406437,TN/1/Regularisation-Layout/0848/2023 dated 03.03.2023,Tamil Nadu
r406438,TN/1/Regularisation-Layout/0859/2023,Tamil Nadu
r406547,TN/29/Layout/0772/2023,Tamil Nadu
r407065,TN/01/Building/0158/2023,Tamil Nadu
r406547,TN/29/Layout/1299/2023,Tamil Nadu
r408416,TN/29/Layout/1271/2023,Tamil Nadu
r409009,TN/11/Layout/4070/2023,Tamil Nadu
r408416,TN/29/Building/0208/2023,Tamil Nadu
r409859,TN/01/Building/0186/2023,Tamil Nadu
r409860,TN/01/Layout/1566/2023,Tamil Nadu
r409908,TN/11/Layout/1543/2023,Tamil Nadu
r411096,TN/29/Building/0230/2023,Tamil Nadu
r411999,TN/11/Building/00261/2023,Tamil Nadu
r413095, TN/32/Layout/3680/2023,Tamil Nadu
r413330,TN/01/Layout/9471/2022,Tamil Nadu
r402875,TN/01/Layout/3092/2023,Tamil Nadu
r500,TN/01/Building/0318/2023,Tamil Nadu
r414242,TN/11/Layout/02999/2023,Tamil Nadu
r414336,TN/29/Layout/3123/2023,Tamil Nadu
r414350,TN/02/Layout/3126/2023 ,Tamil Nadu
r403465, TN/02/Layout/1854/2023,Tamil Nadu
r414350,TN/02/Layout/3140/2023,Tamil Nadu
r414350,TN/02/Layout/3125/2023,Tamil Nadu
r414839,TN/11/Building/378/2023,Tamil Nadu
r415125,TN/29/Building/0392/2023,Tamil Nadu
r416280, TN/35/Layout/4191/2023,Tamil Nadu
r414242,TN/11/Layout/03000/2023  ,Tamil Nadu
r416437,TN/01/Layout/3492/2023,Tamil Nadu
r417007,TN/20/Building/414/2023 dated 06/10/2023,Tamil Nadu
r417017,TN/29/Building/423/2023,Tamil Nadu
r417007,TN/20/Building/414/2023,Tamil Nadu
r417396,"TN/29/Layout/3722/2023
",Tamil Nadu
r417702,"TN/35/Layout/3705/2023
",Tamil Nadu
r417734,TN/11/Building/0413/2023,Tamil Nadu
r417863,TN/29/Building/0419/2023,Tamil Nadu
r418404,TN/35/Building/0429/2023,Tamil Nadu
r418960,TN/01/Layout/4054/2023,Tamil Nadu
