XID,Project Name,City,Magicbricks.com Link
r409908,Cinco Fairland,Coimbatore,Not Found
r420162,Aastha The Watermark,Jamshedpur,https://www.magicbricks.com/kamini-kaushal-the-watermark-adityapur-jamshedpur-pdpid-4d4235343232303435
r413382,Shriram Solitaire,Bangalore North,https://www.magicbricks.com/shriram-solitaire-yelahanka-new-town-bangalore-pdpid-4d4235343036333233
r376088,Smart World Orchard,Gurgaon,https://www.magicbricks.com/smartworld-orchard-sector-61-gurgaon-pdpid-4d4235333234323439
r235520,Fortune Butterfly City,Hyderabad,https://www.magicbricks.com/project-plots-fortune-butterfly-city-for-sale-in-hyderabad-pppfs
r300077,Elevate Godrej Se7en,Kolkata South,https://www.magicbricks.com/elevate-at-godrej-seven-joka-kolkata-pdpid-4d4235343139333631
r398124,Mount Alaya Belmonte,Ahmedabad North,https://www.magicbricks.com/flats-in-chharodi-ahmedabad-for-sale-price-80-lakhs-to-90-lakhs-pppfs
r429474,RLD Merlion Estate,Chennai West,https://www.magicbricks.com/rld-merlion-estate-vanagaram-chennai-pdpid-4d4235343233373833
r417614,Sri MGR Windsor Gardens,Bangalore South,https://www.magicbricks.com/mgr-windsor-gardens-jp-nagar-phase-5-bangalore-pdpid-4d4235343231383733
r386987,DS Max Sukruth,Bangalore South,https://www.magicbricks.com/ds-max-sukruth-chandapura-bangalore-pdpid-4d4235333236363035
r393335,Sri Balajis Saphire,Chennai West,https://www.magicbricks.com/new-projects-Maduravoyal-in-Chennai
r2,Omaxe Twin Towers,Noida,https://www.magicbricks.com/project-omaxe-twin-tower-for-sale-in-noida-pppfs
r405295,Sapnil Residency,Kolkata North,https://www.magicbricks.com/sapnil-residency-bonhooghly-kolkata-pdpid-4d4235303236323239
r433824,Prime Plots Uran,Navi Mumbai,https://www.magicbricks.com/residential-plots-land-for-sale-in-uran-navi-mumbai-pppfs
r434608,Eldeco Fairway Reserve,Gurgaon,https://www.magicbricks.com/eldeco-fairway-reserve-sector-80-gurgaon-pdpid-4d4235343234353137
r437320,SS Sri Balan Flats,Chennai South,Not Found
r51192,Kalyan Garden View,Lucknow,https://www.magicbricks.com/project-krishna-kalyan-garden-view-for-sale-in-lucknow-pppfs
r4700,Lodha Bella Vita,Pune South,https://www.magicbricks.com/project-lodha-bella-vita-2bhk-for-sale-in-pune-pppfs
r24280,Runwal Forests,Central Mumbai,https://www.magicbricks.com/project-runwal-forests-3bhk-for-sale-in-mumbai-pppfs
r294633,Codename Skywards,Thane Outskirts,https://www.magicbricks.com/jp-codename-skywards-ambernath-east-beyond-thane-pdpid-4d4235333333383335
