XID,Project Name,City,Housiing.com Link
R108257,Siddhi Aarohi Elysium,Ahmedabad West,https://housing.com/buy-siddhi-aarohi-elysium-by-siddhi-infralink-in-south-bopal-ahmedabad-pid-15837
R746,Soham Tropical Lagoon,Thane,https://housing.com/rent-soham-tropical-lagoon-for-rent-in-kasarvadavali-thane-west-thane-rpid-AG2thkAH0
R15670,Sunteck Signia High,Western Mumbai,https://housing.com/in/buy/projects/page/19564-sunteck-signia-high-by-sunteck-realty-limited-in-borivali-east
R1234,Savvy Swaraaj Sports Living,Ahmedabad North,https://housing.com/buy-savvy-swaraaj-sports-living-by-savvy-infrastructure-in-gota-ahmedabad-pid-15879
R371546,Ambuja Neotia Ecospace Residencia,Kolkata East,https://housing.com/rent-ambuja-neotia-ecospace-residencia-for-rent-in-new-town-kolkata-rpid-AGvzfAH0
R5600,Vijay Galaxy,Thane,https://housing.com/in/buy/vijay-galaxy-for-resale-in-thane-west-thane-AG5szAH0
R372421,Bhashyam RRR County,Hyderabad,https://housing.com/in/buy/projects/page/268952-bhashyam-rrr-county-by-bhashyam-developers-in-shankarpally
R58750,Ganpati Apartment,Delhi South West,https://housing.com/in/buy/projects/page/47209-cghs-gauri-ganesh-apartment-by-anil-suri-group-in-sector-3-dwarka
R4876,Haware Citi,Thane,https://housing.com/price-trends/property-rates-for-buy-in-haware_city_kasarvadavali_thane_west_thane-P6vavws7vcpug3qar
R336353,Swapnabhoomi,Surat,https://housing.com/buy-green-swapnabhoomi-by-green-builder-in-abhva-surat-pid-201634
R124877,Prestige High Fields,Hyderabad,https://housing.com/in/buy/projects/page/31142-prestige-high-fields-by-prestige-estates-projects-ltd-in-nanakaramguda
R26770,Aaryan Gloria,Ahmedabad West,https://housing.com/buy-aaryan-gloria-by-aaryan-builders-in-south-bopal-ahmedabad-pid-15807/floor-plan
R12676,Antriksh Rashi Apartments,Delhi South West,https://housing.com/in/buy/projects/page/90549-the-antriksh-rashi-apartments-by-the-antriksh-group-in-sector-7-dwarka
R309239,Brigade Parkside East,Bangalore South,https://housing.com/in/buy/resale/page/15912129-2-bhk-apartment-in-carmelaram-for-rs-13900000
R29216,Ideal Grand,Howrah,https://housing.com/buy-ideal-grand-resale-flats-in-shibpur-howrah-srpid-AGcmjAH0
R427,K Raheja Vivarea,Mumbai South,https://housing.com/in/buy/projects/page/144340-k-raheja-vivarea-building-no-3-tower-e-by-k-raheja-corp-in-agripada
R136463,DDA Flat Janakpuri,West Delhi,https://housing.com/in/buy/projects/page/64396-dda-flat-janakpuri-by-dda-in-janakpuri
R62331,Amanora Trendy Homes,Pune East,https://housing.com/in/buy/amanora-trendy-homes-for-resale-in-hadapsar-pune-AG4pt8AH0
R304153,Ashar Edge,Thane,https://housing.com/in/buy/ashar-edge-for-resale-in-thane-west-thane-AG5e67AH0
R256145,Kohinoor Abhimaan Homes,Pune North,https://housing.com/in/buy/projects/page/33219-kohinoor-abhimaan-by-kohinoor-group-in-shirgaon
R387940,Zoltan Highway Green,Hyderabad,https://housing.com/in/buy/projects/page/274159-zoltan-highway-green-by-zoltan-infra-developers-private-limited-in-kadthal
R13440,Ashok Nagar,Thane,https://housing.com/in/buy/projects/page/46621-shree-saibaba-ashok-nagar-by-shree-saibaba-construction-company-in-thane-west
R399894,Satyamev Royal 5,Gandhinagar,https://housing.com/buy-satyamev-royal-5-by-satyamev-group-in-pethapur-gandhinagar-gujarat-pid-290211
R321145,Neelsidhi Regalia,Navi Mumbai,https://housing.com/in/buy/projects/page/130389-neel-sidhi-regalia-by-neel-sidhi-realties-in-panvel
