XID,Project Name,City,Housing.com Link
R396053,Vivaan Ixora,Ahmedabad North,https://housing.com/buy-vivaan-ixora-by-vivaan-group-in-zundal-gandhinagar-gujarat-pid-281468
R396057,Anantmani,Kolkata North,https://housing.com/buy-anantmani-by-mani-group-in-phool-bagan-kolkata-pid-280597
r396842,Orchid IVY Floors,Gurgaon,https://housing.com/in/buy/projects/page/324653-orchid-ivy-by-orchid-infrastructres-in-sector-51
r396932,VJ Yashwin Enchante,Pune East,https://housing.com/in/buy/projects/page/291049-vj-yashwin-enchante-by-vilas-javdekar-eco-shelters-pvt-ltd-in-upper-kharadi
R397020,Prestige Bellanza,Central Mumbai,https://housing.com/in/buy/projects/page/277667-prestige-bellanza-phase-1-wing-a-b-c-at-the-prestige-city-by-prestige-estates-projects-ltd-in-mulund-west
R397102,Kalpataru Oceana,Mumbai South,https://housing.com/in/buy/projects/page/275180-kalpataru-oceana-by-kalpataru-group-in-prabhadevi
R398004,Shaligram Luxuria,Ahmedabad West,https://housing.com/buy-shaligram-luxuria-by-shaligram-group-in-ambli-ahmedabad-pid-292583
R398124,Mount Alaya Belmonte,Ahmedabad North,https://housing.com/buy-alaya-belmonte-by-mount-group-in-chharodi-ahmedabad-pid-281779
R398192,Swarnim Sun,Ahmedabad West,https://housing.com/buy-swarnim-sun-by-swarnim-group-in-bopal-ahmedabad-pid-285998
R398564,JP Infra Codename Highway Touch,Western Mumbai,https://housing.com/in/buy/projects/page/285402-codename-highway-touch-by-jp-infra-mumbai-pvt-ltd-in-jogeshwari-east
R398803,Swati Symphony,Ahmedabad West,https://housing.com/buy-3492-sqft-4-bhk-apartment-in-bodakdev-for-rs-26190000-rid-15322219
R398882,Suryansh Sanidhya Shivalaya,Ahmedabad West,https://housing.com/buy-sunbuildcon-suryansh-sanidhya-shivalaya-by-sunbuildcon-projects-llp-in-sarkhej-ahmedabad-pid-303232/brochure
R398938,Madhav Oeuvre 3,Ahmedabad West,https://housing.com/buy-madhav-oeuvre-3-by-madhav-associate-in-bodakdev-ahmedabad-pid-287015
R398997,Lovely Homes Greenfield Colony,Faridabad,https://housing.com/in/buy/faridabad/3bhk-greenfield_colony_block_b
R399117,Suri Homes,North Delhi,https://housing.com/in/buy/projects/page/328706-suri-luxurious-homes-by-suri-builders-in-sector-23-rohini
R399129,Lodha Regalia,Central Mumbai,https://housing.com/in/buy/projects/page/261664-lodha-mulund-project-tower-1-by-lodha-group-in-mulund-east
R39974,Enigma by Oberoi Realty,Central Mumbai,https://housing.com/in/buy/projects/page/53007-oberoi-eternia-towers-a-to-d-by-oberoi-realty-limited-in-mulund-west
R400448,Linkbay Residences,Western Mumbai,https://housing.com/in/buy/projects/page/290036-adani-linkbay-by-adani-estates-private-limited-in-andheri-west
R401625,Omkara Pride,Navi Mumbai,https://housing.com/in/buy/projects/page/290005-omkara-pride-by-omkara-builders-and-developers-in-taloja
R401902,Bhagwati Elysia 2,Navi Mumbai,https://housing.com/in/buy/projects/page/289214-bhagwati-elysia-ii-by-bhagwati-group-in-pushpak-nagar
R402541,SIS Golden Gate,Chennai South,https://housing.com/in/buy/projects/page/284333-sis-golden-gate-by-south-india-shelters-in-chinna-irumbedu
r402610,M3M Antalya Hills,Gurgaon,https://housing.com/in/buy/projects/page/298817-m3m-antalya-hills-by-m3m-india-pvt-ltd-in-sector-79
R402732,Sankalp Gwala,Ahmedabad West,https://housing.com/buy-sankalp-gwala-by-sanmag-buildcon-llp-in-shilaj-ahmedabad-pid-297518
r402914,Ambar Zenith,Pune East,https://housing.com/in/buy/projects/page/287762-ambar-zenith-by-ambar-icon-llp-in-viman-nagar
R403028,Salangpur Salasar Aavatar,Mira Bhayandar,https://housing.com/in/buy/projects/page/290116-salangpur-aavatar-by-salangpur-group-in-mira-road-east
R403399,AS Asteria,Gandhinagar,https://housing.com/buy-asteria-by-atishay-shivalay-group-in-koba-gandhinagar-gujarat-pid-292182
R403433,Aaryan Aranyam,Ahmedabad West,https://housing.com/buy-aranyam-by-aaryan-developers-in-shilaj-ahmedabad-pid-292776
R403514,Lodha Acenza,Western Mumbai,https://housing.com/in/buy/projects/page/293148-lodha-acenza-by-lodha-group-in-andheri-east
R403677,VR Reflection,Ahmedabad West,https://housing.com/buy-reflection-by-vr-buildcon-in-shela-ahmedabad-pid-293590
R403838,Samatva Amaryllis,Ahmedabad West,https://housing.com/buy-samatva-amaryllis-by-samatva-amaryllis-infra-in-science-city-ahmedabad-pid-291601/brochure
r403847,Adore Smart City,Faridabad,https://housing.com/in/buy/projects/page/325738-adore-smart-city-by-adore-realtech-in-tajupur
R403885,Trilok Villas And Apartments,Bangalore West,https://housing.com/price-trends/property-rates-for-buy-in-kenchenhalli_rr_nagar_bangalore-P3u6e3ek5miv8c0kp
r404070,DLF The Arbour,Gurgaon,https://housing.com/in/buy/projects/page/292692-dlf-the-arbour-by-dlf-in-sector-63
R404243,Lodha Divino,Mumbai South,https://housing.com/in/buy/projects/page/295230-lodha-divino-building-3-by-lodha-group-in-matunga-east
r404401,Signature Global City 79B,Gurgaon,https://housing.com/in/buy/projects/page/334453-signature-global-city-79b-by-signature-global-builders-pvt-ltd-in-sector-79
R404465,Neel Sidhi Ballarat,Navi Mumbai,https://housing.com/in/buy/projects/page/293391-neelsidhi-ballarat-by-neelsidhi-developers-in-panvel
R404671,Shreeji Today,Navi Mumbai,https://housing.com/in/buy/projects/page/294285-shreeji-today-by-today-royal-group-in-kharghar
R404764,Vivaan Essence,Ahmedabad North,https://housing.com/buy-vivaan-essence-by-northside-properties-in-zundal-gandhinagar-gujarat-pid-294079
r404772,Central Park The Orchard,Gurgaon,https://housing.com/in/buy/projects/page/293320-central-park-the-orchard-by-central-park-in-sector-32-sohna
R405075,Shreehari Skyleaf,Ahmedabad North,https://housing.com/buy-skyleaf-by-shreehari-infra-in-tragad-ahmedabad-pid-294615
R405191,Akshita Golden Breeze 4,Hyderabad,https://housing.com/in/buy/projects/page/95978-akshita-golden-breeze-by-akshita-infra-in-maheshwaram
R405304,Landmark Avana,Gurgaon,https://housing.com/in/buy/projects/page/304644-landmark-avana-1st-phase-by-landmark-infonet-pvt-ltd-in-sector-95
R405819,Drushti Emerald,Central Mumbai,https://housing.com/in/buy/projects/page/294933-drushti-emerald-by-samarth-drushti-developers-in-ghatkopar-east
r406285,Orchid Residency,Greater Noida,https://housing.com/in/buy/resale/page/14051729-2-bhk-apartment-in-noida-extension-for-rs-3000000
R406547,Nova Sangamam,Chennai South,https://housing.com/in/buy/projects/page/300065-nova-sangamam-phase-ii-by-nova-lifespace-in-manapakkam
R407002,Tricity Natraj,Central Mumbai,https://housing.com/in/buy/projects/page/295661-tricity-natraj-by-tricity-reality-llp-in-chembur
r407624,India Bhoomi,South Delhi,https://housing.com/in/buy/projects/page/38602-indiabhoomi-com-sky-apartments-by-indiabhoomicom-in-mahipalpur
R408152,Shiv Mahadev Lavish,Ahmedabad West,https://housing.com/buy-mahadev-lavish-by-shiv-land-developers-in-bopal-ahmedabad-pid-300411
R408338,Rameshwar Sky,Ahmedabad South,https://housing.com/buy-rameshwar-sky-by-rameshwar-developers-in-kasindra-ahmedabad-pid-295512/brochure
R408351,Nirman Sahvas,Ahmedabad North,https://housing.com/buy-nirman-sahvas-by-sahvas-construction-llp-in-adalaj-gandhinagar-gujarat-pid-297324
R408676,Vivaan Oliver,Ahmedabad North,https://housing.com/buy-vivaan-oliver-by-vivaan-group-in-zundal-gandhinagar-gujarat-pid-295397
R409500,TPV Nisarg Aura,Navi Mumbai,https://housing.com/in/buy/projects/page/296565-tpv-nisarg-aura-by-tpv-lifespace-llp-in-kharghar
R409762,Infinity Icon,Navi Mumbai,https://housing.com/in/buy/projects/page/298911-infinity-icon-by-infinity-group-in-shedung
R410064,Vivaan Aura,Ahmedabad North,https://housing.com/buy-vivaan-aura-by-vivaan-group-in-zundal-gandhinagar-gujarat-pid-299132
R410288,Samaira Opulence,Beyond Mira Road,https://housing.com/in/buy/projects/page/293614-samaira-opulence-by-samaira-buildcon-in-vasai-east
R410443,Kavisha Aer,Ahmedabad West,https://housing.com/buy-kavisha-aer-by-kavisha-atria-llp-in-shela-ahmedabad-pid-300255
r410446,Luxury Floors by Guptas,Faridabad,https://housing.com/in/buy/projects/page/318094-rk-gupta-luxury-floors-by-rr-construction-in-green-field-colony
R410738,Mount Milano,Ahmedabad West,https://housing.com/buy-mount-milano-by-mount-group-in-south-bopal-ahmedabad-pid-295285
R410760,Forestville by Oberoi Realty,Thane,https://housing.com/in/buy/projects/page/296459-forestville-by-oberoi-realty-limited-in-thane-west
R411096,KA Brezza,Chennai North,https://housing.com/in/buy/projects/page/300297-k-a-brezza-by-kadevelopers-in-ambattur
R411312,Sai Proviso Atlantis,Navi Mumbai,https://housing.com/in/buy/projects/page/302882-sai-proviso-atlantis-by-proviso-group-in-kharghar
R411626,Eternity By Ratnaakar,Ahmedabad West,https://housing.com/buy-eternity-by-ratnaakar-by-ratnaakar-in-iscon-ambli-road-ahmedabad-pid-300475
R411643,Vivaan Solitaire,Ahmedabad North,https://housing.com/buy-vivaan-solitaire-by-vivaan-group-in-zundal-gandhinagar-gujarat-pid-301619
R411955,Platinum Esquire,Navi Mumbai,https://housing.com/in/buy/projects/page/314813-platinum-esquire-by-westwoods-ventures-in-ulwe
R412177,The Ashoka,Ahmedabad East,https://housing.com/buy-the-ashoka-by-omkar-infrastructure-in-mahadev-nagar-ahmedabad-pid-318421
r412208,Villas Palladio Balewadi Central,Pune West,https://housing.com/in/buy/projects/page/302230-vilas-palladio-balewadi-central-by-vilas-javdekar-eco-shelters-pvt-ltd-in-balewadi
R412504,Blue Bell,Ahmedabad North,https://housing.com/buy-khwaish-blue-bell-by-khwaish-infracon-and-shree-rang-infraspace-in-gota-ahmedabad-pid-302849
R412547,Seasons Green,Thane Outskirts,https://housing.com/in/buy/projects/page/302172-seasons-green-by-jai-balaji-sai-realtors-in-kalyan-west
R412891,Artiz Arcelia,Ahmedabad West,https://housing.com/buy-artiz-arcelia-by-artiz-group-in-shilaj-ahmedabad-pid-302538/brochure
R41300,Raheja Imperia,Mumbai South,https://housing.com/in/buy/projects/page/38390-raheja-imperia-i-by-raheja-universal-in-lower-parel
R413103,Dwarkadhish Suri Luxury Floors,North Delhi,https://housing.com/in/buy/projects/page/327279-dwarkadhish-krishna-homes-by-yogesh-sharma-in-sector-17-rohini
R413623,Swarga Sirulaseema II,Hyderabad,https://housing.com/price-trends/property-rates-for-buy-in-adilabad_telangana-P2pl7gvirj7by4a77
R413684,Shree Chamunda Devpriya,Navi Mumbai,https://housing.com/in/buy/projects/page/304971-shree-chamunda-devpriya-by-shree-chamunda-realty-in-ulwe
R414143,Satyamev Luxor,Ahmedabad West,https://housing.com/buy-satyamev-luxor-by-satyamev-developers-in-ambli-ahmedabad-pid-299963
R414361,Lodha Vero,Central Mumbai,https://sobohousing.com/property/lodha-vero-matunga/
R414403,Aarohi Avinya,Ahmedabad West,https://housing.com/buy-aarohi-avinya-by-siddhi-infralink-in-ramdev-nagar-ahmedabad-pid-306187
R414512,Codename Pudhiya Chennai,Chennai West,https://housing.com/in/buy/projects/page/304701-codename-pudhiya-chennai-by-shriram-properties-in-thirumazhisai
R414637,Lakshdeep Delight Heritage,Navi Mumbai,https://housing.com/in/buy/projects/page/304949-lakshdeep-delight-heritage-by-lakshdeep-developer-llp-in-panvel
R415134,Shree Siddhi  Ganesh Legacy,Ahmedabad North,https://housing.com/buy-ganesh-legacy-by-shree-siddhi-group-in-vaishno-devi-circle-ahmedabad-pid-307930
R415447,The Nest,Ahmedabad North,https://housing.com/buy-the-nest-by-nest-buildspace-in-vaishno-devi-circle-ahmedabad-pid-317938
R415825,Purti The Varanda,Kolkata North,https://housing.com/buy-the-varanda-by-purti-npr-developers-llp-in-lake-town-kolkata-pid-285021
R415849,Maitri Elevate,Ahmedabad North,https://housing.com/buy-maitri-elevate-by-gayatri-infrastructure-in-motera-ahmedabad-pid-305325
R416159,Lodha Mirabelle,Bangalore North,https://housing.com/in/buy/projects/page/309029-lodha-mirabelle-by-lodha-group-in-sinthan-nagar
R416321,Rameshwar City Glory,Ahmedabad South,https://housing.com/buy-rameshwar-city-glory-by-rameshwar-infrabuild-pvt-ltd-in-kasindra-ahmedabad-pid-294566
r416742,Kiera London House,South Delhi,https://housing.com/in/buy/projects/page/253621-kiera-ryhan-heights-by-kiera-homes-in-vasant-kunj
R416810,Lodha Stella,Thane,Not Found
R417011,Neelkanth Palm President,Navi Mumbai,https://housing.com/in/buy/projects/page/314539-neelkanth-palm-president-by-neelkanth-infratech-in-ghansoli
R417100,Lodha Riservo,Central Mumbai,https://housing.com/in/buy/projects/page/309558-lodha-riservo-by-lodha-group-in-vikhroli-east
r417142,Kumar Codename LightHouse,Pune East,https://housing.com/in/buy/resale/page/15142752-2-bhk-apartment-in-undri-for-rs-5500000
R417174,Trident Experia,Ahmedabad North,https://housing.com/buy-trident-experia-by-ratna-group-in-vaishno-devi-circle-ahmedabad-pid-309081
R4172,Prestige Shantiniketan,Bangalore East,https://housing.com/in/buy/projects/page/31909-prestige-shantiniketan-by-prestige-estates-projects-ltd-in-whitefield
