XID,Project Name,City,Housiing.com Link
R342019,The Green Valley Address,Bangalore West,https://housing.com/in/buy/projects/page/228419-green-valley-phase-2-by-best-properties-in-guddahatti
R328339,Vriddhica Heritage,Kolkata South,https://housing.com/buy-vriddhica-heritage-resale-flats-in-joka-kolkata-srpid-AG5gwtAH0
R322829,Vatika Westin Sohna Resort,Gurgaon,https://housing.com/in/buy/projects/page/237002-vatika-westin-sohna-resort-by-vatika-in-sector-35-sohna
R313801,Akshithas Golden Breeze Extension,Hyderabad,https://housing.com/in/buy/projects/page/201971-akshita-golden-breeze-phase-2-by-akshita-infra-in-maheshwaram
R300015,SIS Capetown,Chennai North,https://housing.com/in/buy/projects/page/307326-sis-capetown-phase-3-by-south-india-shelters-in-surapet
R293785,BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,Bhopal,https://housing.com/buy-bda-sardar-vallab-bhai-patel-apsi-karar-yojna-by-bhopal-development-authority-in-bawadiya-kalan-bhopal-pid-242977
R291135,Lord Empire Metro Colony,Indore,https://housing.com/buy-lord-anant-empire-metro-colony-resale-flats-in-county-walk-township-indore-srpid-AG2s2sAH0
R270883,A S Golf Greens,Raipur,https://housing.com/in/buy/projects/page/343337-golf-green-phase-ii-by-as-housing-company-in-sejbahar
R270621,Greenfield Meadows,Mangalore,Not Found
R253739,Avinash Garden City,Raipur,https://housing.com/in/buy/projects/page/203998-avinash-garden-city-by-avinash-developers-pvt-ltd-in-semariya-2
R202871,Trishul Terraces,Navi Mumbai,https://housing.com/in/buy/trishul-terraces-annex-for-resale-in-kopar-khairane-navi-mumbai-AG401vAH0
R195709,Maitri Street,Navi Mumbai,https://housing.com/rent-maitri-street-for-rent-in-kamothe-navi-mumbai-rpid-AG39kuAH0
R101061,Safal Glade One,Ahmedabad West,https://housing.com/buy-4400-sqft-4-bhk-apartment-in-vikram-nagar-for-rs-45500000-rid-7384366-2
R61839,Mahidhara Fortune City,Bangalore South,https://housing.com/in/buy/projects/page/99960-mahidhara-fortune-city-by-mahidhara-projects-in-attibele
R15646,Mahidhara Supreme,Chennai South,https://housing.com/in/buy/projects/page/39834-mahidhara-supreme-by-mahidhara-projects-in-oragadam-sriperambattur
R45,Emaar Mohali Hills Plots,Mohali,https://housing.com/in/buy/emaar-mohali-hills-plot-for-resale-in-sector-108-sahibzada-ajit-singh-nagar-AG1ng4AH0
R436826,TVH Avanta,Coimbatore,https://housing.com/buy-1500-sqft-residential-plot-in-kovilpalayam-for-rs-5800000-rid-15749291
R424561,Prajay Virgin County Phase 2,Hyderabad,https://housing.com/in/buy/prajay-virgin-county-villas-for-resale-in-malikdanguda-hyderabad-AG4pxgAH0
R338211,Avinash Twin City,Raipur,https://housing.com/in/buy/projects/page/237622-avinash-twin-city-by-avinash-developers-pvt-ltd-in-kumhari
R228057,PDA Omaxe City,Patiala,https://housing.com/in/buy/projects/page/249634-omaxe-pda-by-omaxe-ltd-in-baran
R20078,Suraksha Enclave,Sonipat,Not Found
R180623,Altus Muirwoods,Chandigarh,https://housing.com/in/buy/projects/page/326698-altus-muirwoods-ecocity-extension-1-pocket-f-by-altus-space-builders-in-new-chandigarh
