XID,Project Name,City,Squareyards.com Link
R302279,Centra Greens,Ludhiana,https://www.squareyards.com/bangalore-residential-property/itc-green-centre/182004/project/photos
R322077,Kolte Patil Tuscan Parkland,Pune East,https://www.squareyards.com/pune-residential-property/kolte-patil-tuscan-parkland/30286/project
R41594,Arcadia Hillocks,Dehradun,https://www.squareyards.com/dehradun-residential-property/golden-arcadia-hillocks/9187/project/photos
R12300,Suncity Essel Towers,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/suncity-essel-tower/377/project
R381481,Platinum 53 West,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/platinum-53-west/113172/project
R272905,Kolte Patil R16 at Life Republic,Pune West,https://www.squareyards.com/pune-residential-property/kolte-patil-life-republic-16th-avenue-arezo/10377/project
R671,Pan Oasis,Noida,https://www.squareyards.com/noida-residential-property/amrapali-pan-oasis/743/project
R417156,Urban Front,Pune North,https://www.squareyards.com/pune-residential-property/am-gore-urban-front/243056/project
R40112,JP Airoli Tower 1,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/jp-airoli-tower/107212/project
R372604,Dhan Residency,Indore,https://www.squareyards.com/resale-2-5-bhk-1350-sq-ft-apartment-in-sakar-residency/6907705
R178281,Rihayshi CHS,Delhi South West,https://www.squareyards.com/sale/2-bhk-for-sale-in-sector-12-dwarka-delhi
R65226,Shyam Apartments,Delhi South West,https://www.squareyards.com/sale/property-for-sale-in-shyam-vihar-delhi
R29196,Manisha Towers,Delhi South West,https://www.squareyards.com/sale/3-bhk-for-sale-in-sector-23-dwarka-delhi
R38338,Suncity Township,Gurgaon,https://www.squareyards.com/rent/2-bhk-for-rent-in-suncity-gurgaon
R2690,Bhoomi Acres,Thane,https://www.squareyards.com/resale-157-sq-ft-retail-shop-in-bhoomi-acres/7359453
R981,Assotech Windsor Court,Noida,https://www.squareyards.com/noida-residential-property/assotech-windsor-court/658/project/floor-plans
R14750,BKS Galaxy,Navi Mumbai,https://www.squareyards.com/sale/resale-properties-in-galaxy-nebula-navi-mumbai
R27710,DLF Wellington Estate,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/dlf-the-wellington-estate/331/project
R64686,Kolte Patil 24K Opula,Pune West,https://www.squareyards.com/pune-residential-property/kolte-patil-24k-opula/21711/project/floor-plans
R382153,Ratnabhumi Turquoise Grandeure,Ahmedabad West,Not Found
R276977,K Raheja Artesia,Mumbai South,https://www.squareyards.com/sale/resale-properties-in-k-raheja-artesia-mumbai
R403728,Savvy Marina,Gandhinagar,https://www.squareyards.com/ahmedabad-residential-property/sobha-avalon/228258/project
R28466,Naiknavare Victoria Garden,Pune East,https://www.squareyards.com/projects-by-naiknavare-developers-pvt-ltd-in-pune
R1189,Prestige Tranquility,Bangalore East,https://www.squareyards.com/bangalore-residential-property/prestige-tranquility/1823/project
R198879,Tharwani Heritage,Navi Mumbai,https://www.squareyards.com/rent/property-for-rent-in-tharwani-heritage-navi-mumbai
R838,Lunkad Sky Vie,Pune East,https://www.squareyards.com/pune-residential-property/lunkad-sky-vie/2170/project
R28474,ABA Olive County,Ghaziabad,https://www.squareyards.com/sale/resale-properties-in-aba-olive-county-ghaziabad
R55242,Patel Aum Sai,Navi Mumbai,https://www.squareyards.com/sale/resale-properties-in-patel-heritage-navi-mumbai
R211267,Shankh Mani,Kolkata South,https://www.squareyards.com/kolkata-residential-property/shankh-mani/8344/project
R17792,Oberoi Parkview,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/oberoi-realty-park-view/3397/project
