XID,Project Name,City,Squareyards.com Link
R406937,Sanvicasa 105,Vadodara,https://www.squareyards.com/vadodara-residential-property/sanvicasa-105/318590/project/location-map
R406986,Vrundavan Bliss,Vadodara,https://www.squareyards.com/vadodara-residential-property/vrundavan-bliss/319413/project
R407088,One World Phase 1,Aurangabad,https://www.squareyards.com/rent/property-for-rent-in-shalimar-one-world-valencia-county-lucknow
R407392,Max Rajam,Madurai,https://www.squareyards.com/sale/property-for-sale-near-anjanapura-central-park-anjanapura-in-bangalore
R407585,Casa De Nagoa,South Goa,https://www.squareyards.com/sale/property-for-sale-in-velsao-goa
R407658,Gajanan Residency,Nasik,https://www.squareyards.com/pune-residential-property/neel-residency-old-sangvi/165776/project
R407727,K K Avenue,North Goa,https://www.squareyards.com/hyderabad-residential-property/kk-casa-bella/247274/project
R407756,The Sky Bungalows,Jaipur,https://www.squareyards.com/jaipur-residential-property/org-the-sky-bungalows/248952/project
R407781,Prosperity Homes 2,Lucknow,https://www.squareyards.com/lucknow-residential-property/pi-prosperity-homes/307970/project/photos
R407809,ESR Premium County,Hyderabad,https://www.squareyards.com/projects-in-dubbacherla-hyderabad
R407819,Crystal Hitendra Dhamm Shabha Chs,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/crystal-hitendra-dhamm-shabha-chs/217372/project
R407822,Nandivardhan Monopoli,Mumbai South,https://www.squareyards.com/projects-by-nandivardhan-in-mumbai
R407861,Casa Havana by Zaramount,North Goa,Not Found
R407933,Natures Homes Amaltas,Jaipur,https://www.squareyards.com/under-construction-projects-in-jagatpura-jaipur
R408074,Vinayak Villa,Surat,https://www.squareyards.com/rent/property-for-rent-in-vinayak-elenza-manyawas-jaipur
R408244,Millennium Towers,Nashik,https://doc.squareyards.com/ProjectKnowledge/Brochure_e8ad3e9b309d4d11b139e7d479582ce4.pdf
R408368,Laxmi Homes,Surat,https://www.squareyards.com/resale-3-bhk-87-sq-yd-independent-house-in-vaibhav-laxmi/8053278
R408688,Greentech Greenock Villa,Kochi,https://www.squareyards.com/kochi-residential-property/avni-homes-nirvana/314147/project
R408828,KBP Smart City,Mohali,https://www.squareyards.com/sale/2-bhk-for-sale-in-kharar-kurali-highway-mohali
R408833,Sunrise Vista,Ahmedabad West,https://www.squareyards.com/gurukul-in-ahmedabad-overview-1583
R408929,ABD Pride,Nasik,https://www.squareyards.com/projects-in-indira-nagar-nashik
R408936,Kalpvan Apartment,Nashik,Not Found
R408943,Sahyadri Plumeria,Pune North,https://www.squareyards.com/pune-residential-property/sahyadri-plumeria/219404/project
R409009,RKS Shivom,Coimbatore,https://www.squareyards.com/kolkata-residential-property/shivam-astera/8345/project
R409033,Anand Niketan,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/santur-azalea/325361/project
R409351,Artech Marvel,Trivandrum,Not Found
R409407,Pride Purple 2,Nagpur,https://www.squareyards.com/pune-residential-property/pride-purple-park-turquoise/2250/project/floor-plans
R409471,SandeepG Mayfair Majestic,Siliguri,Not Found
R409503,Northview Homez,Chandigarh,https://www.squareyards.com/resale-4-bhk-pooja-room-900-sq-ft-independent-house-in-swastik-vihar/8045342
R409508,Mason Avenue,Bhubaneswar,https://www.squareyards.com/rasulgarh-in-bhubaneswar-overview-74715
R409532,Tirupati Greens,Indore,https://www.squareyards.com/pune-residential-property/tirupati-eternia/226354/project/photos
R409549,Protech Pride,Guwahati,https://www.squareyards.com/satgaon-in-guwahati-overview-10758
R409806,Green County,Vapi,https://www.squareyards.com/hyderabad-residential-property/green-aerospace-county-avenue/227917/project
R409855,Shilpa Madhuvan,Nashik,Not Found
R409856,Kukreja Paris City,Nagpur,Not Found
R409873,Radiance Regalia,Coimbatore,https://www.squareyards.com/mumbai-residential-property/kalpataru-radiance/2895/project
R409908,Cinco Fairland,Coimbatore,https://www.squareyards.com/sale/property-for-sale-in-fairlands-salem
R409985,Land Trade Pristine,Mangalore,https://www.squareyards.com/pune-residential-property/pristine-o2-world/245239/project
R409990,Virat Krishnav Phase 2,Jaipur,https://www.squareyards.com/jaipur-residential-property/virat-krishnav/101436/project
R410048,ASVI Golden Feet,Tirupati,Not Found
R410074,Shree Hari Sakar,Surat,https://www.squareyards.com/rent/1-rk-for-rent-in-puna-surat
R410076,Amaya,Surat,https://www.squareyards.com/sale/2-bhk-for-sale-in-surat
R410183,Natures Cove,South Goa,https://www.squareyards.com/bangalore-residential-property/assetz-canvas-and-cove/100604/project
R410184,Aditya Luxuria,North Goa,https://www.squareyards.com/rent/property-for-rent-in-aditya-luxuria-estate-ghaziabad
R410309,Shalimar One World Valencia Towers,Lucknow,https://www.squareyards.com/lucknow-residential-property/shalimar-one-world-valencia-tower/228331/project/floor-plans
R410448,Manoo Rivera,Trichy,https://www.squareyards.com/resale-3-bhk-1203-sq-ft-apartment-in-manoo-rivera/7244761
R410490,Dodamarg Heights,Sindhudurg,https://www.squareyards.com/sale/property-for-sale-in-dodamarg-goa
R410495,Uttarayan Prakriti,Jorhat,https://www.squareyards.com/projects-by-d-divine-developers-in-guwahati
R410569,Gracewood Elegance,Vadodara,Not Found
R410597,Aarya Euphoria,Vadodara,https://www.squareyards.com/vadodara-residential-property/aarya-euphoria/318498/project
R410653,Southwind Exotica,Bardhaman,https://www.squareyards.com/rent/property-for-rent-in-south-bopal-ahmedabad
R410658,Sacred Shivansh,Ahmedabad West,https://www.squareyards.com/affordable-projects-in-near-vaishno-devi-circle-on-sg-highway-ahmedabad
R410684,Vrindhavana Visthara,Coimbatore,https://www.squareyards.com/coimbatore-residential-property/vrindhavana-visthara/317028/project
R410695,Woods Ville,Raipur,https://www.squareyards.com/rent/2-bhk-flat-in-godrej-woodsville-pune
R410857,Varahi Infra Panchakshari Gardens,Guntur,Not Found
R410865,Royal Heights,Nagpur,https://www.squareyards.com/nagpur-residential-property/tata-capitol-heights/239732/project/floor-plans
R410872,Noble Willasa,Mohali,https://www.squareyards.com/sale/property-for-sale-in-sector-99-mohali
R410960,Cordial Dev,Trivandrum,https://www.squareyards.com/rental-1-bhk-study-room-430-sq-ft-apartment-in-rwa-surya-vihar/7634220
R411000,Corsica Heights,Dehradun,https://www.squareyards.com/under-construction-projects-in-dehradun
R411008,Spotlight Countryside,Kolkata South,Not Found
R411075,Shubhashish Prakash,Jaipur,https://www.squareyards.com/sale/resale-properties-in-shubhashish-geeta-jaipur
R411122,Shantam Meadows,Vadodara,https://www.squareyards.com/vadodara-residential-property/shantam-meadows/318488/project/photos
R411124,Jarry Emperio,Nagpur,Not Found
R411132,AC Aaradhya Residency,Nashik,https://www.squareyards.com/nashik-residential-property/aaradhya-nakshatra/321011/project
R411183,Sangini Aura,Surat,https://www.squareyards.com/surat-residential-property/vedant-bellavista/312871/project/photos
R411354,Rudransh Antilia,Vadodara,https://www.squareyards.com/new-launch-projects-in-gorwa-vadodara
R411360,RS Aurora Bay,Visakhapatnam,https://www.squareyards.com/sale/2-bhk-for-sale-near-vuda-park-pedda-waltair-in-vizag
R411524,JB Estella,Bhubaneswar,https://www.squareyards.com/projects-by-jp-infra-in-thane
R411543,Oshians Legend,Nagpur,Not Found
R411558,Falcon Tatva,Bhubaneswar,https://www.squareyards.com/projects-in-khandagiri-bhubaneswar
R411677,Ruheen Shree,Jaipur,https://www.squareyards.com/jaipur-residential-property/shri-ram-the-city-of-golden-domes/49137/project
R411905,Polaris Calice,Gandhinagar,https://www.squareyards.com/ahmedabad-residential-property/polaris-the-palace/248373/project
R411940,Space Villas By One Realty,Jaipur,https://www.squareyards.com/jaipur-residential-property/one-realty-space-villas/247567/project
