XID,Name,URL,RERA,Address,Price,Builder,Amenities,Possession Status,Sizes,Launch Date,Project Size,Project Area,Avg. Price,Configurations
r379979,Shubharambh,https://housing.com/buy-shubharambh-by-jaikumar-constructions-ltd-in-amrutdham-nashik-pid-263461,P51600030396,"Near Parksyde Homes, Panchavati Vrindavan Nagar, Amrutdham, Nashik",22.58 L - 22.73 L,ByJaikumar Constructions Ltd,"Solid Waste Management And Disposal, Water Conservation, Rain water Harvesting, 24x7 CCTV Surveillance, Gymnasium, Fire Fighting System, Car Parking, 24X7 Water Supply, Senior Citizen Siteout, Street Lighting, Fire Protection And Fire Safety Requirements, Yoga / Meditation Area",Ready to Move,6912 - 10616 sq.ft.,"Dec, 2010",64 units,,Price on request,5 BHK Apartment
r375314,Sharayu Sunny Days,https://housing.com/in/buy/projects/page/255535-sharayu-sunny-days-by-sharayu-global-in-marna-siolim,PRGO02211262,"Valadarichem Bata , Village Marna, Siolim, North Goa, Marna",Price on Request,BySharayu Global,"Swimming Pool, Landscaping & Tree Planting",Ready to Move,640 - 3200 sq.ft.,,,,998 - 2 K/sq.ft,Residential Plots
r425974,Horizon,https://housing.com/in/buy/projects/page/299174-horizon-by-hcs-realtors-llp-in-mira-road-east,P51700050894,"Horizon Complex, Near 7/11 Club, Beverly Park, Mira Road East, Mira Road and Beyond, Mira Bhayandar",68.0 L - 1.06 Cr,ByHCS Realtors Llp,"Club Rooftop, Swimming Pool, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Fire Fighting System, Gymnasium, Kid's Pool, Electrification(Transformer, Solar Energy etc), Closed Car Parking, Car Parking, 24X7 Water Supply","Sep, 2024",2187 - 5000 sq.ft.,"Mar, 2020",3 Buildings - 139 units,4.5 Acres,15 K/sq.ft,"3, 4 BHK Apartments"
r433268,Arkha Sanctuary,https://housing.com/in/buy/projects/page/330798-arkha-sanctuary-by-arkha-developers-in-subramanyapura,PRM/KA/RERA/1251/310/PR/200924/007054,"BSK 6th Stage, BHCS Layout, Uttarahalli, Subramanyapura, South Bangalore, Bangalore",80.08 L - 1.05 Cr,ByArkha Developers,"Children's Play Area, Recreation Facilities, Swimming Pool, Solid Waste Management And Disposal, Open Gym, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, 24x7 CCTV Surveillance, Electrification(Transformer, Solar Energy etc), Community Buildings, Closed Car Parking","Jun, 2021",945 - 1235 sq.ft.,"Jan, 2013",1 Building - 86 units,,Price on request,3 BHK Apartment
r264023,Hiranandani Fortune City,https://housing.com/in/buy/projects/page/38374-hiranandani-fortune-city-by-hiranandani-communities-in-panvel,"P52000000261, P52000001514, P52000000262, P52000001513, P52000000260, P52000000267, P52000000265, P52000000284. P52000001518, P52000002730, P52000002990, P52000001078, P52000001381, P52000001064, P52000000184","Survey No. 30, Bhokharpada Village, Panvel, Navi Mumbai",62.62 L - 2.53 Cr,ByHiranandani Communities,"Amphitheater, Volleyball Court, Cricket Pitch, Gazebo, Spa, Fountains, Table Tennis, Business Suites, Medical Store/Pharmacy, Water Softner Plant, Medical Facilities","Sep, 2025",585 - 644 sq.ft.,"May, 2019",3 Buildings - 838 units,5 Acres,14.91 K - 26.66 K/sq.ft,"2, 3 BHK Apartments"
r386131,Venkatesh Erandwane Central,https://housing.com/in/buy/projects/page/291194-venkatesh-erandwane-central-by-shree-venkatesh-buildcon-in-erandwane,"P52100032631, P52100032017, P52100032629, P52100055029","Erandwane, Pune",2.88 Cr - 5.1 Cr,ByShree Venkatesh Buildcon,"Cricket Pitch, Volleyball Court, Gazebo, Swimming Pool, Water Conservation, Rain water Harvesting, Gymnasium, Fire Fighting System, Car Parking, 24X7 Water Supply, Multipurpose Room, Senior Citizen Siteout","Dec, 2029",543 - 944 sq.ft.,"Nov, 2023",4 Buildings - 111 units,0.12 Acres,27 K/sq.ft,"2, 2.5 BHK Apartments"
r425033,ACE Terra,https://housing.com/in/buy/projects/page/319576-ace-terra-by-ace-group-in-yeida,UPRERAPRJ683816/04/2024,"Plot P5 And P6, TS-02/A, Sector 22D, Near Jewar Airport At Yamuna Expressway, Yamuna Expressway, Greater Noida",1.76 Cr - 3.02 Cr,ByACE Group,"Children's Play Area, Recreation Facilities, Solid Waste Management And Disposal, Landscaping & Tree Planting, Badminton Court, Water Conservation, Rain water Harvesting, Aerobics Room, 24x7 CCTV Surveillance, Fire Fighting System, Electrification(Transformer, Solar Energy etc), Car Parking","Dec, 2028",743 - 862 sq.ft.,"Jul, 2023",2 Buildings - 98 units,1.44 Acres,Price on request,3 BHK Apartment
r342591,JCSV PRIDE Pride,https://housing.com/in/buy/projects/page/227507-jcsv-pride-by-jcsv-builders-and-developers-in-jp-nagar,PRM/KA/RERA/1251/310/PR/191015/002920,"Bannerghatta Main Road, JP Nagar 7th Phase, South Bangalore, Bangalore",71.61 L - 1.33 Cr,BySanthosh,"Children's Play Area, Swimming Pool, Lift(s), Landscaping & Tree Planting, Badminton Court, Gymnasium, Car Parking, 24X7 Water Supply, Jogging Track, Multipurpose Room, Basketball Court","Jun, 2026",527 - 814 sq.ft.,"Sep, 2021",9 Buildings - 470 units,2.75 Acres,Price on request,"1.5, 2 BHK Apartments"
r422937,Krisumi Waterside Residence,https://housing.com/in/buy/projects/page/319751-krisumi-waterside-residence-by-krisumi-corporation-pvt-ltd-in-sector-36,GGM/812/544/2024/39,"Sector 36A, Dwarka Expressway, Dwarka Expressway, Gurgaon",2.2 Cr - 15.59 Cr,ByKrisumi Corporation Pvt. Ltd.,"Waiting Lounge, Amphitheater, Entrance Lobby, Yoga / Meditation Area, Grocery Shop, Changing Room, Gazebo, Swimming Pool, Fountains, Fire Sprinklers, Lift(s)","Jul, 2027",1689 - 2353 sq.ft.,,,,7.1 K/sq.ft,3 BHK Apartment
r43934,Sunteck Signature Island,https://housing.com/in/buy/projects/page/47315-sunteck-signature-island-by-sunteck-realty-limited-in-bandra-east,Rera Not Applicable,"G Block, Opposite Trident Hotel, Bandra Kurla Complex (BKC), Mumbai South West, Mumbai",Price on Request,BySunteck Realty Limited,"Amphitheater, Cricket Pitch, Mini Theatre, Car Parking, 24X7 Water Supply, Multipurpose Room, Indoor Games, Shopping Mall, Business Center, Sewage Treatment Plant, Intercom",Ready to Move,1272 - 3141 sq.ft.,"Apr, 2022",1 Building - 96 units,1.91 Acres,5.2 K/sq.ft,"2, 3, 4, 5 BHK Apartments"
r296889,Abhinav Aadhar City,https://housing.com/buy-abhinav-aadhar-city-by-aadhaar-associates-in-sukhi-sewania-bhopal-pid-228151,P-BPL-17-1302,"Vidisha Road, Vidisha Road, Bhopal",6.39 L - 63.97 L,ByAadhaar Associates,"Children's Play Area, Entrance Lobby, School, Storm Water Drains, Internal Roads & Footpaths","Jun, 2022",216.67 sq.yd.,,,7.5 Acres,36.87 K/sq.yd,3 BHK Apartment
r343921,One Hyderabad Residential,https://housing.com/in/buy/projects/page/228327-one-hyderabad-residential-by-pranava-group-in-somajiguda,P02500001366,"Somajiguda,Beside Irrumanzil Metro Station, Towards Rajbhavan Road, North Hyderabad, Hyderabad",3.28 Cr - 7.5 Cr,ByPranava Group,"Children's Play Area, Solid Waste Management And Disposal, Swimming Pool, Party Hall, Water Conservation, Rain water Harvesting, Mini Theatre, Fire Fighting System, Gymnasium, Community Buildings, Closed Car Parking, 24X7 Water Supply","Mar, 2030",1840 - 3610 sq.ft.,"Aug, 2024",,,12.06 K/sq.ft,"3, 4 BHK Penthouse,Apartments"
r8648,Rustomjee Seasons C,https://housing.com/in/buy/projects/page/51465-rustomjee-seasons-c-by-rustomjee-builders-in-bandra-east,P51800000309,"Madhusudan Kalelkar Road, Near MIG Club, Kala Nagar, BKC Annexe, Bandra East, Mumbai South West, Mumbai",6.78 Cr - 8.52 Cr,ByRustomjee Builders,"Cricket Pitch, Spa, Fountains, Table Tennis, Mini Theatre, Water Softner Plant, Concierge Service, Car Parking, 24X7 Water Supply, Multipurpose Room, Senior Citizen Siteout","Jun, 2027",857 - 997 sq.ft.,"Sep, 2023",5 Buildings - 457 units,4.1 Acres,6.74 K - 8.14 K/sq.ft,2 BHK Apartment
r330371,ABA Coco County,https://housing.com/in/buy/projects/page/171241-aba-coco-county-by-aba-corp-in-noida-extension,UPRERAPRJ958386,"GH - 3C, Sector - 10, Noida Extension, Greater Noida",87.2 L - 1.72 Cr,ByABA Corp,"Changing Room, Spa, Vastu Compliant, Table Tennis, Mini Theatre, Kid's Pool, Water Softner Plant, Medical Facilities, Concierge Service, Car Parking, 24X7 Water Supply","Dec, 2025",1100 - 1900 sq.ft.,"May, 2023",2 Buildings - 132 units,1.2 Acres (75% open),6.2 K/sq.ft,"2, 3 BHK Apartments"
r420145,Mehta Ganesh Dham,https://housing.com/in/buy/projects/page/311828-mehta-ganesh-dham-by-mehta-and-shirodkar-developers-in-mulund-east,P51800053763,"Mulund East, Central Mumbai Suburbs, Mumbai",1.47 Cr - 2.55 Cr,ByMehta And Shirodkar Developers,"Children's Play Area, Yoga / Meditation Area, Solid Waste Management And Disposal, Landscaping & Tree Planting, Lift(s), Water Conservation, Rain water Harvesting, Fire Fighting System, 24X7 Water Supply, Jogging Track, Indoor Games, Storm Water Drains","Jun, 2029",1295 - 2215 sq.ft.,"Aug, 2024",12 Buildings - 2238 units,18.1 Acres,7.4 K/sq.ft,"2, 2.5, 3 BHK Apartments"
r420796,Amar Amardeep Harmony,https://housing.com/buy-amar-amardeep-harmony-by-amar-group-in-chhani-vadodara-pid-317215,PR/GJ/VADODARA/VADODARA/Others/MAA12644/161123,"Maruti Heights, Amin Nagar Society, Chhani, Vadodara",Price on Request,ByAmar Group,"Cricket Pitch, Grocery Shop, Gazebo, Solar Lighting, Swimming Pool, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, Closed Car Parking, Car Parking, 24X7 Water Supply","Apr, 2029",4079 - 8003 sq.ft.,"Aug, 2023",6 Buildings - 308 units,5.66 Acres,11 K - 13.5 K/sq.ft,"4 BHK Apartment,Penthouse"
r389221,Pramukh Vivan,https://housing.com/in/buy/projects/page/339975-pramukh-vivan-by-pramukh-group-valsad-in-chala,Rera Not Available,"Vapi, Vapi",Price on Request,ByPramukh Group Valsad,"Children's Play Area, Closed Car Parking, Jogging Track, Cricket Pitch, Multipurpose Hall, Swimming Pool, Indoor Games, Party Lawn, Gymnasium","Sep, 2026",1662 - 2435 sq.ft.,"Apr, 2023",1 Building - 71 units,0.63 Acres,6.5 K/sq.ft,"3, 4 BHK Apartments"
r404666,Omaxe Gardenia Floors,https://housing.com/in/buy/projects/page/294629-omaxe-gardenia-floors-by-omaxe-ltd-in-new-chandigarh,PBRERA-SAS80-PR0839,"Sahibzada Ajit Singh Nagar, Chandigarh",1.2 Cr - 1.67 Cr,ByOmaxe Ltd,"Car Parking, 24X7 Water Supply, Swimming Pool, Gated Community, Indoor Games, Gymnasium, Club House","Sep, 2024",2200 - 3000 sq.ft.,"Feb, 2022",80 units,4.64 Acres,7.38 K/sq.ft,"3, 4 BHK Villas"
r367203,Virat Krishnav Phase 2,https://housing.com/buy-virat-krishnav-phase-2-by-virat-murli-infra-llp-in-vaishali-nagar-jaipur-rajasthan-pid-275501,RAJ/P/2022/1927,"Maharana Pratap Marg, Vaishali Nagar, Jaipur",65.51 L - 1.65 Cr,ByVirat Murli Infra LLP,"Waiting Lounge, Internet / Wi-Fi, Cricket Pitch, Tennis Court, Gazebo, Swimming Pool, Vastu Compliant, Fountains, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Table Tennis","Dec, 2024",884 - 1386 sq.ft.,"Apr, 2020",3 Buildings - 103 units,1.15 Acres,8 K/sq.ft,"2, 3 BHK Apartments"
r384098,Planmen Roseate Homes,https://housing.com/in/buy/projects/page/269911-planmen-roseate-homes-by-planmen-buildtech-llp-in-lohgarh,PBRERA-SAS79-PR0755,"Roseate Homes EVIP Road Gazipur, Zirakpur",79.89 L,ByPlanmen Buildtech LLP,"24X7 Water Supply, Gazebo, Gated Community, Landscaping & Tree Planting, Rain Water Harvesting, RO Water System, Power Backup, Sewage Treatment Plant, Club House","Jan, 2026",700 - 1369 sq.ft.,"Dec, 2020",5 Buildings - 1140 units,32 Acres (70% open),7.16 K -8.14 K/sq.ft,"2, 3 BHK Apartments"
r430690,Emperium Premio,https://housing.com/in/buy/projects/page/328084-emperium-premio-by-emperium-developers-pvt-ltd-in-sector-37c,77 Of 2024,"Sector 37C, Dwarka Expressway, Gurgaon",2.22 Cr - 4.35 Cr,ByEmperium Developers Pvt. Ltd.,"Club Rooftop, Children's Play Area, Entrance Lobby, Swimming Pool, Landscaping & Tree Planting, Badminton Court, Terrace Garden, Table Tennis, 24x7 CCTV Surveillance, Gymnasium, Flower Garden",Ready to Move,1455 - 1770 sq.ft.,,158 units,2.09 Acres,10.34 K/sq.ft,"2, 2.5, 3 BHK Apartments"
r418307,Nucleus,https://housing.com/buy-nucleus-by-dhoot-group-in-new-town-kolkata-pid-308565,WBRERA/P/NOR/2023/000531,"Gouranganagar, Jatragachi, Newtown, Kolkata",57.75 L - 81.15 L,ByDhoot Group,"Children's Play Area, Partial Power Backup, Tennis Court, Changing Room, Barbecue Area, Swimming Pool, Lift(s), Landscaping & Tree Planting, Badminton Court, 24x7 CCTV Surveillance, Kid's Pool","Dec, 2026",2075 sq.ft.,,5 Buildings - 192 units,1.92 Acres,6.8 K/sq.ft,3 BHK Apartment
r420123,Lavista,https://housing.com/in/buy/projects/page/314514-lavista-by-shiva-sai-constructions-in-nizampet,P02200007304,"Nizampet, North Hyderabad, Hyderabad",68.2 L - 1.18 Cr,ByShiva Sai Constructions,"Children's Play Area, Recreation Facilities, Swimming Pool, Solid Waste Management And Disposal, Lift(s), Landscaping & Tree Planting, Badminton Court, Water Conservation, Rain water Harvesting, Gymnasium, Electrification(Transformer, Solar Energy etc), Community Buildings","Feb, 2020",1173 - 7050 sq.ft.,"Jul, 2018",372 units,36 Acres,833/sq.ft,Residential Plots
r434519,The Legacey By Ananda Homes,https://housing.com/in/buy/projects/page/328426-the-legacey-by-ananda-homes-by-ananda-homes-in-puppalaguda,P02400008615,"Puppalguda, Manikonda, West Hyderabad, Hyderabad",95.82 L - 1.64 Cr,ByAnanda Homes,"Amphitheater, Cricket Pitch, Volleyball Court, Changing Room, Spa, Skating Rink, Fountains, Mini Theatre, Medical Facilities, Street Lighting, Senior Citizen Siteout",Ready to Move,1045 - 1490 sq.ft.,"Apr, 2017",22 Buildings - 760 units,12 Acres (75% open),9.93 K/sq.ft,"2, 3 BHK Apartments"
r433461,The Tiara,https://housing.com/in/buy/projects/page/336081-the-tiara-by-sham-exotic-group-in-new-chandigarh,PBRERA-SAS80-PR1063,"New Chandigarh, Chandigarh",4.49 Cr - 10.8 Cr,BySham Exotic Group,"Tennis Court, Grocery Shop, Changing Room, Sauna Bath, Spa, Swimming Pool, Landscaping & Tree Planting, Table Tennis, Mini Theatre, Gymnasium, Kid's Pool","Jun, 2025",1400 - 1500 sq.ft.,"Jan, 2014",1 Building - 104 units,5 Acres (25% open),9 K/sq.ft,3 BHK Apartment
r407933,Nature Homes Amaltas,https://housing.com/buy-nature-homes-amaltas-by-nature-homes-builders-and-developers-llp-in-jagatpura-jaipur-rajasthan-pid-297689,RAJ/P/2023/2466,"Jagatpura, NH - 8 Jaipur, Jaipur",1.08 Cr - 1.58 Cr,ByNature Homes Builders And Developers Llp,"Reading Lounge, Gazebo, Swimming Pool, Vastu Compliant, Fire Sprinklers, Landscaping & Tree Planting, Table Tennis, Mini Theatre, Gymnasium, Kid's Pool, 24X7 Water Supply",Ready to Move,1000 - 10000 sq.ft.,"Feb, 2022",,,300/sq.ft,Residential Plots
r386988,Spirit Of One,https://housing.com/in/buy/projects/page/273376-spirit-of-one-by-skandaavani-shelters-pvt-ltd-in-gunjur-palya,PRM/KA/RERA/1251/309/PR/210222/004723,"Sy No. 35/1, 35/2 And 36/1(P), Balegere, Varthur, Bangalore East , Bangalore",1.65 Cr - 2.17 Cr,BySkandaavani Shelters Pvt Ltd,"Partial Power Backup, Amphitheater, Jogging Track, Swimming Pool, Indoor Games, Badminton Court, Rain Water Harvesting, 24x7 Security, Gymnasium, Club House","Mar, 2027",1516 - 2156 sq.ft.,"Nov, 2022",29 units,0.2 Acres,Price on request,4 BHK Bungalow
r353990,Gurukul Heights Phase 1,https://housing.com/buy-gurukul-heights-phase-1-by-gurukul-homes-private-limited-in-new-town-kolkata-pid-232930,HIRA/P/NOR/2020/000886,"New Town, Kolkata",70.7 L - 1.11 Cr,ByGurukul Homes Private Limited,"Swimming Pool, Fire Sprinklers, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, Car Parking, 24X7 Water Supply, Multipurpose Room, Jogging Track, Senior Citizen Siteout, Street Lighting","Dec, 2028",1472 - 2638 sq.ft.,"Jan, 2024",6 Buildings - 626 units,5.43 Acres (70% open),11.6 K/sq.ft,"3, 4, 4.5 BHK Apartments"
r373118,Incor Lake City,https://housing.com/in/buy/projects/page/238287-incor-lake-city-by-incor-infrastructure-pvt-ltd-in-patancheru,P01100002420,"Survey No. 699, On NH-65, Patancheru, West Hyderabad, Hyderabad",56.99 L - 98.06 L,ByIncor Infrastructure Pvt. Ltd.,"Amphitheater, Cricket Pitch, Volleyball Court, Garbage Disposal, Swimming Pool, Fire Sprinklers, Landscaping & Tree Planting, Table Tennis, Mini Theatre, Gymnasium, Fire Fighting System","Jan, 2028",1938 - 4500 sq.ft.,"Feb, 2024",179 units,18.99 Acres (90% open),6.02 K -6.35 K/sq.ft,Residential Plots
r302349,Temple Tree,https://housing.com/in/buy/projects/page/146982-temple-tree-by-s-b-urbanscapes-in-begur,PRM/KA/RERA/1251/310/PR/171223/002016,"Sy No- 933/72, Bommnahalli, South Bangalore, Bangalore",1.51 Cr - 1.82 Cr,ByS B Urbanscapes,"Children's Play Area, 24X7 Water Supply, Closed Car Parking, Multipurpose Room, Lift(s), 24x7 Security, Gymnasium, Power Backup, Intercom","Mar, 2026",1034 - 1681 sq.ft.,"May, 2024",1 Building - 49 units,,Price on request,3 BHK Apartment
r427781,Janapriya Bahiti,https://housing.com/in/buy/projects/page/317251-janapriya-bahiti-by-janapriya-upscale-in-ameenpur,P01100007344,"Madinaguda, Chandanagar, North Hyderabad, Hyderabad",1.41 Cr,ByJanapriya Upscale,"Recreation Facilities, Solid Waste Management And Disposal, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Fire Fighting System, Electrification(Transformer, Solar Energy etc), Community Buildings, Closed Car Parking, 24X7 Water Supply, Street Lighting, Storm Water Drains",Ready to Move,1022 - 2311 sq.ft.,,17 Buildings - 426 units,2.07 Acres (62% open),4.94 K/sq.ft,"2, 3, 4 BHK Apartments"
r413623,Swarga Seema Sirula Seema 1,https://housing.com/in/buy/projects/page/202029-swarga-seema-sirula-seema-1-by-swarga-seema-sandalwood-farms-pvt-ltd-in-burgul,P02400000616,"Burgula, Hyderabad",9.77 L - 58.73 L,BySwarga Seema Sandalwood Farms Pvt Ltd,"Community Buildings, 24X7 Water Supply, Open Car Parking, Recreation Facilities, Internal Roads & Footpaths, Energy management","Jun, 2026",150 - 273 sq.yd.,"Jul, 2024",148 units,9.56 Acres,20 K/sq.yd,Residential Plots
r263209,Sattva Anugraha,https://housing.com/in/buy/projects/page/36677-sattva-anugraha-by-sattva-group-in-vijayanagar,PRM/KA/RERA/1251/309/PR/171014/000407,"Vijayanagar Extension, Off Magadi Road, Nagarbhavi, Bangalore West , Bangalore",1.05 Cr - 1.47 Cr,BySattva Group,"Amphitheater, Cricket Pitch, Tennis Court, Grocery Shop, Gazebo, Skating Rink, Swimming Pool, Fountains, Landscaping & Tree Planting, Table Tennis, Gymnasium","May, 2027",1265 - 2410 sq.ft.,"May, 2023",3 Buildings - 359 units,3.49 Acres,8.13 K/sq.ft,"2, 2.5, 3 BHK Apartments"
r6128,Imperia Aspireville,https://housing.com/in/buy/projects/page/339312-imperia-aspireville-by-imperia-structures-ltd-in-yeida,UPRERAPRJ4008,"GH- F3, Sec- 25, Jaypee Sports City, SDZ, Yamuna Expressway, Greater Noida",1.26 Cr - 1.35 Cr,ByImperia Structures Ltd,"Grocery Shop, Sauna Bath, Reflexology Park, Swimming Pool, Vastu Compliant, Fountains, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, Car Parking, 24X7 Water Supply","Jun, 2025",946 - 1364 sq.ft.,"Jan, 2024",2 Buildings - 78 units,0.9 Acres,5.14 K/sq.ft,"2, 3 BHK Apartments"
r404770,Capstone Land Plots In Vindhane,https://housing.com/in/buy/projects/page/310286-capstone-land-plots-in-vindhane-by-capstone-land-pvt-ltd-in-vindhane,Rera Not Applicable,"Vindhane, Navi Mumbai",3.0 L - 30.0 L,ByCapstone Land Pvt Ltd,"24X7 Water Supply, Gated Community, Internal Roads & Footpaths, Rain Water Harvesting, 24x7 Security, Sewage Treatment Plant","Dec, 2028",638 - 1141 sq.ft.,"Oct, 2023",1 Building - 28 units,0.65 Acres,16.07 K -19.99 K/sq.ft,"2, 3 BHK Apartments"
r403412,Aashray Primero,https://housing.com/buy-aashray-primero-by-aashray-group-vadodara-in-kalali-vadodara-pid-292024,PR/GJ/VADODARA/VADODARA/Others/RAA10922/141122,"Near Avadh Upvan 2 Old atladara -Bill Road kalali, Vadodara",88.0 L - 1.36 Cr,ByAashray Group Vadodara,"24X7 Water Supply, Senior Citizen Siteout, Swimming Pool, Gated Community, Indoor Games, Storm Water Drains, Banquet Hall, Internal Roads & Footpaths, Landscaping & Tree Planting, 24x7 Security, 24x7 CCTV Surveillance","Dec, 2026",535 - 859 sq.ft.,,2 Buildings - 91 units,0.64 Acres,Price on request,"2, 3 BHK Apartments"
r424010,Elite X,https://housing.com/in/buy/projects/page/316871-elite-x-by-elite-group-in-noida-extension,UPRERAPRJ9166,"Sector 10 Noida Extension, Greater Noida",1.7 Cr - 3.07 Cr,ByElite Group,"Amphitheater, Reading Lounge, Cricket Pitch, Reflexology Park, Skating Rink, Swimming Pool, Open Gym, Vastu Compliant, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Table Tennis","Feb, 2026",738 - 1263 sq.ft.,"Jan, 2023",1 Building - 601 units,3 Acres,6.13 K - 7.17 K/sq.ft,"2, 3, 4 BHK Apartments"
r404003,Paranjape Misty Greens,https://housing.com/in/buy/projects/page/301140-paranjape-misty-greens-by-paranjape-schemes-construction-ltd-in-bhugaon,P52100049327,"Bhugaon, Pune",1.23 Cr - 2.71 Cr,ByParanjape Schemes Construction Ltd.,"Reading Lounge, Internet / Wi-Fi, Garbage Disposal, Swimming Pool, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Table Tennis, Footpaths/Pedestrian, Gymnasium, Kid's Pool, Flower Garden","Nov, 2026",1204 - 1735 sq.ft.,"Oct, 2024",2 Buildings - 207 units,9.52 Acres (56% open),4.53 K/sq.ft,"2, 3 BHK Apartments"
r427849,Mahalaxmi Radhe Krishna Vrindavann 1,https://housing.com/in/buy/projects/page/339018-mahalaxmi-radhe-krishna-vrindavann-1-by-mahalaxmi-buildhome-ltd-in-bhuwana,RAJ/P/2024/3111,"Bhuwana, Udaipur",Price on Request,ByMahalaxmi Buildhome Ltd.,"Children's Play Area, Security Cabin, Solid Waste Management And Disposal, Swimming Pool, Party Hall, 24x7 CCTV Surveillance, Gymnasium, Fire Fighting System, Electrification(Transformer, Solar Energy etc), Closed Car Parking, 24X7 Water Supply","Dec, 2025",587 sq.ft.,,1 Building - 42 units,0.32 Acres,Price on request,2 BHK Apartment
r34968,Mounthill North Grande,https://housing.com/buy-mounthill-north-grande-by-mounthill-realty-pvt-ltd-in-north-dum-dum-kolkata-pid-262,HIRA/P/NOR/2019/000529,"50, Rabindra Sarani, Durga Nagar, Dum Dum, North Dumdum, Kolkata",50.47 L - 1.14 Cr,ByMounthill Realty Pvt Ltd,"Waiting Lounge, Volleyball Court, Sauna Bath, Changing Room, Reflexology Park, Swimming Pool, Vastu Compliant, Fire Sprinklers, Landscaping & Tree Planting, Table Tennis, Gymnasium","Dec, 2024",571 - 747 sq.ft.,,4 Buildings - 280 units,2.1 Acres,4.28 K/sq.ft,"1, 2 BHK Apartments"
r432449,RRR West Fields,https://housing.com/in/buy/projects/page/328255-rrr-west-fields-by-j-group-in-sadasivpet,P01100008606,"Gollagudem, Hyderabad",30.0 L - 54.59 L,ByJ Group,"Children's Play Area, Security Cabin, Vastu Compliant, Landscaping & Tree Planting, Club House",Under Construction,760 - 1170 sq.ft.,"Nov, 2023",1 Building - 104 units,2.5 Acres,38.64 K/sq.ft,"2, 3 BHK Apartments"
r415009,The Tamarind,https://housing.com/in/buy/projects/page/312700-the-tamarind-by-eipl-in-neknampur,P02400006803,"Fair Fields Colony, Alkapur Township, Neknampur, Manikonda, West Hyderabad, Hyderabad",1.03 Cr - 1.96 Cr,ByEIPL,"Cricket Pitch, Swimming Pool, Water Conservation, Rain water Harvesting, Table Tennis, Footpaths/Pedestrian, Gymnasium, Fire Fighting System, Community Buildings, Closed Car Parking, 24X7 Water Supply, Street Lighting","Dec, 2028",312 - 527 sq.ft.,"Jul, 2023",1 Building - 70 units,0.61 Acres,11.77 K -13.78 K/sq.ft,"1, 2 BHK Apartments"
r421126,Ruby Arcadia,https://housing.com/in/buy/projects/page/319848-ruby-arcadia-by-ruby-builders-and-promoters-in-selaiyur,TN/35/Building/0435/2023 dated 19/10/2023,"Selaiyur, Chennai south, Chennai",48.6 L - 70.07 L,ByRuby Builders And Promoters,"24X7 Water Supply, Multipurpose Room, Gated Community, Indoor Games, Lift(s), Landscaping & Tree Planting, 24x7 Security, 24x7 CCTV Surveillance, Gymnasium, Power Backup, Intercom","Jul, 2022",3005 - 7855 sq.ft.,"Dec, 2016",300 units,93 Acres,8.24 K/sq.ft,"4, 5 BHK Villas"
r75015,Shreeji Infinity,https://housing.com/in/buy/projects/page/308986-shreeji-infinity-by-infinity-infra-mumbai-in-kharghar,P51700053083,"Plot No 87, Sector 11, Kharghar, Navi Mumbai",1.28 Cr - 1.83 Cr,ByInfinity Infra Mumbai,"Children's Play Area, Waiting Lounge, Solid Waste Management And Disposal, Landscaping & Tree Planting, Lift(s), Water Conservation, Rain water Harvesting, 24x7 CCTV Surveillance, Fire Fighting System, Gymnasium, Electrification(Transformer, Solar Energy etc), Closed Car Parking","Dec, 2023",66.67 - 534 sq.yd.,"Oct, 2021",206 units,25 Acres,16.86 K -30 K/sq.yd,"Residential Plot, Studio, 2, 4 BHK Studio Apartment,Villas"
r413802,Akshar Avadh Elite,https://housing.com/buy-akshar-avadh-elite-by-akshar-builders-in-ambad-village-nashik-pid-289319,P51600046562,"More Mala, Shalimar, Nashik",Price on Request,ByAkshar Builders,"Closed Car Parking, 24X7 Water Supply, Sub-Station, Street Lighting, Open Parking, Receiving Station, Internal Roads & Footpaths, Water Conservation, Rain water Harvesting, Footpaths/Pedestrian, Electrical meter Room, Sewage Treatment Plant","Sep, 2026",962 - 1738 sq.ft.,"Jul, 2023",226 units,2.3 Acres (50% open),7.7 K/sq.ft,"2, 3 BHK Villaments"
r403366,DS Max Samyak,https://housing.com/in/buy/projects/page/294242-ds-max-samyak-by-dsmax-properties-private-limited-in-kengeri,PRM/KA/RERA/1251/310/PR/150223/005721,"Bheemana kuppe village, Kengeri Hobli, Bangalore West , Bangalore",45.24 L - 90.6 L,ByDS-MAX Properties Private Limited,"Sauna Bath, Reflexology Park, Swimming Pool, Fire Sprinklers, Table Tennis, Gymnasium, 24X7 Water Supply, Car Parking, Jogging Track, Senior Citizen Siteout, Gated Community","Sep, 2028",1330 - 2385 sq.ft.,"Mar, 2024",8 Buildings - 1208 units,10.65 Acres (65% open),4.9 K/sq.ft,"2, 3 BHK Apartments"
