XID,Name,URL,RERA,Address,Price,Builder,Amenities,Possession Status,Sizes,Launch Date,Project Size,Project Area,Avg. Price,Configurations
r371903,Unique Shantam Nirvanta,https://housing.com/buy-unique-shantam-nirvanta-by-unique-vision-in-chhani-vadodara-pid-254616,PR/GJ/VADODARA/VADODARA/Others/RAA07711/261120,"Nr. Neelam Party Plot ,bh. Aditya Edifice, Chhani Side Canal Road, Channi, Vadodara",Price on Request,ByUnique Vision,"Children's Play Area, Security Cabin, Letter Box, Party Hall, Lift(s), Landscaping & Tree Planting, Water Storage, RO Water System, 24x7 CCTV Surveillance, Gymnasium, Car Parking","Oct, 2024",1280 - 2255 sq.ft.,"Jun, 2021",5 Buildings - 678 units,6.15 Acres,8.7 K/sq.ft,"2, 3 BHK Apartments"
r428296,SS Blueroof Sylva,https://housing.com/in/buy/projects/page/321515-ss-blueroof-sylva-by-ss-properties-pashan-in-pashan,P52100056053,"Sus, Sus Road-Pashan, Pune",81.64 L - 95.69 L,BySS Properties Pashan,"Solid Waste Management And Disposal, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Fire Fighting System, Closed Car Parking, Car Parking, 24X7 Water Supply, Street Lighting, Storm Water Drains, Internal Roads & Footpaths, Energy management","Apr, 2028",675 - 1685 sq.ft.,"Jun, 2022",14 Buildings - 1050 units,9.12 Acres (70% open),9 K/sq.ft,"1, 2, 3 BHK Apartments"
r410631,M3M The Cullinan,https://housing.com/in/buy/projects/page/300535-m3m-the-cullinan-by-m3m-india-pvt-ltd-in-sector-94,UPRERAPRJ442214,"Sector 94, Noida-Greater Noida Expressway, Noida",8.7 Cr - 15.78 Cr,ByM3M India Pvt. Ltd.,"Cricket Pitch, Skating Rink, Vastu Compliant, Fountains, Fire Sprinklers, Letter Box, Grade A Building, Table Tennis, Mini Theatre, Kid's Pool, 24X7 Water Supply","Dec, 2028",101.78 - 141.44 sq.yd.,"Dec, 2023",5 Buildings - 163 units,1.25 Acres,77.78 K -84.49 K/sq.yd,3 BHK Apartment
r382676,Greenfield Fairland Phase 2,https://housing.com/buy-greenfield-fairland-phase-2-by-greenfield-housing-india-pvt-ltd-in-kovilpalayam-coimbatore-pid-288332,Rera Id Not Available,"Kovilpalayam, Coimbatore",14.88 L - 81.42 L,ByGreenfield Housing India Pvt Ltd,"Children's Play Area, Entrance Lobby, Solar Lighting, Street Lighting, Indoor Games, Landscaping & Tree Planting, Internal Roads & Footpaths, 24x7 Security, Gymnasium","Aug, 2029",3800 - 3956 sq.ft.,"Aug, 2022",5 Buildings - 1008 units,28 Acres (70% open),21.5 K/sq.ft,4 BHK Apartment
r419462,Laxmi Fresh Living,https://housing.com/buy-laxmi-fresh-living-by-laxmi-infra-venture-pvt-ltd-in-phulnakhara-bhubaneswar-pid-311361,MP/07/2023/01067,"Opposite to Decathlon, Phulnakhara, Twin City, Bhubaneswar",1.08 Cr - 1.77 Cr,ByLaxmi Infra Venture Pvt Ltd,"Waiting Lounge, Cricket Pitch, Volleyball Court, Sun Bathing, Spa, Swimming Pool, Skating Rink, Landscaping & Tree Planting, Mini Theatre, Footpaths/Pedestrian, Gymnasium","Dec, 2027",632 - 1187 sq.ft.,"Dec, 2021",9 Buildings - 1710 units,45 Acres (70% open),10.29 K/sq.ft,"2, 3 BHK Apartments"
r431523,Nakshathras VR Garden,https://housing.com/buy-nakshathras-vr-garden-by-nakshathras-promoters-and-devlopers-in-karamadai-coimbatore-pid-328841,Rera Not Applicable,"Teachers Colony, Karamadai, Coimbatore",31.55 L - 63.69 L,ByNakshathras Promoters and Devlopers,"Children's Play Area, Street Lighting, Gated Community, Paved Compound, Landscaping & Tree Planting, Internal Roads & Footpaths, Water Conservation, Rain water Harvesting, Rain Water Harvesting",Ready to Move,699 - 2000 sq.ft.,"Feb, 2024",49 units,2 Acres,4.7 K/sq.ft,Residential Plots
r420711,Radha Rani Housing Complex,https://housing.com/buy-radha-rani-housing-complex-by-adross-pvt-ltd-in-madhyamgram-kolkata-pid-304320,WBRERA/P/NOR/2023/000811,"Hemanta Bose Sarani, Basunagar 5 No Gate, Madhyamgram, Kolkata",35.82 L - 56.76 L,ByAdross Pvt Ltd,"Children's Play Area, Yoga / Meditation Area, Changing Room, Recreation Facilities, Swimming Pool, Fire Sprinklers, Vastu Compliant, Lift(s), 24x7 CCTV Surveillance, Gymnasium, Fire Fighting System",Ready to Move,1385 - 1919 sq.ft.,"May, 2019",6 Buildings - 552 units,7.8 Acres,6.22 K/sq.ft,"2, 2.5, 3 BHK Apartments"
r423636,Vandematram Sky 100,https://housing.com/buy-vandematram-sky-100-by-vandematram-infra-in-thaltej-ahmedabad-pid-318667,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12948/170224/310127,"Nr Newyork Tower, Thaltej Cross Road, Daskroi, Thaltej, South West, Ahmedabad",1.85 Cr,ByVandematram Infra,"Children's Play Area, Solid Waste Management And Disposal, Lift(s), Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, 24x7 CCTV Surveillance, Fire Fighting System, Car Parking, 24X7 Water Supply, Senior Citizen Siteout, Street Lighting",Ready to Move,1905 sq.ft.,"Oct, 2020",1 Building - 393 units,2.85 Acres (78% open),7.8 K/sq.ft,3 BHK Apartment
r378115,Hallmark Skyrena,https://housing.com/in/buy/projects/page/263433-hallmark-skyrena-by-hallmark-builders-in-narsingi,P02400003042,"Narsingi, West Hyderabad, Hyderabad",1.11 Cr - 1.96 Cr,ByHallmark Builders,"Amphitheater, Cricket Pitch, Tennis Court, Swimming Pool, Fire Sprinklers, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Fire Fighting System, Gymnasium, Flower Garden, Electrification(Transformer, Solar Energy etc)","Mar, 2028",1006 - 3060 sq.ft.,"Jul, 2024",,,2.94 K/sq.ft,"2, 3, 4 BHK Villas"
r394931,Raj High Gardens,https://housing.com/in/buy/projects/page/279147-raj-high-gardens-by-snn-raj-corp-in-electronic-city,PRM/KA/RERA/1251/308/PR/140622/004983,"Attibele Hobli, Anekal Taluk, Hosur Road, Anekal, South Bangalore, Bangalore",60.75 L - 1.52 Cr,BySNN Raj Corp,"Amphitheater, Cricket Pitch, Spa, Skating Rink, Fire Sprinklers, Table Tennis, Fire Escape Staircases, Kid's Pool, Water Softner Plant, 24X7 Water Supply, Car Parking","Dec, 2024",1043 - 1290 sq.ft.,"Jan, 2023",3 Buildings - 172 units,1.5 Acres,3.69 K/sq.ft,"2, 3 BHK Apartments"
r426534,Mount Brook And Lake,https://housing.com/buy-mount-brook-and-lake-by-mount-group-in-vaishno-devi-circle-ahmedabad-pid-320459,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA13395/250424/311228,"B/H Nirma University, Tragad, SG Highway, Gota, North West, Ahmedabad",86.0 L - 1.1 Cr,ByMount Group,"Children's Play Area, Yoga / Meditation Area, Vastu Compliant, Fire Sprinklers, Landscaping & Tree Planting, Lift(s), 24x7 CCTV Surveillance, Gymnasium, 24X7 Water Supply, Multipurpose Hall, Senior Citizen Siteout","Dec, 2024",976 - 1214 sq.ft.,"Dec, 2022",1 Building - 21 units,,4.5 K/sq.ft,"2, 3 BHK Apartments"
r404070,DLF The Arbour,https://housing.com/in/buy/projects/page/292692-dlf-the-arbour-by-dlf-in-sector-63,RERA-GRG-PROJ-1138-2022,"Sector 63, Golf Course Extension Road, Gurgaon",8.17 Cr - 8.51 Cr,ByDLF,"Internet / Wi-Fi, Fire Alarm, Swimming Pool, Lift(s), Creche/Day Care, Fire Fighting System, Car Parking, 24X7 Water Supply, Gated Community, Shopping Mall, Solar Water Heating",Under Construction,1795 - 2215 sq.ft.,"Jan, 2024",30 units,2 Acres,10.76 K/sq.ft,3 BHK Villa
r382236,Merlin Rise,https://housing.com/buy-merlin-rise-by-merlin-group-in-rajarhat-kolkata-pid-267126,WBRERA/P/NOR/2023/000296,"Bishnupur, P.O & P.S Rajarhat, Kolkata",65.0 L - 1.22 Cr,ByMerlin Group,"Organic Farming, Volleyball Court, Cricket Pitch, Changing Room, Gazebo, Spa, Skating Rink, Fountains, Table Tennis, Mini Theatre, Kid's Pool","Nov, 2024",930 - 1434 sq.ft.,"Jan, 2023",1 Building - 20 units,,9.51 K/sq.ft,"2, 3 BHK Apartments"
r424573,Felixa Maplewood,https://housing.com/in/buy/projects/page/318815-felixa-maplewood-by-felixa-builder-pvt-ltd-in-thazhambur,TN/35/Layout/1471/2024 dated 28.03.2024,"Thazhambur Village, Vandalur, Navallur, Chennai south, Chennai",32.85 L - 93.98 L,ByFelixa Builder Pvt Ltd,"Children's Play Area, School, 24X7 Water Supply, Street Lighting, Gated Community, Shopping Mall, Landscaping & Tree Planting, Internal Roads & Footpaths, Hospital, Footpaths/Pedestrian, 24x7 Security","Jun, 2026",120 - 171 sq.yd.,"Nov, 2023",4 Buildings - 156 units,0.89 Acres,Price on request,"2, 3 BHK Apartments"
r376848,Utkal Greenex,https://housing.com/buy-utkal-greenex-by-amj-global-homes-llp-in-sundarpada-bhubaneswar-pid-268235,RP/19/2021/00464,"Plot No. - 720, Near Canara Bank, Ebaranga, Sundarapada, Bhubaneswar",85.14 L - 1.21 Cr,ByAMJ Global Homes LLP,"Children's Play Area, Car Parking, 24X7 Water Supply, Gated Community, Fountains, Lift(s), 24x7 CCTV Surveillance, Party Lawn, Infinity Pool, Gymnasium, Sun Deck","May, 2028",2364 - 4613 sq.ft.,"Jul, 2023",3 Buildings - 216 units,10 Acres (80% open),43.26 K - 64.02 K/sq.ft,"4, 5 BHK Apartments"
r371092,ASBL Spire,https://housing.com/in/buy/projects/page/251100-asbl-spire-by-ashoka-builders-india-private-limited-in-kokapet,P02400002261,"Kokapet Village, Gandipet Mandal, West Hyderabad, Hyderabad",1.5 Cr,ByAshoka Builders India Private Limited,"Waiting Lounge, Amphitheater, Gazebo, Swimming Pool, Landscaping & Tree Planting, Table Tennis, Mini Theatre, Gymnasium, Fire Fighting System, Water Softner Plant, Car Parking",Ready to Move,752 - 1172 sq.ft.,"Sep, 2014",6 Buildings - 320 units,3 Acres,24.96 K/sq.ft,"2, 3 BHK Apartments"
r428869,Anaadi Ananta Avenue Phase 1,https://housing.com/in/buy/projects/page/338058-anaadi-ananta-avenue-phase-1-by-amrit-builders-and-developers-in-vidhan-sabha-road,PCGRERA110624001783,"Vidhan Sabha Road, Raipur",29.5 L - 89.99 L,ByAmrit Builders And Developers,"Children's Play Area, Yoga / Meditation Area, Gazebo, Swimming Pool, Fountains, 24x7 CCTV Surveillance, Gymnasium, Car Parking, 24X7 Water Supply, Gated Community, Rain Water Harvesting","Jan, 2030",1084 - 2244 sq.ft.,"Jul, 2024",,,25.42 K/sq.ft,"3, 4 BHK Apartments"
r408244,Millennium Towers,https://housing.com/buy-millennium-towers-by-sagar-constructions-in-shiv-krupa-nagar-nashik-pid-294122,P51600048892,"Amrutdham, Panchavati, Nashik",38.5 L - 47.7 L,BySagar Constructions,"Security Cabin, Yoga / Meditation Area, Swimming Pool, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Footpaths/Pedestrian, 24x7 CCTV Surveillance, Gymnasium, Fire Fighting System, Closed Car Parking, 24X7 Water Supply","Jan, 2027",4813 - 8062 sq.ft.,"Nov, 2023",41 units,4.9 Acres,18.57 K/sq.ft,"4, 5 BHK Villas"
r405483,Pratham,https://housing.com/buy-pratham-by-almadina-realty-llp-in-nayabad-kolkata-pid-289623,RERA ID Not Available,"Nayabad, South Kolkata, Kolkata",43.92 L - 54.63 L,ByAL-MADINA REALTY LLP.,"Children's Play Area, Entrance Lobby, Closed Car Parking, 24X7 Water Supply, Lift(s), Terrace Garden, 24x7 Security, 24x7 CCTV Surveillance, Intercom","Mar, 2022",1239 - 1586 sq.ft.,"Oct, 2017",3 Buildings - 278 units,3 Acres (80% open),8.89 K/sq.ft,"2, 3 BHK Apartments"
r423305,House Of Palisade,https://housing.com/in/buy/projects/page/310399-house-of-palisade-by-dac-developers-in-pallikaranai,TN/29/Layout/4130/2023 dated 07/11/2023,"S Nos.229/4a, 4b, 4c & 5a Of Jaganathapuram, Chennai south, Chennai",1.94 Cr - 2.38 Cr,ByDAC Developers,"Internet / Wi-Fi, Changing Room, Basketball Court, Swimming Pool, Indoor Games, Kid's Pool, Foosball, Gymnasium, Club House",Under Construction,973 - 1324 sq.ft.,"Jan, 2023",1 Building - 35 units,,7.2 K/sq.ft,"2, 3 BHK Apartments"
r436831,MC Palazzo,https://housing.com/in/buy/projects/page/329897-mc-palazzo-by-mc-builders-in-banaswadi,Rera Not Applicable,"Banaswadi Main Road, Banaswadi, Bangalore",88.4 L - 1.36 Cr,ByMC Builders,"Solid Waste Management And Disposal, Vastu Compliant, Lift(s), Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, 24x7 CCTV Surveillance, Electrification(Transformer, Solar Energy etc), Car Parking, 24X7 Water Supply, Street Lighting, Gated Community",Ready to Move,84 - 600 sq.yd.,"Jul, 2008",,,32.15 K - 58.34 K/sq.yd,"Residential Plot, 1, 2, 3, 4, 5 BHK Villas"
r424564,Atithi Prime,https://housing.com/buy-atithi-prime-by-atithi-builders-in-narolgam-ahmedabad-pid-317132,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA12908/120224/311227,"Opp. Karnavati-6, Beside Parijat Aamra, Puja Farm to 100 ft Road, Narol, South East, Ahmedabad",29.0 L - 42.75 L,ByATITHI BUILDERS,"Children's Play Area, 24X7 Water Supply, Closed Car Parking, Jogging Track, Senior Citizen Siteout, Fire Sprinklers, Lift(s), Landscaping & Tree Planting, 24x7 CCTV Surveillance, Club House","Dec, 2026",606 - 1240 sq.ft.,,128 units,1.13 Acres,3.96 K/sq.ft,"2, 3 BHK Apartments"
r410958,Max Estate 128,https://housing.com/in/buy/projects/page/300918-max-estate-128-by-max-estates-in-sector-128,UPRERAPRJ446459,"Sector 128, Noida-Greater Noida Expressway, Noida",10.23 Cr - 29.53 Cr,ByMax Estates,"Amphitheater, Reflexology Park, Spa, Swimming Pool, Landscaping & Tree Planting, Fire Fighting System, Gymnasium, Flower Garden, 24X7 Water Supply, Jogging Track, Street Lighting","Jul, 2030",592 - 1032 sq.ft.,"Jan, 2023",4 Buildings - 406 units,1.5 Acres,14.89 K/sq.ft,"2, 3 BHK Apartments"
