XID,Name,Name_Score,Builder,Builder_Score,Address,Address_Score,Possession Status,Possession Status_Score,RERA,RERA_Score
r259309,Suraj Oranje Castle,81,BySuraj Infra Ventures Pvt Ltd,78,"99acres: Gomti Nagar Extension | Housing: Sector 7, Gomti Nagar, Amar Shaheed Path	, Lucknow",45,99acres: READY_TO_MOVE | Housing: nan,0,UPRERAPRJ6917 & UPRERAPRJ9181,100
r428587,One Square,69,ByRoofvest Real Estate LLP,94,"Sholinganallur, Chennai south, Chennai",54,99acres: UNDER_CONSTRUCTION | Housing: nan,0,,100
r426162,Chandak Highscape City 1A,94,ByChandak Group,93,"99acres: Chembur | Housing: CTS No. 200 (Part) Chembur, Mumbai Harbour, Mumbai",25,99acres: NEW_LAUNCH | Housing: nan,0,99acres: Registered | Housing: nan,0
r425849,Bhima Vishaka,100,ByBhima Properties,94,"99acres: Madaragalli | Housing: Survey No112/2, 113, Madaragalli, Mysore",43,99acres: READY_TO_MOVE | Housing: nan,0,PRM/KA/RERA/1268/378/PR/060424/006776,100
r397857,The Nest Craft,83,ByThe Nest Builder,91,"Sholinganallur, Chennai south, Chennai",54,99acres: UNDER_CONSTRUCTION | Housing: nan,0,TN/01/Building/0144/2023,100
r428721,Adore The Legend 3,100,ByAdore Propbuild Llp,62,"99acres: Tigaon | Housing: Sector 104, Faridabad",22,99acres: NEW_LAUNCH | Housing: nan,0,HRERA-PKL-FBD-595-2024,100
r432599,VRSA The Ultima Heights,89,99acres: Arena Property | Housing: ByVRSA Homes,38,"Hazipur, Sector 104, Noida",50,99acres: UNDER_CONSTRUCTION | Housing: nan,0,,100
r409762,Infinity Icon,100,ByInfinity Group,52,"99acres: Panvel | Housing: Shedung, Panvel, Navi Mumbai",35,99acres: UNDER_CONSTRUCTION | Housing: nan,0,99acres: Registered | Housing: nan,0
r394309,K Shire Wing A B C D,52,99acres: Tayal Corp | Housing: ByThe Unique Spaces,21,"99acres: Punawale | Housing: S. No. 13/1/1, 13/1/2, 13/2, Punawale, Pimpri Chinchwad, Pune",23,99acres: UNDER_CONSTRUCTION | Housing: nan,0,P52100046102,100
r429659,Purvanchal Royal Atlantis Phase 1,86,ByPurvanchal Projects Pvt. Ltd.,76,"99acres: Sultanpur Road | Housing: Plot No. F-7, Gomti Nagar Extension, Amar Shaheed Path	, Lucknow",21,99acres: NEW_LAUNCH | Housing: nan,0,99acres: Registered | Housing: nan,0
r367601,99acres: RNG Homes | Housing: Residential Plot,32,,100,"Patanjali Yogpeeth, Haridwar",78,99acres: READY_TO_MOVE | Housing: nan,0,,100
r378133,Smart World Gems,100,BySmartworld Developers,95,"99acres: Sector 89 | Housing: Sector 89, New Gurgaon, Gurgaon",45,99acres: UNDER_CONSTRUCTION | Housing: nan,0,GGM/502/234/2021/70,100
r427043,CasaGrand French Town,100,99acres: Casagrand | Housing: ByCasagrand Builder Private Limited,41,"99acres: Medavakkam | Housing: Kovilancheri, Medavakkam, Chennai south, Chennai",34,99acres: UNDER_CONSTRUCTION | Housing: nan,0,TN/16/Building/0337/2024 dated 18/04/2024,100
r405130,Pranathi Kiara,97,ByPranathi Constructions,96,"99acres: Tellapur | Housing: Tellapur, West Hyderabad, Hyderabad",37,99acres: UNDER_CONSTRUCTION | Housing: nan,0,P01100005770,100
r413330,Nutech Inscape,100,99acres: Nu Tech Associates | Housing: ByNutech Projects Realty Ltd,48,"99acres: Kolapakkam | Housing: Kolapakkam, Chennai south, Chennai",45,99acres: READY_TO_MOVE | Housing: nan,0,TN/01/Layout/9471/2022,100
r396805,Prestige Glenbrook,100,99acres: Prestige Group | Housing: ByPrestige Estates Projects Ltd.,48,"99acres: Whitefield | Housing: White Field, Krishnarajapura, Bangalore East , Bangalore",30,99acres: UNDER_CONSTRUCTION | Housing: nan,0,99acres: Registered | Housing: nan,0
r381282,ASBL Springs,100,99acres: ASBL | Housing: ByAshoka Builders India Private Limited,19,"99acres: Pocharam | Housing: Pocharam, East Hyderabad, Hyderabad",37,99acres: READY_TO_MOVE | Housing: nan,0,P02200002897,100
r433993,Kaanha Homes,69,ByKaanha Associates,94,"99acres: Uttam Nagar | Housing: Uttam Nagar West, South West Delhi, New Delhi",39,99acres: READY_TO_MOVE | Housing: nan,0,,100
r408351,Nirman Sahvas,100,BySahvas Construction LLP,96,"99acres: Adalaj | Housing: Adalaj, Gandhinagar",48,99acres: UNDER_CONSTRUCTION | Housing: nan,0,99acres: Registered | Housing: nan,0
r428776,Shriram Subham,100,ByShriram Properties,78,"99acres: Valarpuram | Housing: 15 mins from Thirumazhisai, Valarpuram, Chennai west, Chennai",28,99acres: UNDER_CONSTRUCTION | Housing: nan,0,,100
r430237,Vrindavan,58,ByNamishree Infrastructure And Project Pvt Ltd,95,"99acres: Kondapur | Housing: Kondapur Village, Serilingampally Mandal, Ranga Reddy District, Telangana, North Hyderabad, Hyderabad",15,99acres: NEW_LAUNCH | Housing: nan,0,99acres: Registered | Housing: nan,0
r433885,99acres: Subhaga by J Group | Housing: Joshita Sukrithi Subhaga,33,ByJ Group,88,"99acres: Nandikandi | Housing: Sangareddy, Nandikandi, North Hyderabad, Hyderabad",33,99acres: NEW_LAUNCH | Housing: nan,0,99acres: Registered | Housing: nan,0
r252701,Apex Landmark,100,ByApex Realty,92,"99acres: Dronagiri | Housing: Plot No. 1, Sectore 53, Dronagiri, Navi Mumbai",33,99acres: READY_TO_MOVE | Housing: nan,0,99acres: Registered | Housing: nan,0
r404540,Urbanyx Court,100,ByUrbanyx Infra Private Limited,59,"99acres: Khandagiri | Housing: 7Q2R+M36, Dumduma, Khandagiri, Bhubaneswar",38,99acres: UNDER_CONSTRUCTION | Housing: nan,0,RP/19/2023/00871,100
r398540,Roongta Preciso,100,ByLalit Roongta Group,95,"Gangapur, Nashik",67,99acres: UNDER_CONSTRUCTION | Housing: nan,0,99acres: Registered | Housing: nan,0
r427572,Lucky Dream Towers,76,ByLucky Group,52,"99acres: Argora | Housing: Pundag, Ranchi",40,99acres: UNDER_CONSTRUCTION | Housing: nan,0,99acres: Registered | Housing: nan,0
r413443,Fairland Township,100,99acres: Greenfield Housing India | Housing: ByFairland Township,37,"Samayanallur, Madurai",73,99acres: READY_TO_MOVE | Housing: nan,0,,100
r269367,Kalpataru Jade Residences A,96,ByKalpataru Group,69,"99acres: Baner | Housing: S No 12, Near Pan Card Club, Baner, Pune",22,99acres: READY_TO_MOVE | Housing: nan,0,99acres: Registered | Housing: nan,0
r725,Rustomjee Crown Phase 2,79,ByRustomjee Builders,62,"99acres: Prabhadevi | Housing: FP No. 1043/Plot B, Ward G South, Prabhadevi, Mumbai South , Mumbai",26,99acres: READY_TO_MOVE | Housing: nan,0,P51900006367,100
r416246,G R Parth Palace A,88,99acres: Parth Sarthi Group | Housing: ByG R Homes,28,"99acres: Mansarovar | Housing: Sanganer, NH - 8 Jaipur, Jaipur",29,99acres: READY_TO_MOVE | Housing: nan,0,99acres: Registered | Housing: nan,0
r423386,Chitrapatjanak Dadasaheb Phalke Township Phase 1A,100,ByAnukarati Homes Pvt Ltd,75,"99acres: Shelu | Housing: Plot No. 104/1, Shelu, Beyond Thane, Thane",21,99acres: UNDER_CONSTRUCTION | Housing: nan,0,99acres: Registered | Housing: nan,0
r429968,TVS Isle Of Trees,100,ByTVS Emerald Haven Realty,59,"99acres: Hebbal | Housing: Rachenahalli, Thanisandra, North Bangalore, Bangalore",20,99acres: NEW_LAUNCH | Housing: nan,0,PRM/KA/RERA/1251/446/PR/150724/006941,100
r383662,Primark Eco Nest,100,ByPrimark Developers,61,"99acres: Kompally | Housing: Sy No 509, Opposite To Apparel Export Park, Gundlapochampally, Kompally, North Hyderabad, Hyderabad",15,99acres: UNDER_CONSTRUCTION | Housing: nan,0,99acres: Registered | Housing: nan,0
r257887,Trimurty The Future City,77,99acres: Trimurty Colonizers and Builders and UKM Group | Housing: ByTrimurty Group,45,"99acres: RIICO Industrial Area | Housing: Amarpura, 50/2 Rampura, Near Mandor, Jaipur",28,99acres: READY_TO_MOVE | Housing: nan,0,99acres: Registered | Housing: nan,0
r432448,Arkade Rare,100,99acres: Arkade | Housing: ByArkade Developers,48,"99acres: Bhandup West | Housing: Arkade Rare, Samriddhi Gdn Rd, Off LBS Road, Jaydev Singh Nagar, Bhandup West, Central Mumbai Suburbs, Mumbai",20,99acres: UNDER_CONSTRUCTION | Housing: nan,0,99acres: Registered | Housing: nan,0
r433299,Costa Furtune,65,BySai Harmony Pvt Ltd,69,"99acres: Kantabada | Housing: Ghangapatna, Bhubaneswar",42,99acres: NEW_LAUNCH | Housing: nan,0,99acres: Registered | Housing: nan,0
r500,Pragnya Eden Park Phase II,79,ByPragnya,56,"99acres: OMR | Housing: S Nos.90/3A1A, 90/3A1B part of Siruseri, Chennai south, Chennai",6,99acres: READY_TO_MOVE | Housing: nan,0,TN/01/Building/0318/2023,100
