reg_no,Project_Name,Promoter_Name,Do you have any Past Experience ?,district,street,locality,state,mandal,Village/City/Town,Proposed Date of Completion,Revised_Proposed Date of Completion,Pin Code,Project Type,Total Area(In sqmts),Total Building Units (as per approved plan)
P02400000545,KAVURIS FOREST NEST,KAVURI HILLS DEVELOPERS PRIVATE LIMITED,No,Ranga Reddy,PHASE 2,KAVURI HILLS,Telangana,Serilingampally,Guttala begumPet,21/01/2021,21/01/2021,501359,Plotted Development,200957.27,
P02400000533,Vishal Sanjivini,Vishal Projects Pvt Ltd,Yes,Ranga Reddy,Srisailam Highway,Tukkuguda,Telangana,Maheshwaram,Srinagar,30/11/2024,30/11/2024,501359,Residential,141635,323
P02400000452,TRENDSET JAYABHERI ELEVATE / TRENDSET JAYABHERI CONNECT,TRENDSET JAYABHERI PROJECTS LLP,No,Ranga Reddy,GACHIBOWLI,GACHIBOWLI,Telangana,Serilingampally,Gachi Bowli,08/05/2023,08/05/2023,500084,Mixed Development (Residential & Commercial),49272.14,7
P02400000379,"NCC URBAN ONE - BLOCK 6, BLOCK 12, BLOCK 8",VARAPRADHA REAL ESTATES PRIVATE LIMITED,No,Hyderabad,MADHAPUR,MADHAPUR,Telangana,,,29/11/2023,29/11/2023,500075,Residential,132634.61,3
P02400000354,Manbhum Around the Grove,MANBHUM CONSTRUCTION COMPANY PRIVATE LIMITED,Yes,Hyderabad,BANJARA HILLS,ROAD NO. 14,Telangana,,,31/01/2022,31/01/2022,500084,Residential,10741.39,1
P02400000281,MY HOME MANGALA,MY Home Constructions PVT. Ltd.,Yes,Hyderabad,biodiversity X road,Madhapur,Telangana,,,19/01/2025,,500084,Residential,82239.82,11
P02400000206,RAGHAVENDRAS MIRRA PANCHAJANYA,Raghavendra Neelima Constructions,No,Hyderabad,Himayatnagar,Himayatnagar,Telangana,,,26/05/2024,26/05/2024,500049,Residential,15855.31,5
P02400000195,"SMR VINAY ICONIA, PHASE-II, BLOCK-2 is named as LOGAN and BLOCK-3 is named as HAMILTON",SMR BUILDERS PRIVATE LIMITED,Yes,Hyderabad,NAGARJUNA HILLS,PUNJAGUTTA,Telangana,KHAIRTABAD,PUNJAGUTTA,23/04/2024,,500084,Residential,48419.41,2
P02400000162,GEM NAKSHATHRA,GEM VIVENDAS PRIVATE LIMITED,No,Hyderabad,KONDAPUR MAIN ROAD,KONAPUR,Telangana,,,05/04/2024,,500075,Residential,8498.45,1
P02400000159,MAYFAIR BHEL,GREENMARK PROPERTIES,No,Hyderabad,HI-TECH CITY,Madhapur,Telangana,,,31/05/2024,31/05/2024,501203,Residential,282114.04,678
P02400000143,SHANTA SRIRAM BROOKWOODS,SHANTA SRIRAM CONSTRUCTIONS PVT LTD,Yes,Hyderabad,SOMAJIGUDA,BEGUMPET,Telangana,KHAIRTABAD,SOMAJIGUDA,30/12/2027,,500030,Residential,22475,57
P02400000131,Aakriti Miro A Block,AAKRITI CONSTRUCTIONS AND DEVELOPERS PRIVATE LIMITED,Yes,Hyderabad,ROAD NO 36,JUBILEE HILLS,Telangana,Shaikpet,VENKATGIRI I,11/11/2023,11/11/2023,500019,Residential,14285.27,1
P02400000069,"SMR VINAY ICONIA, PHASE-II, BLOCK-1A, BLOCK-1B AND CONVENIENCE SHOPPING CENTER",SMR BUILDERS PRIVATE LIMITED,Yes,Hyderabad,NAGARJUNA HILLS,PUNJAGUTTA,Telangana,KHAIRTABAD,PUNJAGUTTA,08/09/2023,08/09/2023,500084,Mixed Development (Residential & Commercial),44982.12,3
P02400000057,PBEL CITY TOWER L - OPAL,INCOR APPA TWO PROJECTS PRIVATE LIMITED,No,Hyderabad,KAVURI HILLS,MADHAPUR,Telangana,,,05/01/2022,,500091,Residential,96820,1
