reg_no,Project_Name,Promoter_Name,Do you have any Past Experience ?,district,street,locality,state,mandal,Village/City/Town,Proposed Date of Completion,Revised_Proposed Date of Completion,Pin Code,Project Type,Total Area(In sqmts),Total Building Units (as per approved plan)
P02200007723,PRIMARK NORTH WAVE,Primark Developers,Yes,Ranga Reddy,Raghavendra Nagar,Kondapur,Telangana,Serilingampally,,23/11/2028,,500043,Residential,54632.91,14
P02200007609,Jains Central Park East and RNK Capital Park by Jains,JAIN CONSTRUCTIONS,No,Ranga Reddy,IMAGE GARDEN STREET,MADHAPUR,Telangana,Serilingampally,Madhapur,22/12/2028,,500039,Mixed Development (Residential & Commercial),34386.09,5
P02200007434,AKRUTHI SRIVATSA,AKRUTHI CONSTRUCTIONS AND DEVELOPERS,Yes,Medchal-Malkajgiri,KTR COLONY,NIZAMPET MUNICIPALITY,Telangana,Bachupally,Ktr Colony,06/12/2026,,502303,Residential,6466.76,1
P02200007304,LAVISTA,SHIVA SAI CONSTRUCTIONS,No,Medchal-Malkajgiri,Nizampet,Bachupally,Telangana,Bachupally,Nizampet,26/11/2026,,500090,Mixed Development (Residential & Commercial),6144.66,2
P02200007274,MERLION ORCHIDS,MERLION BUILDERS,No,Ranga Reddy,INDRA REDDY ALLWYN COLONY,MIYAPUR,Telangana,Serilingampally,Miyapur,28/07/2026,,500090,Residential,3875.02,1
P02200007212,NSL EAST LUXORIA,NSL SEZ (HYDERABAD) PRIVATE LIMITED,Yes,Medchal-Malkajgiri,Uppal,Uppal,Telangana,Uppal,Uppal,05/10/2029,,500039,Residential,145685.92,6
P02200007134,IRIS,SRINIDHI PROJECTS,No,Medchal-Malkajgiri,NIZAMPET,NIZAMPET,Telangana,,,28/07/2026,,500090,Residential,3913.91,2
P02200007121,GREEN WOODS,PRAGATHI DEVELOPERS,No,Medchal-Malkajgiri,Pragathi Nagar,Bachupally,Telangana,Bachupally,Bachupally,20/06/2028,,500043,Residential,15560.55,4
P02200007044,BHUVI BY VASAVI BUILDOX,VASAVI BUILDOX LLP,No,Hyderabad,Banjara Hills Road 2,Banjara Hills-Khairatabad,Telangana,,,04/09/2028,,501401,Residential,43123.11,10
P02200006908,PRANEETH PBR PRANAV IXORA,VENKATA PRANEETH DEVELOPERS PRIVATE LIMITED,No,Medchal-Malkajgiri,"Shutter No. 9, 2-37/PR/1/B",Praneeth Nagar,Telangana,Bachupally,Mallampet,26/07/2028,,500072,Residential,35309.82,5
P02200006900,SANJEEVA RAO SERENE COUNTY,ARMAANSHACHIDEVELOPERS,No,Hyderabad,3rd Floor,Ameerpet,Telangana,AMEERPET,,14/12/2025,,500062,Plotted Development,6954.29,
P02200006843,SUNSHINE GREEN MEADOWS,SUNSHINE INFRA PRIVATE LIMITED,No,Hyderabad,SAI RAM NILAYAM,"AYAPPA SOCIETY, MADHAPUR",Telangana,,,27/02/2029,,500043,Residential,11078.58,5
P02200006766,VASAVI SAROVAR,M/s VASAVI GROUP LLP,No,Hyderabad,ROAD NO 12,BANJARA HILLS,Telangana,,,09/08/2028,,500072,Residential,81745.14,11
P02200006615,APARNA SYNERGY,APARNA CONSTRUCTIONS AND ESTATES PVT LTD,Yes,Hyderabad,ROAD NO 1,BANJARA HILLS,Telangana,KHAIRTABAD,PUNJAGUTTA,25/06/2028,,500014,Residential,117965.13,15
P02200006565,AKRUTHI STAVYA,AKRUTHI CONSTRUCTION AND DEVELOPERS PVT LTD,Yes,Medchal-Malkajgiri,ROAD NO-5,NIZAMPET,Telangana,Bachupally,Ktr Colony,26/10/2025,,500090,Residential,4076.55,1
P02200006119,GREEN SCAPES,AKSARA CONSTRUCTIONS AND OTHERS,No,Ranga Reddy,Durgham Cheruvu,Madhapur,Telangana,Serilingampally,Madhapur,30/04/2028,,500043,Residential,120720.75,328
P02200005976,NIRMAL EMERALD,NIRMAL SHELTERS P LTD,No,Hyderabad,PALACE TALKIES ROAD,ABIDS,Telangana,KHAIRTABAD,,29/12/2025,,500087,Residential,520.38,1
P02200005924,METRO TRANQUIL,THE METRO ESTATES,No,Hyderabad,VASAVI NAGAR,KARKHANA,Telangana,,,01/01/2024,,501401,Plotted Development,6690.62,
P02200005923 ,HONER SIGNATIS,HONER PRIME HOUSING LLP,No,Hyderabad,MADHAPUR,MADHAPUR,Telangana,,,27/02/2029,,500072,Residential,112571.21,20
P02200005742,GREEN GRANDEUR,SRI VENKATESHWARA DEVELOPERS,No,Hyderabad,KALASIGUDA,KALASIGUDA,Telangana,,,16/09/2025,,500055,Residential,5047.01,2
P02200005699,Jains Fairmount Sri Ram Garden 2,JAIN CONSTRUCTIONS,No,Ranga Reddy,IMAGE GARDEN STREET,MADHAPUR,Telangana,Serilingampally,Madhapur,12/12/2028,,500043,Residential,11368.24,3
P02200005562,THE EDGE,RISINIA BUILDERS,No,Hyderabad,ROAD NO 20 ALKAPUR TOWNSHIP NEKNAMPUR,RAJENDRANAGAR,Telangana,,,21/11/2028,,500055,Residential,11471.50,3
P02200005510,NIRMAL PEARL,NIRMAL SHELTERS P LTD,No,Hyderabad,PALACE TALKIES ROAD,ABIDS,Telangana,KHAIRTABAD,,06/12/2025,06/12/2025,500087,Residential,739.32,1
P02200005484,KRISHNA KUNJ CENTRAL COURTYARD,REGALIA SMARTSPACES LLP,No,Medchal-Malkajgiri,KARIMNAGAR HIGHWAY,THUMKUNTA,Telangana,Shamirpet,Thumkunta,31/03/2026,,500055,Residential,7520.61,1
P02200005477,PAVANI FELICITY,SAI SRAVANTHI INFRA PROJECTS PRIVATE LIMITED,No,Hyderabad,Road No 36,Jubilee Hills,Telangana,,,07/10/2028,,500090,Residential,9664.20,1
P02200005385,KRISHNA BAI RESIDENCY,SHIVA KRISHNA CONSTRUCTIONS,No,Medchal-Malkajgiri,SINGAPORE TOWNSHIP ROAD,POCHARAM,Telangana,,,16/07/2025,,500039,Residential,3992.13,1
P02200005325,SUJAY SIERRA,S S K BUILDERS,No,Hyderabad,GOWLIDODDI,RAJENDRA NAGAR,Telangana,,,12/09/2028,,500090,Residential,9510.02,3
P02200005110,OMSREE SKYPARK,OM SREE BUILDERS & DEVELOPERS,No,Medchal-Malkajgiri,GENERAL ROADS,YAPRAL,Telangana,Alwal,Yapral,22/07/2028,,500014,Residential,16187.42,1
P02200005071,MY SPACE II,MAKUTA DEVELOPERS,No,Hyderabad,TELECOMNAGAR,GACHIBOWLI,Telangana,,,29/06/2026,,500090,Residential,24196.47,7
P02200004978,A2A HOMELAND,Mainland Technologies,Yes,Medchal-Malkajgiri,Narsapur highway,Balanagar,Telangana,Kukatpally,Kukatpally,26/07/2028,,500037,Residential,48946.59,9
P02200004883,OMSREE GALLAXY,OM SREE BUILDERS & DEVELOPERS,No,Medchal-Malkajgiri,GENERAL ROADS,YAPRAL,Telangana,Alwal,Yapral,30/06/2027,,500043,Residential,79046.07,20
P02200004882,PRANEETH PRANAV GROVE PARK,VENKATA PRANEETH DEVELOPERS PRIVATE LIMITED,No,Medchal-Malkajgiri,"Shutter No. 9, 2-37/PR/1/B",Praneeth Nagar,Telangana,Bachupally,Mallampet,13/05/2028,,500047,Residential,285301.84,885
P02200004856,GK TRIAD BLOCK B,GKH PROPERTIES PRIVATE LIMITED,No,Medchal-Malkajgiri,GK COLONY,SAINIKPURI,Telangana,Malkajgiri,,25/11/2024,,500087,Residential,724.62,1
P02200004854,GK TRIAD BLOCK C,GKH PROPERTIES PRIVATE LIMITED,No,Medchal-Malkajgiri,GK COLONY,SAINIKPURI,Telangana,Malkajgiri,,25/11/2024,,500087,Residential,724.62,1
P02200004854,GK TRIAD BLOCK C,GKH PROPERTIES PRIVATE LIMITED,No,Medchal-Malkajgiri,GK COLONY,SAINIKPURI,Telangana,Malkajgiri,,25/11/2024,,500087,Residential,724.62,1
P02200004853,GK TRIAD BLOCK A,GKH PROPERTIES PRIVATE LIMITED,No,Medchal-Malkajgiri,GK COLONY,SAINIKPURI,Telangana,Malkajgiri,,09/04/2027,,500087,Residential,724.62,1
P02200004835,ON CLOUD 33,URBANRISE LIFESTYLES PRIVATE LIMITED,Yes,Ranga Reddy,JUBILEE ENCLAVE,MADHAPUR,Telangana,Serilingampally,Madhapur,31/03/2027,,500090,Residential,37050.93,1
P02200004832,PRANEETH PRANAV SOLITAIRE,VENKATA PRANEETH DEVELOPERS PRIVATE LIMITED,No,Medchal-Malkajgiri,"Shutter No. 9, 2-37/PR/1/B",Praneeth Nagar,Telangana,Bachupally,Mallampet,10/02/2028,,500047,Residential,19424.9,5
P02200004637,ADITI GREEN ELITE BLOCK -B,ADITI AVENUES,No,Ranga Reddy,VISHALI NAGAR,MADINA GUDA,Telangana,Serilingampally,Madina Guda,16/03/2028,,500043,Residential,371.43,1
P02200004429,Hivision Heights,Hivision Construction,Yes,Hyderabad,Road No 2,Banjara Hills,Telangana,Shaikpet,,27/08/2027,,500014,Residential,16313.50,2
P02200004333,ADITI GREEN ELITE BLOCK-A,ADITI AVENUES,No,Ranga Reddy,VISHALI NAGAR,MADINA GUDA,Telangana,Serilingampally,Madina Guda,06/01/2025,,500043,Residential,520.16,1
P02200004085,BRIGADE CITADEL - PHASE 4,Brigade Enterprises Limited,Yes,Hyderabad,Erragadda Road,Erragadda,Telangana,BALNAGAR,YERRAGADDA,31/12/2025,,500018,Residential,51596.35,2
P02200003724,ON CLOUD 33,URBANRISE LIFESTYLES PRIVATE LIMITED,Yes,Ranga Reddy,JUBILEE ENCLAVE,MADHAPUR,Telangana,Serilingampally,Madhapur,31/03/2026,,500090,Residential,37050.93,6
P02200003596,SKYON-EXTENSION,RISINIA INFRA DEVELOPERS LLP,No,Medchal-Malkajgiri,BACHUPALLY MAIN ROAD,BACHUPALLY,Telangana,Qutballapur,,30/08/2025,,500090,Residential,22792.88,7
P02200003576,PRIMARK ECO NEST,Primark Developers,Yes,Ranga Reddy,Raghavendra Nagar,Kondapur,Telangana,Serilingampally,,04/10/2027,,500043,Residential,20234.28,5
P02200003432,THE ANANDA,SAHASRAM DEVELOPERS LLP,No,Hyderabad,Road No 03,Banjara Hills,Telangana,Shaikpet,,30/06/2027,,501301,Residential,15519.62,3
P02200003299,STERLING ABODE,SRI VATHSA HOMES PRIVATE LIMITED,No,Medchal-Malkajgiri,Sardar Patel Nagar,Kukatpally,Telangana,Kukatpally,Kukatpally,20/02/2026,,500087,Residential,9118.71,4
P02200003277,ESTEEM,MODI BUILDERS & INFRASTRUCTURES PRIVATE LIMITED,Yes,Hyderabad,ROAD NO 2,BANJARA HILLS,Telangana,,,31/12/2031,,507169,Residential,22551.66,2
P02200003141,GALAXIA,MERLION BUILDERS,No,Hyderabad,KALVARI TEMPLE,MIYAPUR,Telangana,,,25/06/2026,,500090,Residential,8756.77,1
P02200003114,SUBISHI s POLAM LUXURY APARTMENTS,SUBISHI ENGINEERS,No,Hyderabad,SHIVA ENCLAVE,BOWENPALLY,Telangana,,,26/06/2027,,500055,Residential,14588.73,4
P02200003098,KALPAVRIKSHA,GOLDEN KEY DEVELOPERS LLP,No,Hyderabad,OASIS CENTRE,OASIS CENTRE MAIN ROAD,Telangana,,,31/03/2026,,500043,Residential,81240.91,11
P02200003066,Sikhara Tranquil,Sikhara Developers,No,Hyderabad,B.K. Guda,Balkampet,Telangana,AMEERPET,BALKAMPET,01/06/2024,,500051,Residential,19229.65,65
P02200002992,AURIC,DINESH PROJECTS,No,Medchal-Malkajgiri,KUKATPALLY,KUKATPALLY,Telangana,Kukatpally,Kukatpally,01/03/2027,,500090,Residential,8094.71,1
P02200002971,GK RAJ CASA GRANDE,GK RAJ CONSTRUCTIONS,No,Medchal-Malkajgiri,G K COLONY,SANIKPURI,Telangana,Malkajgiri,,02/12/2026,,500087,Residential,23269.23,9
P02200002956,VASAVI METROPOLIS,OUR HOME REALTORS LLP,No,Hyderabad,KRISHE MEADOWS,SRINAGAR COLONY,Telangana,,,17/04/2027,,500039,Residential,8799.98,1
P02200002902,GOTHIC PENTAGON CLOUDS,M/s GOTHIC LIVING SPACES,No,Medchal-Malkajgiri,BACHUPALLI,NIZAMPET,Telangana,Bachupally,Nizampet,27/03/2027,,500090,Residential,16895.70,6
P02200002897,ASBLSPRINGS,ASHOKA BUILDERS INDIA PRIVATE LIMITED,Yes,Ranga Reddy,"PSR Prime Towers,","Gachibowli,",Telangana,Serilingampally,,31/03/2027,,500088,Residential,16643.33,2
P02200002825,OMSREE DELIGHT,OM SREE BUILDERS & DEVELOPERS,No,Medchal-Malkajgiri,GENERAL ROADS,YAPRAL,Telangana,Alwal,Yapral,31/12/2024,,500010,Residential,8726.93,2
P02200002810,SANARELLI,SPEED HOUSING LLP,No,Hyderabad,"RAO & RAJU COLONY ,ROAD NO 2",BANJARA HILLD,Telangana,,,08/12/2026,,500043,Residential,21478.98,6
P02200002680,SERENE PARK,SERENE PARK CONSTRUCTIONS LLP,Yes,Hyderabad,ROAD NO 2,BANJARA HILLS,Telangana,,,31/12/2030,,501301,Residential,16931.36,4
P02200002674,ORIANA,CYBERCITY ORIANA,No,Hyderabad,ROAD NO.36,EXTENDED JUBILEE HILLS,Telangana,,,31/10/2026,,500018,Residential,32384.01,3
P02200002548,BRIGADE CITADEL - PHASE 3,Brigade Enterprises Limited,Yes,Hyderabad,Erragadda Road,Erragadda,Telangana,BALNAGAR,YERRAGADDA,31/12/2025,,500018,Residential,51596.35,2
P02200002514,PRIMARK DE STATURE,Primark Projects Pvt Ltd,Yes,Ranga Reddy,Raghavendra Nagar,Kondapur,Telangana,,,24/12/2026,,500043,Residential,20278.30,6
P02200002392,BRIGADE CITADEL - PHASE 2,Brigade Enterprises Limited,Yes,Hyderabad,Erragadda Road,Erragadda,Telangana,BALNAGAR,YERRAGADDA,31/12/2025,,500018,Residential,51596.35,2
P02200002386,APARNA SERENITY,APARNA CONSTRUCTIONS AND ESTATES PVT LTD,Yes,Hyderabad,ROAD NO 1,BANJARA HILLS,Telangana,KHAIRTABAD,PUNJAGUTTA,02/09/2026,,500055,Residential,90811.94,22
P02200002274,SKYON,RISINIA INFRA DEVELOPERS LLP,No,Medchal-Malkajgiri,BACHUPALLY MAIN ROAD,BACHUPALLY,Telangana,Qutballapur,,06/08/2026,,574071,Residential,22792.88,7
P02200002237,BRIGADE CITADEL - PHASE 1,Brigade Enterprises Limited,Yes,Hyderabad,Erragadda Road,Erragadda,Telangana,BALNAGAR,YERRAGADDA,30/09/2025,,500018,Residential,51596.35,3
P02200002235,OMSREE BRILLIANCE,OM SREE BUILDERS & DEVELOPERS,No,Medchal-Malkajgiri,GENERAL ROADS,YAPRAL,Telangana,Alwal,Yapral,29/04/2024,,500087,Mixed Development (Residential & Commercial),12140,5
P02200002234,Omsree Heights,OM SREE BUILDERS & DEVELOPERS,No,Medchal-Malkajgiri,GENERAL ROADS,YAPRAL,Telangana,Alwal,Yapral,24/06/2026,,500010,Residential,38671.28,10
P02200002202,SHREE KRISHNA HOMES,SHREE KRISHNA HOMES,No,Medchal-Malkajgiri,.,INDIAN,Telangana,Dundigal Gandimaisamma,Kompally-Ncl Colony,15/01/2026,,500014,Residential,16187.37,5
P02200002010,GK S ZENITH,GK INFRA CON,No,Medchal-Malkajgiri,G K COLONY,SAINIKPURI,Telangana,Mahabubabad,,28/01/2026,,500087,Residential,9294.25,4
P02200001887,NIRMAL SAPPHIRE,Harish Chandra Gupta and Sujata Gupta,No,Hyderabad,Chikoti Gardens Lane,Begumpet,Telangana,Secunderabad,BEGUMPET -I,25/02/2025,,500087,Residential,521.05,1
P02200001662,Pallavi Gardenia Block A,PALLAVI DEVELOPERS,Yes,Medchal-Malkajgiri,Malkajgiri,Malkajgiri,Telangana,Malkajgiri,Sanjaye Nagar,02/06/2025,,500068,Residential,3438.88,1
P02200001649,NIRMAL JADE,Harish Chandra Gupta and Sujata Gupta,No,Hyderabad,Chikoti Gardens Lane,Begumpet,Telangana,Secunderabad,BEGUMPET -I,25/02/2025,,500087,Residential,508.33,1
P02200001613,NIRMAL LANDMARK,NIRMAL SHELTERS P LTD,No,Hyderabad,PALACE TALKIES ROAD,ABIDS,Telangana,KHAIRTABAD,,21/11/2025,,500013,Residential,3065.53,1
P02200001493,ELEGANCE,MODI BUILDERS AND REALTORS PRIVATE LIMITED,Yes,Hyderabad,ROAD NO 2,BANJARA HILLS,Telangana,,,31/12/2030,,500055,Residential,21640.21,4
P02200001476,Pallavi Gardenia Block B,PALLAVI DEVELOPERS,Yes,Medchal-Malkajgiri,Malkajgiri,Malkajgiri,Telangana,Malkajgiri,Sanjaye Nagar,10/06/2025,,500068,Residential,3439.27,1
P02200001475,Pallavi Gardenia Block C,PALLAVI DEVELOPERS,Yes,Medchal-Malkajgiri,Malkajgiri,Malkajgiri,Telangana,Malkajgiri,Sanjaye Nagar,10/06/2025,,500068,Residential,3439.03,1
P02200001454,EDIFICE,MODI BUILDERS & INFRASTRUCTURES PRIVATE LIMITED,Yes,Hyderabad,ROAD NO 2,BANJARA HILLS,Telangana,,,31/12/2030,,507169,Residential,20053,2
P02200001232,SITARA A2,JANAPRIYA PROJECTS,No,Hyderabad,Road No.2,Banjara Hills,Telangana,,,20/08/2024,,500062,Residential,51536.02,1
P02200001230,LIG - EWS - F-BLOCK,JANAPRIYA PROJECTS,No,Hyderabad,Road No.2,Banjara Hills,Telangana,,,19/08/2024,19/08/2024,500062,Residential,51536.02,1
P02200001229,SITARA B,JANAPRIYA PROJECTS,No,Hyderabad,Road No.2,Banjara Hills,Telangana,,,19/08/2024,19/08/2024,500062,Residential,51536.02,1
P02200001150,STERLING HEIGHTS,MODI BUILDERS & INFRASTRUCTURES PRIVATE LIMITED,Yes,Hyderabad,ROAD NO 2,BANJARA HILLS,Telangana,,,01/01/2032,,500043,Residential,26590,8
P02200001090,APR PRANAV TOWNSQUARE,VENKATA PRANEETH DEVELOPERS PRIVATE LIMITED,No,Medchal-Malkajgiri,"Shutter No. 9, 2-37/PR/1/B",Praneeth Nagar,Telangana,Bachupally,Mallampet,04/05/2024,,500090,Residential,24281.59,5
P02200000619,RAINBOW VISTA AT ROCK GARDEN - Q BLOCK AND AMENITIES,CYBER HOMES,Yes,Hyderabad,EXTENDED ROAD NO 36,KAVURI HILLS,Telangana,,,31/12/2022,,500072,Residential,89580.61,1
P02200000551,GOLDEN COUNTY ANNEXE,MODI BUILDERS & INFRASTRUCTURES PRIVATE LIMITED,Yes,Hyderabad,ROAD NO 2,BANJARA HILLS,Telangana,,,01/01/2028,,501301,Plotted Development,119113.64,
P02200000517,KAKATIYA DIAMOND COUNTY,Kakatiya Green Avenues LLP,No,Hyderabad,Road No. 2,Banjara Hills,Telangana,,,30/06/2019,30/06/2019,501301,Plotted Development,78408.08,
P02200000369,SITARA A4,JANAPRIYA PROJECTS,No,Hyderabad,Road No.2,Banjara Hills,Telangana,,,19/08/2024,19/08/2024,500062,Residential,51536.02,1
P02200000368,SITARA A1,JANAPRIYA PROJECTS,No,Hyderabad,Road No.2,Banjara Hills,Telangana,,,17/07/2023,17/07/2023,500062,Residential,51536.02,1
P02200000367,SITARA A3,JANAPRIYA PROJECTS,No,Hyderabad,Road No.2,Banjara Hills,Telangana,,,19/08/2024,19/08/2024,500062,Residential,51536.02,1
P02200000242,GOLDEN COUNTY,MODI BUILDERS & INFRASTRUCTURES PRIVATE LIMITED,Yes,Hyderabad,ROAD NO 2,BANJARA HILLS,Telangana,,,01/01/2028,,501301,Plotted Development,44346.7,
P02200000165,VB CITY,VB CITY LLP,No,Hyderabad,KAVURI HILLS,MADHAPUR,Telangana,,,11/12/2024,,500010,Mixed Development (Residential & Commercial),48157.18,17
P02100007171,SAHASRA,JOSHITA INFRA HOUSING LLP & OTHERS,No,Hyderabad,ROAD NO 1,KAKATIYA HILLS,Telangana,Shaikpet,DR AMBEDKAR NAGR,27/05/2025,,501111,Plotted Development,82960.56,
P02100006626,JB S PRIDE,JB INFRA GROUP,No,Ranga Reddy,MADHAPUR ROAD,MADHAPUR,Telangana,Serilingampally,Madhapur,23/05/2028,,501202,Plotted Development,249538,
P02000007161,NISHIJA AKSHITA EASTERN MEADOWS,NISHIJA-AKSHITA INFRA LLP,No,Hyderabad,prashasan nagar,road number 72,Telangana,Shaikpet,SRINAGAR COLONY,22/09/2026,,508126,Plotted Development,392407.30,
"P01400006286
",SIRULASEEMA-2,SWARGA SEEMA SANDAL WOOD FARMS PRIVATE LIMITED,No,Ranga Reddy,GACHIBOWLI ROAD,GACHIBOWLI,Telangana,Serilingampally,Gachi Bowli,16/02/2025,,509202,Plotted Development,128426.98,
P01100008606,RRR WEST FIELDS,SUBHA GRUHA INFRASTRUCTURES PRIVATE LIMITED,No,Hyderabad,AMEERPET MAIN ROAD,AMEERPET,Telangana,AMEERPET,,26/06/2026,,502306,Plotted Development,38698.06,
P01100008195,HIGH9,RS PASURAA TELLAPUR BUILDERS LLP,No,Ranga Reddy,Raidurg,Gachibowli,Telangana,,,24/11/2028,,502300,Residential,60051,11
P01100007996,ANVITA IVANA 2,ANVITA BUILDPRO LLP,No,Ranga Reddy,Near Wells Fargo,Raidurg,Telangana,,,13/12/2028,,502300,Residential,49965,4
P01100007996,ANVITA IVANA 2,ANVITA BUILDPRO LLP,No,Ranga Reddy,Near Wells Fargo,Raidurg,Telangana,,,13/12/2028,,502300,Residential,49965,4
P01100007763,SURABHIs SIGNATURE VILLAS EXTENSION,SURABHI ESTATES PRIVATE LIMITED,No,Hyderabad,"S D ROAD, SECUNDERABAD",SECUNDERABAD,Telangana,,,09/11/2029,,500036,Residential,4653.91,18
P01100007551,FLORESTA,HALLMARK HAMPTON PROJECTS,No,Ranga Reddy,MAIN ROAD,GACHIBOWLI,Telangana,Serilingampally,Gachi Bowli,18/10/2026,,502300,Residential,54484.58,166
P01100007536,GAMYA,SUPADHA DEVELOPERS PRIVATE LIMITED,No,Hyderabad,GACHIBOWLI,SERILINGAMPALLY MANDAL,Telangana,,,21/12/2028,,502032,Residential,48663.04,8
P01100007480,APARNA NEWLANDS,APARNA CONSTRUCTIONS AND ESTATES PVT LTD,Yes,Hyderabad,ROAD NO 1,BANJARA HILLS,Telangana,KHAIRTABAD,PUNJAGUTTA,17/12/2028,,502032,Residential,59770.15,8
P01100007446,VAIBHAVIS VIHAAN SHIKHARA,VAIBHAVI INFRAA PROJECTS,Yes,Medchal-Malkajgiri,K P H B COLONY,KUKATPALLY,Telangana,,,28/09/2028,,502001,Residential,9404.65,3
P01100007421,INCOR LAKE CITY,INCOR LAKE CITY PROJECTS PVT LTD,No,Hyderabad,Kavuri Hills Main Road,Madhapur,Telangana,,,05/12/2028,,502324,Residential,99585.45,5
P01100007370,Ramky Nextown,Ramky Frontier Homes Private Limited,No,Ranga Reddy,Ikea Main Road,Gachibowli,Telangana,Serilingampally,Gachi Bowli,26/02/2029,,502307,Residential,31470.18,4
P01100007344,NILE VALLEY PROJECT - BLOCK - 8B,JANAPRIYA TOWNSHIPS PRIVATE LIMITED,No,Hyderabad,ROAD NO 2,BANJARA HILLS,Telangana,,,30/12/2027,,500050,Residential,99633,1
P01100007329,SANSA COUNTY SECTOR II,AUROBINDO TATTVA TOWNSHIP DEVELOPERS LLP,Yes,Hyderabad,MIYAPUR,MIYAPUR,Telangana,,,31/10/2028,,500045,Residential,192221.61,438
P01100007271,Goldenkey Meraki,GOLDENKEY VENTURES PRIVATE LIMITED,No,Ranga Reddy,ROAD NO 1,ALIND EMPLOYEES HOUSING COLONY,Telangana,,,31/12/2025,,502032,Residential,10128.85,2
P01100007254,WAVE,VENTURA ESTATE DEVELOPERS,No,Hyderabad,ROAD NO 10,BANJARA HILLS,Telangana,,,18/10/2028,,502032,Residential,33487.73,5
P01100007180,RAJAPUSHPA AURELIA,RAJAPUSHPA PROPERTIES PVT. LTD.,Yes,Hyderabad,SILICON VALLEY,MADHAPUR,Telangana,,,15/10/2028,,502032,Residential,50643.31,7
P01100007133,RIDDHI S TARANTO TOWERS,M/S.RIDDHI HABITATS LLP,No,Hyderabad,ERRAMANZIL,ERRAMANZIL,Telangana,,,12/07/2028,,502300,Residential,9390.47,1
P01100007120,NILE VALLY BLOCK-5 - ROYAL ORCHIDS,RAJA DEVELOPERS & BUILDERS,No,Medchal-Malkajgiri,EENADU SOCIETY,EENADU COLONY,Telangana,Kukatpally,Kukatpally,31/12/2027,,500050,Residential,99633,1
P01100007008,MARVELLA,BRICKS RAMABHUPAL PROJECTS LLP,No,Ranga Reddy,OFF TELLAPUR 100 FT,GOPANAPALLY,Telangana,Serilingampally,Gopanpally,20/01/2028,,502032,Residential,16870.37,3
P01100006697 ,ORNATE 1,SRI ADITYA SQUARES,No,Hyderabad,ROAD NO 36,JUBILIHILLS,Telangana,Shaikpet,INDIRA NAGAR I (Jubilee Hills),01/01/2028,,502300,Residential,6478.40,1
P01100006661,FORTUNE HEIGHTS,TEJA HOMES PRIVATE LIMITED,No,Hyderabad,WESTERN HILLS,KUKATPALLY,Telangana,,,02/05/2029,02/05/2029,502319,Residential,14635.56,5
P01100006655,THE WORLD OF JOY,ALLIANCE INN INDIA PRIVATE LIMITED,Yes,Ranga Reddy,JUBILEE ENCLAVE,MADHAPUR,Telangana,Serilingampally,Madhapur,31/05/2028,,502032,Residential,43895.12,4
P01100006603,ADITI GREEN ELITE BLOCK-B,ADITI AVENUES,No,Ranga Reddy,VISHALI NAGAR,MADINA GUDA,Telangana,Serilingampally,Madina Guda,22/11/2025,,502319,Residential,668.73,1
P01100006237,RADHEY SKYE,CLOUDSWOOD CONSTRUCTIONS PRIVATE LIMITED,No,Hyderabad,Shanthi Nagar,Masabtank,Telangana,,,18/03/2028,,502300,Residential,45215.46,8
P01100006126,APR PRAVEENS ETERNO,APR PROJECTS,No,Sangareddy,Ellanki College Road,Patancheru,Telangana,PATANCHERU,PATANCHERU A,28/01/2029,,502300,Residential,41438.08,112
P01100005980,SIVA SAI INFRA MYRA,SIVA SAI INFRA PROJECTS,No,Ranga Reddy,NANDINI NAGAR,MIYAPUR,Telangana,Serilingampally,Miyapur,06/02/2029,,502300,Residential,35099.48,134
P01100005935,EGEIRA,Levonor Lifespaces Private Limited,No,Hyderabad,Road No 36,Jubilee Hills,Telangana,Shaikpet,INDIRA NAGAR I (Jubilee Hills),19/01/2029,,500095,Residential,19024.41,3
P01100005883,SWAGATH JUBILANT,SWAGATH HOUSING CORPORATION,Yes,Ranga Reddy,Telecom Nagar,Gachibowli,Telangana,Serilingampally,Gachi Bowli,30/03/2028,,502307,Residential,9246.77,3
P01100005843,ADITI GREEN ELITE BLOCK-A,ADITI AVENUES,No,Ranga Reddy,VISHALI NAGAR,MADINA GUDA,Telangana,Serilingampally,Madina Guda,22/11/2025,,502329,Residential,668.73,1
P01100005791,AMOGHA,M/s. ORIGIN DEVELOPERS,No,Hyderabad,MAY FAIR GARDEN,BANJARA HILLS,Telangana,,,17/01/2026,,502032,Residential,6525.50,1
P01100005787,DIVINE SPACE,DIVINE HOMES,No,Hyderabad,PHASE 1,MYTHRI NAGAR,Telangana,,,19/11/2027,,502032,Residential,30462.50,10
P01100005770,PRANATHIS KIARA,PRANATHI CONSTRUCTIONS,No,Hyderabad,Beside Raidurgam police station,Raidurgam,Telangana,,,30/11/2026,,502032,Residential,13360.62,3
P01100005727,MAYFAIR SUNRISE,NAANDI INFRATECH PVT LTD,No,Ranga Reddy,JUBILEE ENCLAVE,HITECH CITY,Telangana,Serilingampally,Madhapur,22/10/2028,,502300,Residential,251007.15,558
P01100005647,SVADHA MACKENNA S,M/S SVADHA PROJECTS,No,Hyderabad,HITEX ROAD,HYDERABAD,Telangana,,,09/12/2028,,502300,Residential,17783.24,4
